,광주광역시 동구,광주광역시 동구 충장동,광주광역시 동구 동명동,광주광역시 동구 계림1동,광주광역시 동구 계림2동,광주광역시 동구 산수1동,광주광역시 동구 산수2동,광주광역시 동구 지산1동,광주광역시 동구 지산2동,광주광역시 동구 서남동,광주광역시 동구 학동,광주광역시 동구 학운동,광주광역시 동구 지원1동,광주광역시 동구 지원2동
2021년09월_계_총인구수,"103,544","4,572","3,921","10,953","9,730","8,592","10,398","4,270","4,611","3,096","7,793","11,496","7,864","16,248"
2021년09월_계_연령구간인구수,"103,544","4,572","3,921","10,953","9,730","8,592","10,398","4,270","4,611","3,096","7,793","11,496","7,864","16,248"
2021년09월_계_0~9세,"7,311",66,91,948,"1,042",517,598,171,197,81,722,569,520,"1,789"
2021년09월_계_10~19세,"7,271",138,192,613,853,627,776,325,356,131,545,901,634,"1,180"
2021년09월_계_20~29세,"14,976","1,201",818,"1,429","1,072","1,165","1,313",895,932,917,"1,050","1,305",927,"1,952"
2021년09월_계_30~39세,"13,472",632,460,"1,872","1,381","1,074","1,082",452,414,356,"1,035","1,045",965,"2,704"
2021년09월_계_40~49세,"14,025",484,483,"1,534","1,499","1,177","1,375",541,567,317,"1,096","1,410","1,070","2,472"
2021년09월_계_50~59세,"15,541",620,503,"1,688","1,289","1,438","1,723",608,730,372,"1,175","1,791","1,253","2,351"
2021년09월_계_60~69세,"15,083",740,574,"1,520","1,164","1,231","1,723",592,620,431,"1,047","2,033","1,296","2,112"
2021년09월_계_70~79세,"10,254",468,498,924,914,879,"1,177",428,480,313,752,"1,483",826,"1,112"
2021년09월_계_80~89세,"4,895",192,261,357,461,428,567,224,273,156,332,827,322,495
2021년09월_계_90~99세,681,30,39,63,53,53,61,27,41,20,38,128,50,78
2021년09월_계_100세 이상,35,1,2,5,2,3,3,7,1,2,1,4,1,3
2021년09월_남_총인구수,"51,073","2,337","1,979","5,682","4,732","4,296","5,048","2,159","2,359","1,655","3,710","5,431","3,808","7,877"
2021년09월_남_연령구간인구수,"51,073","2,337","1,979","5,682","4,732","4,296","5,048","2,159","2,359","1,655","3,710","5,431","3,808","7,877"
2021년09월_남_0~9세,"3,777",40,40,482,548,275,304,102,116,37,376,285,277,895
2021년09월_남_10~19세,"3,722",61,103,316,447,327,391,162,196,57,268,472,331,591
2021년09월_남_20~29세,"7,682",470,411,746,583,644,667,479,521,486,500,695,472,"1,008"
2021년09월_남_30~39세,"6,963",347,271,"1,019",690,546,551,265,221,211,487,537,486,"1,332"
2021년09월_남_40~49세,"7,334",307,260,832,730,637,720,293,297,204,578,666,561,"1,249"
2021년09월_남_50~59세,"7,681",358,259,923,629,716,842,296,375,216,567,833,589,"1,078"
2021년09월_남_60~69세,"7,119",398,282,769,525,592,791,280,298,217,473,899,590,"1,005"
2021년09월_남_70~79세,"4,538",260,207,435,372,376,507,184,197,148,315,642,376,519
2021년09월_남_80~89세,"2,049",85,134,145,190,169,255,90,122,71,131,355,116,186
2021년09월_남_90~99세,200,11,12,15,17,14,20,5,16,7,15,45,10,13
2021년09월_남_100세 이상,8,0,0,0,1,0,0,3,0,1,0,2,0,1
2021년09월_여_총인구수,"52,471","2,235","1,942","5,271","4,998","4,296","5,350","2,111","2,252","1,441","4,083","6,065","4,056","8,371"
2021년09월_여_연령구간인구수,"52,471","2,235","1,942","5,271","4,998","4,296","5,350","2,111","2,252","1,441","4,083","6,065","4,056","8,371"
2021년09월_여_0~9세,"3,534",26,51,466,494,242,294,69,81,44,346,284,243,894
2021년09월_여_10~19세,"3,549",77,89,297,406,300,385,163,160,74,277,429,303,589
2021년09월_여_20~29세,"7,294",731,407,683,489,521,646,416,411,431,550,610,455,944
2021년09월_여_30~39세,"6,509",285,189,853,691,528,531,187,193,145,548,508,479,"1,372"
2021년09월_여_40~49세,"6,691",177,223,702,769,540,655,248,270,113,518,744,509,"1,223"
2021년09월_여_50~59세,"7,860",262,244,765,660,722,881,312,355,156,608,958,664,"1,273"
2021년09월_여_60~69세,"7,964",342,292,751,639,639,932,312,322,214,574,"1,134",706,"1,107"
2021년09월_여_70~79세,"5,716",208,291,489,542,503,670,244,283,165,437,841,450,593
2021년09월_여_80~89세,"2,846",107,127,212,271,259,312,134,151,85,201,472,206,309
2021년09월_여_90~99세,481,19,27,48,36,39,41,22,25,13,23,83,40,65
2021년09월_여_100세 이상,27,1,2,5,1,3,3,4,1,1,1,2,1,2
