,충청남도 금산군,충청남도 금산군 금산읍,충청남도 금산군 금성면,충청남도 금산군 제원면,충청남도 금산군 부리면,충청남도 금산군 군북면,충청남도 금산군 남일면,충청남도 금산군 남이면,충청남도 금산군 진산면,충청남도 금산군 복수면,충청남도 금산군 추부면
2020년11월_계_총인구수,"51,443","22,871","3,320","2,833","2,464","2,538","2,872","2,164","3,225","3,060","6,096"
2020년11월_계_연령구간인구수,"51,443","22,871","3,320","2,833","2,464","2,538","2,872","2,164","3,225","3,060","6,096"
2020년11월_계_0~9세,"2,587","1,683",83,82,65,124,86,62,75,79,248
2020년11월_계_10~19세,"4,306","2,461",164,110,68,141,404,168,214,146,430
2020년11월_계_20~29세,"3,987","2,173",224,174,110,133,164,98,194,205,512
2020년11월_계_30~39세,"3,783","2,169",200,159,112,145,131,88,146,191,442
2020년11월_계_40~49세,"6,258","3,574",301,241,178,257,237,173,320,291,686
2020년11월_계_50~59세,"9,128","3,783",615,506,428,423,437,442,634,604,"1,256"
2020년11월_계_60~69세,"9,747","3,371",728,709,601,582,585,471,687,722,"1,291"
2020년11월_계_70~79세,"6,849","2,376",550,463,472,415,444,371,571,484,703
2020년11월_계_80~89세,"4,210","1,126",379,337,378,285,349,258,348,287,463
2020년11월_계_90~99세,558,140,73,51,50,33,34,31,34,49,63
2020년11월_계_100세 이상,30,15,3,1,2,0,1,2,2,2,2
2020년11월_남_총인구수,"25,947","11,239","1,716","1,471","1,237","1,270","1,456","1,119","1,624","1,617","3,198"
2020년11월_남_연령구간인구수,"25,947","11,239","1,716","1,471","1,237","1,270","1,456","1,119","1,624","1,617","3,198"
2020년11월_남_0~9세,"1,317",831,54,43,33,60,50,32,41,41,132
2020년11월_남_10~19세,"2,248","1,253",93,69,34,75,199,89,120,84,232
2020년11월_남_20~29세,"2,296","1,225",138,108,65,79,104,69,101,117,290
2020년11월_남_30~39세,"1,988","1,100",114,90,69,75,66,39,74,100,261
2020년11월_남_40~49세,"3,453","1,859",167,152,124,152,145,109,185,181,379
2020년11월_남_50~59세,"5,046","1,945",364,287,256,253,257,256,366,353,709
2020년11월_남_60~69세,"4,936","1,589",376,377,306,296,307,264,352,381,688
2020년11월_남_70~79세,"3,098","1,003",255,226,220,183,206,163,260,245,337
2020년11월_남_80~89세,"1,427",402,139,106,117,91,114,91,115,101,151
2020년11월_남_90~99세,129,28,15,13,13,6,8,6,8,13,19
2020년11월_남_100세 이상,9,4,1,0,0,0,0,1,2,1,0
2020년11월_여_총인구수,"25,496","11,632","1,604","1,362","1,227","1,268","1,416","1,045","1,601","1,443","2,898"
2020년11월_여_연령구간인구수,"25,496","11,632","1,604","1,362","1,227","1,268","1,416","1,045","1,601","1,443","2,898"
2020년11월_여_0~9세,"1,270",852,29,39,32,64,36,30,34,38,116
2020년11월_여_10~19세,"2,058","1,208",71,41,34,66,205,79,94,62,198
2020년11월_여_20~29세,"1,691",948,86,66,45,54,60,29,93,88,222
2020년11월_여_30~39세,"1,795","1,069",86,69,43,70,65,49,72,91,181
2020년11월_여_40~49세,"2,805","1,715",134,89,54,105,92,64,135,110,307
2020년11월_여_50~59세,"4,082","1,838",251,219,172,170,180,186,268,251,547
2020년11월_여_60~69세,"4,811","1,782",352,332,295,286,278,207,335,341,603
2020년11월_여_70~79세,"3,751","1,373",295,237,252,232,238,208,311,239,366
2020년11월_여_80~89세,"2,783",724,240,231,261,194,235,167,233,186,312
2020년11월_여_90~99세,429,112,58,38,37,27,26,25,26,36,44
2020년11월_여_100세 이상,21,11,2,1,2,0,1,1,0,1,2
