,경기도 이천시,경기도 이천시 장호원읍,경기도 이천시 부발읍,경기도 이천시 신둔면,경기도 이천시 백사면,경기도 이천시 호법면,경기도 이천시 마장면,경기도 이천시 대월면,경기도 이천시 모가면,경기도 이천시 설성면,경기도 이천시 율면,경기도 이천시 창전동,경기도 이천시 증포동,경기도 이천시 중리동,경기도 이천시 관고동
2021년12월_계_총인구수,"223,177","14,559","36,103","13,923","11,408","5,944","15,331","14,602","4,379","4,713","2,657","16,939","57,336","15,066","10,217"
2021년12월_계_연령구간인구수,"223,177","14,559","36,103","13,923","11,408","5,944","15,331","14,602","4,379","4,713","2,657","16,939","57,336","15,066","10,217"
2021년12월_계_0~9세,"17,883",895,"2,979","1,020",751,286,"1,548","1,083",126,143,57,855,"6,715",894,531
2021년12월_계_10~19세,"22,148","1,311","4,376",988,854,422,"1,217","1,173",237,216,118,"1,467","8,129",889,751
2021년12월_계_20~29세,"31,355","1,518","5,230","1,620","1,320",683,"2,351","2,740",368,403,171,"2,797","7,456","3,205","1,493"
2021년12월_계_30~39세,"30,906","1,453","4,989","1,795","1,290",673,"2,787","2,471",346,347,151,"2,178","8,638","2,492","1,296"
2021년12월_계_40~49세,"35,058","1,985","6,561","1,975","1,598",697,"2,179","2,147",469,488,227,"2,473","10,982","1,846","1,431"
2021년12월_계_50~59세,"35,688","2,397","5,644","2,634","2,147","1,100","2,098","1,925",819,848,422,"2,849","8,595","2,262","1,948"
2021년12월_계_60~69세,"28,797","2,645","3,758","2,278","1,912","1,136","1,742","1,694","1,027","1,099",725,"2,578","4,459","2,068","1,676"
2021년12월_계_70~79세,"13,179","1,398","1,633","1,027",910,571,878,846,563,666,397,"1,157","1,504",898,731
2021년12월_계_80~89세,"7,132",837,836,505,532,327,457,454,375,433,338,516,750,446,326
2021년12월_계_90~99세,"1,007",117,94,78,91,48,73,68,49,67,51,69,108,62,32
2021년12월_계_100세 이상,24,3,3,3,3,1,1,1,0,3,0,0,0,4,2
2021년12월_남_총인구수,"115,727","7,412","19,065","7,273","5,808","3,184","8,404","7,447","2,340","2,497","1,372","8,468","28,586","8,638","5,233"
2021년12월_남_연령구간인구수,"115,727","7,412","19,065","7,273","5,808","3,184","8,404","7,447","2,340","2,497","1,372","8,468","28,586","8,638","5,233"
2021년12월_남_0~9세,"9,237",454,"1,539",522,392,146,814,548,70,72,33,445,"3,461",465,276
2021년12월_남_10~19세,"11,479",695,"2,255",532,452,226,624,599,143,106,64,734,"4,226",468,355
2021년12월_남_20~29세,"17,852",889,"3,158",857,729,386,"1,451","1,357",223,247,102,"1,524","3,922","2,241",766
2021년12월_남_30~39세,"16,664",782,"2,664",973,652,401,"1,595","1,322",214,219,90,"1,253","4,146","1,601",752
2021년12월_남_40~49세,"18,184","1,034","3,351","1,094",847,406,"1,246","1,197",267,293,143,"1,233","5,288","1,023",762
2021년12월_남_50~59세,"18,569","1,243","3,051","1,370","1,084",642,"1,144","1,005",455,482,221,"1,360","4,349","1,167",996
2021년12월_남_60~69세,"14,779","1,324","1,959","1,218",999,588,917,853,540,585,387,"1,181","2,304","1,055",869
2021년12월_남_70~79세,"6,102",653,760,490,411,262,427,400,273,320,189,541,626,420,330
2021년12월_남_80~89세,"2,613",307,308,200,219,115,165,150,141,158,132,176,241,182,119
2021년12월_남_90~99세,244,31,20,16,23,12,20,16,14,15,11,21,23,14,8
2021년12월_남_100세 이상,4,0,0,1,0,0,1,0,0,0,0,0,0,2,0
2021년12월_여_총인구수,"107,450","7,147","17,038","6,650","5,600","2,760","6,927","7,155","2,039","2,216","1,285","8,471","28,750","6,428","4,984"
2021년12월_여_연령구간인구수,"107,450","7,147","17,038","6,650","5,600","2,760","6,927","7,155","2,039","2,216","1,285","8,471","28,750","6,428","4,984"
2021년12월_여_0~9세,"8,646",441,"1,440",498,359,140,734,535,56,71,24,410,"3,254",429,255
2021년12월_여_10~19세,"10,669",616,"2,121",456,402,196,593,574,94,110,54,733,"3,903",421,396
2021년12월_여_20~29세,"13,503",629,"2,072",763,591,297,900,"1,383",145,156,69,"1,273","3,534",964,727
2021년12월_여_30~39세,"14,242",671,"2,325",822,638,272,"1,192","1,149",132,128,61,925,"4,492",891,544
2021년12월_여_40~49세,"16,874",951,"3,210",881,751,291,933,950,202,195,84,"1,240","5,694",823,669
2021년12월_여_50~59세,"17,119","1,154","2,593","1,264","1,063",458,954,920,364,366,201,"1,489","4,246","1,095",952
2021년12월_여_60~69세,"14,018","1,321","1,799","1,060",913,548,825,841,487,514,338,"1,397","2,155","1,013",807
2021년12월_여_70~79세,"7,077",745,873,537,499,309,451,446,290,346,208,616,878,478,401
2021년12월_여_80~89세,"4,519",530,528,305,313,212,292,304,234,275,206,340,509,264,207
2021년12월_여_90~99세,763,86,74,62,68,36,53,52,35,52,40,48,85,48,24
2021년12월_여_100세 이상,20,3,3,2,3,1,0,1,0,3,0,0,0,2,2
