,서울특별시 용산구,서울특별시 용산구 후암동,서울특별시 용산구 용산2가동,서울특별시 용산구 남영동,서울특별시 용산구 청파동,서울특별시 용산구 원효로제1동,서울특별시 용산구 원효로제2동,서울특별시 용산구 효창동,서울특별시 용산구 용문동,서울특별시 용산구 한강로동,서울특별시 용산구 이촌제1동,서울특별시 용산구 이촌제2동,서울특별시 용산구 이태원제1동,서울특별시 용산구 이태원제2동,서울특별시 용산구 한남동,서울특별시 용산구 서빙고동,서울특별시 용산구 보광동
2021년09월_계_총인구수,"224,145","16,929","9,500","7,347","19,557","15,939","13,803","10,094","11,922","21,767","26,286","8,371","6,452","9,049","20,490","13,080","13,559"
2021년09월_계_연령구간인구수,"224,145","16,929","9,500","7,347","19,557","15,939","13,803","10,094","11,922","21,767","26,286","8,371","6,452","9,049","20,490","13,080","13,559"
2021년09월_계_0~9세,"12,878",884,321,185,650,"1,265",873,742,710,"1,242","2,542",525,221,399,"1,135",766,418
2021년09월_계_10~19세,"14,874","1,177",491,258,"1,097",901,"1,182",700,737,985,"2,764",504,260,468,"1,144","1,453",753
2021년09월_계_20~29세,"33,143","2,460","1,482",931,"4,250","2,489","1,869","1,541","1,789","3,742","2,743",870,"1,080","1,403","2,655","1,734","2,105"
2021년09월_계_30~39세,"37,774","2,774","1,679","1,032","3,189","3,601","2,104","1,859","1,977","4,763","3,292","1,369","1,100","1,650","3,816","1,485","2,084"
2021년09월_계_40~49세,"34,099","2,631","1,297","1,027","2,617","2,607","2,188","1,534","1,728","2,868","4,539","1,223",837,"1,373","3,301","2,367","1,962"
2021년09월_계_50~59세,"36,268","2,750","1,390","1,586","3,082","2,197","2,261","1,590","1,985","3,453","4,407","1,352","1,034","1,279","3,208","2,279","2,415"
2021년09월_계_60~69세,"29,002","2,251","1,417","1,366","2,449","1,671","1,771","1,087","1,558","2,632","2,918","1,369","1,000","1,186","2,798","1,510","2,019"
2021년09월_계_70~79세,"16,139","1,283",893,630,"1,446",801,966,650,965,"1,299","1,668",731,521,798,"1,544",773,"1,171"
2021년09월_계_80~89세,"8,491",605,449,278,682,351,522,336,407,670,"1,185",363,320,425,730,614,554
2021년09월_계_90~99세,"1,382",103,78,43,91,51,64,50,63,106,221,63,73,65,142,96,73
2021년09월_계_100세 이상,95,11,3,11,4,5,3,5,3,7,7,2,6,3,17,3,5
2021년09월_남_총인구수,"107,801","8,261","4,588","4,465","9,169","7,593","6,499","4,777","5,700","10,319","12,318","3,920","3,147","4,172","9,877","6,259","6,737"
2021년09월_남_연령구간인구수,"107,801","8,261","4,588","4,465","9,169","7,593","6,499","4,777","5,700","10,319","12,318","3,920","3,147","4,172","9,877","6,259","6,737"
2021년09월_남_0~9세,"6,649",457,165,98,327,628,435,385,356,654,"1,345",268,105,202,606,390,228
2021년09월_남_10~19세,"7,505",644,252,150,580,473,481,364,374,518,"1,385",239,130,213,559,723,420
2021년09월_남_20~29세,"15,624","1,241",775,438,"1,679","1,041",867,709,875,"1,559","1,349",436,573,688,"1,356",854,"1,184"
2021년09월_남_30~39세,"18,724","1,444",878,562,"1,717","1,704","1,056",903,968,"2,244","1,440",679,598,805,"1,836",738,"1,152"
2021년09월_남_40~49세,"16,767","1,285",670,639,"1,304","1,322","1,080",733,852,"1,402","2,037",612,424,661,"1,649","1,104",993
2021년09월_남_50~59세,"17,916","1,355",654,"1,104","1,529","1,091","1,108",753,982,"1,669","2,128",628,490,581,"1,552","1,125","1,167"
2021년09월_남_60~69세,"13,951","1,053",626,952,"1,149",811,845,511,713,"1,344","1,410",613,470,509,"1,306",755,884
2021년09월_남_70~79세,"7,059",553,396,363,593,362,438,277,405,607,696,319,215,339,677,317,502
2021년09월_남_80~89세,"3,161",201,152,142,268,144,173,122,160,282,447,114,120,151,289,215,181
2021년09월_남_90~99세,417,26,18,13,22,16,16,19,14,38,78,12,21,23,39,37,25
2021년09월_남_100세 이상,28,2,2,4,1,1,0,1,1,2,3,0,1,0,8,1,1
2021년09월_여_총인구수,"116,344","8,668","4,912","2,882","10,388","8,346","7,304","5,317","6,222","11,448","13,968","4,451","3,305","4,877","10,613","6,821","6,822"
2021년09월_여_연령구간인구수,"116,344","8,668","4,912","2,882","10,388","8,346","7,304","5,317","6,222","11,448","13,968","4,451","3,305","4,877","10,613","6,821","6,822"
2021년09월_여_0~9세,"6,229",427,156,87,323,637,438,357,354,588,"1,197",257,116,197,529,376,190
2021년09월_여_10~19세,"7,369",533,239,108,517,428,701,336,363,467,"1,379",265,130,255,585,730,333
2021년09월_여_20~29세,"17,519","1,219",707,493,"2,571","1,448","1,002",832,914,"2,183","1,394",434,507,715,"1,299",880,921
2021년09월_여_30~39세,"19,050","1,330",801,470,"1,472","1,897","1,048",956,"1,009","2,519","1,852",690,502,845,"1,980",747,932
2021년09월_여_40~49세,"17,332","1,346",627,388,"1,313","1,285","1,108",801,876,"1,466","2,502",611,413,712,"1,652","1,263",969
2021년09월_여_50~59세,"18,352","1,395",736,482,"1,553","1,106","1,153",837,"1,003","1,784","2,279",724,544,698,"1,656","1,154","1,248"
2021년09월_여_60~69세,"15,051","1,198",791,414,"1,300",860,926,576,845,"1,288","1,508",756,530,677,"1,492",755,"1,135"
2021년09월_여_70~79세,"9,080",730,497,267,853,439,528,373,560,692,972,412,306,459,867,456,669
2021년09월_여_80~89세,"5,330",404,297,136,414,207,349,214,247,388,738,249,200,274,441,399,373
2021년09월_여_90~99세,965,77,60,30,69,35,48,31,49,68,143,51,52,42,103,59,48
2021년09월_여_100세 이상,67,9,1,7,3,4,3,4,2,5,4,2,5,3,9,2,4
