카테고리,경기도 여주시,경기도 여주시 가남읍,경기도 여주시 점동면,경기도 여주시 흥천면,경기도 여주시 금사면,경기도 여주시 능서면,경기도 여주시 대신면,경기도 여주시 북내면,경기도 여주시 강천면,경기도 여주시 산북면,경기도 여주시 여흥동,경기도 여주시 중앙동,경기도 여주시 오학동
2020년04월_계_총인구수,"111,198","15,547","4,623","5,022","2,969","6,415","7,118","4,928","4,169","2,563","22,019","18,559","17,266"
2020년04월_계_연령구간인구수,"111,198","15,547","4,623","5,022","2,969","6,415","7,118","4,928","4,169","2,563","22,019","18,559","17,266"
2020년04월_계_0~9세,"7,636","1,074",180,182,93,296,232,154,147,118,"1,647","1,441","2,072"
2020년04월_계_10~19세,"9,801","1,318",288,287,140,442,456,389,260,145,"2,062","2,311","1,703"
2020년04월_계_20~29세,"12,089","1,650",459,427,243,565,602,411,360,220,"2,821","2,351","1,980"
2020년04월_계_30~39세,"11,782","1,854",297,362,194,512,469,304,320,197,"2,615","2,028","2,630"
2020년04월_계_40~49세,"16,130","2,267",420,511,283,702,738,608,495,276,"3,574","3,210","3,046"
2020년04월_계_50~59세,"20,127","2,816",881,987,588,"1,222","1,384",998,846,452,"3,909","3,287","2,757"
2020년04월_계_60~69세,"17,544","2,421",999,"1,113",724,"1,271","1,551",973,849,575,"3,080","2,232","1,756"
2020년04월_계_70~79세,"10,144","1,333",663,704,451,848,"1,006",649,540,367,"1,540","1,160",883
2020년04월_계_80~89세,"5,138",706,388,383,213,472,589,385,294,187,662,473,386
2020년04월_계_90~99세,765,99,47,65,39,85,87,52,56,24,101,63,47
2020년04월_계_100세 이상,42,9,1,1,1,0,4,5,2,2,8,3,6
2020년04월_남_총인구수,"56,492","8,064","2,409","2,614","1,538","3,295","3,684","2,560","2,153","1,271","11,011","9,294","8,599"
2020년04월_남_연령구간인구수,"56,492","8,064","2,409","2,614","1,538","3,295","3,684","2,560","2,153","1,271","11,011","9,294","8,599"
2020년04월_남_0~9세,"3,934",530,109,99,50,124,124,81,71,51,849,756,"1,090"
2020년04월_남_10~19세,"5,087",690,157,157,68,237,250,222,139,70,"1,051","1,207",839
2020년04월_남_20~29세,"6,592",924,261,238,149,314,364,232,212,118,"1,489","1,235","1,056"
2020년04월_남_30~39세,"6,141","1,031",168,212,108,276,264,163,171,105,"1,332","1,031","1,280"
2020년04월_남_40~49세,"8,395","1,218",236,289,159,414,393,335,276,152,"1,814","1,565","1,544"
2020년04월_남_50~59세,"10,576","1,506",481,527,317,670,749,570,474,225,"1,972","1,712","1,373"
2020년04월_남_60~69세,"8,919","1,241",511,580,375,664,824,511,418,289,"1,529","1,101",876
2020년04월_남_70~79세,"4,765",635,339,345,223,419,457,287,271,175,709,508,397
2020년04월_남_80~89세,"1,909",260,135,153,84,160,232,143,112,78,243,170,139
2020년04월_남_90~99세,158,24,11,14,5,17,25,15,8,7,19,9,4
2020년04월_남_100세 이상,16,5,1,0,0,0,2,1,1,1,4,0,1
2020년04월_여_총인구수,"54,706","7,483","2,214","2,408","1,431","3,120","3,434","2,368","2,016","1,292","11,008","9,265","8,667"
2020년04월_여_연령구간인구수,"54,706","7,483","2,214","2,408","1,431","3,120","3,434","2,368","2,016","1,292","11,008","9,265","8,667"
2020년04월_여_0~9세,"3,702",544,71,83,43,172,108,73,76,67,798,685,982
2020년04월_여_10~19세,"4,714",628,131,130,72,205,206,167,121,75,"1,011","1,104",864
2020년04월_여_20~29세,"5,497",726,198,189,94,251,238,179,148,102,"1,332","1,116",924
2020년04월_여_30~39세,"5,641",823,129,150,86,236,205,141,149,92,"1,283",997,"1,350"
2020년04월_여_40~49세,"7,735","1,049",184,222,124,288,345,273,219,124,"1,760","1,645","1,502"
2020년04월_여_50~59세,"9,551","1,310",400,460,271,552,635,428,372,227,"1,937","1,575","1,384"
2020년04월_여_60~69세,"8,625","1,180",488,533,349,607,727,462,431,286,"1,551","1,131",880
2020년04월_여_70~79세,"5,379",698,324,359,228,429,549,362,269,192,831,652,486
2020년04월_여_80~89세,"3,229",446,253,230,129,312,357,242,182,109,419,303,247
2020년04월_여_90~99세,607,75,36,51,34,68,62,37,48,17,82,54,43
2020년04월_여_100세 이상,26,4,0,1,1,0,2,4,1,1,4,3,5
