,광주광역시 광산구,광주광역시 광산구 송정1동,광주광역시 광산구 송정2동,광주광역시 광산구 도산동,광주광역시 광산구 신흥동,광주광역시 광산구 어룡동,광주광역시 광산구 우산동,광주광역시 광산구 월곡1동,광주광역시 광산구 월곡2동,광주광역시 광산구 비아동,광주광역시 광산구 첨단1동,광주광역시 광산구 첨단2동,광주광역시 광산구 신가동,광주광역시 광산구 운남동,광주광역시 광산구 수완동,광주광역시 광산구 하남동,광주광역시 광산구 임곡동,광주광역시 광산구 동곡동,광주광역시 광산구 평동,광주광역시 광산구 삼도동,광주광역시 광산구 본량동,광주광역시 광산구 신창동
2020년11월_계_총인구수,"406,126","11,183","6,659","15,797","4,743","33,019","27,504","11,455","16,324","7,308","27,728","43,997","19,313","31,747","78,165","23,353","2,145","1,924","4,113","2,284","2,058","35,307"
2020년11월_계_연령구간인구수,"406,126","11,183","6,659","15,797","4,743","33,019","27,504","11,455","16,324","7,308","27,728","43,997","19,313","31,747","78,165","23,353","2,145","1,924","4,113","2,284","2,058","35,307"
2020년11월_계_0~9세,"40,184",711,332,"1,480",335,"4,016","2,189",751,"1,166",684,"2,018","3,863","2,122","3,010","10,345","3,063",58,41,138,52,34,"3,776"
2020년11월_계_10~19세,"52,697","1,179",409,"1,691",430,"3,674","2,110","1,178","2,069",770,"3,548","5,756","2,955","4,026","13,622","3,152",124,83,153,117,88,"5,563"
2020년11월_계_20~29세,"58,757","1,752",983,"2,228",629,"4,057","4,181","1,949","2,499",895,"5,221","7,983","2,719","4,795","9,507","2,928",168,174,441,173,153,"5,322"
2020년11월_계_30~39세,"54,937","1,207",896,"2,219",552,"5,563","4,283","1,302","1,795",928,"3,405","5,947","2,425","4,086","10,661","3,592",114,138,452,158,129,"5,085"
2020년11월_계_40~49세,"76,860","1,915",862,"2,752",734,"6,090","4,068","1,727","2,936","1,379","4,490","8,143","4,063","5,910","18,069","4,765",180,186,507,211,226,"7,647"
2020년11월_계_50~59세,"63,678","1,839","1,110","2,444",786,"4,555","4,899","2,288","3,053","1,343","5,497","7,638","2,899","5,537","9,691","3,172",391,319,661,406,327,"4,823"
2020년11월_계_60~69세,"33,036","1,322",942,"1,488",633,"3,002","3,256","1,391","1,712",678,"2,250","2,800","1,189","2,416","3,886","1,783",461,408,798,457,368,"1,796"
2020년11월_계_70~79세,"17,066",888,777,"1,035",450,"1,379","1,582",564,760,400,820,"1,175",669,"1,326","1,701",596,347,365,587,376,384,885
2020년11월_계_80~89세,"7,678",322,303,392,155,587,800,264,295,207,403,603,237,566,579,263,257,182,307,289,308,359
2020년11월_계_90~99세,"1,170",46,39,63,34,91,133,41,37,24,75,83,32,71,102,35,45,25,65,42,39,48
2020년11월_계_100세 이상,63,2,6,5,5,5,3,0,2,0,1,6,3,4,2,4,0,3,4,3,2,3
