,전라북도 장수군,전라북도 장수군 장수읍,전라북도 장수군 산서면,전라북도 장수군 번암면,전라북도 장수군 장계면,전라북도 장수군 천천면,전라북도 장수군 계남면,전라북도 장수군 계북면
2020년08월_계_총인구수,"22,159","7,398","2,109","2,352","4,410","2,128","2,177","1,585"
2020년08월_계_연령구간인구수,"22,159","7,398","2,109","2,352","4,410","2,128","2,177","1,585"
2020년08월_계_0~9세,"1,183",565,76,73,250,59,91,69
2020년08월_계_10~19세,"1,663",737,120,121,349,100,145,91
2020년08월_계_20~29세,"1,679",648,142,147,371,127,162,82
2020년08월_계_30~39세,"1,588",686,112,127,327,121,126,89
2020년08월_계_40~49세,"2,621","1,054",200,221,570,191,231,154
2020년08월_계_50~59세,"3,709","1,145",340,396,784,377,410,257
2020년08월_계_60~69세,"4,174","1,187",395,530,776,500,412,374
2020년08월_계_70~79세,"3,132",828,379,436,551,358,336,244
2020년08월_계_80~89세,"2,108",480,301,261,381,253,237,195
2020년08월_계_90~99세,280,65,43,38,42,39,23,30
2020년08월_계_100세 이상,22,3,1,2,9,3,4,0
2020년08월_남_총인구수,"11,023","3,647","1,043","1,191","2,234","1,051","1,068",789
2020년08월_남_연령구간인구수,"11,023","3,647","1,043","1,191","2,234","1,051","1,068",789
2020년08월_남_0~9세,611,287,45,46,124,27,49,33
2020년08월_남_10~19세,833,351,63,63,198,51,61,46
2020년08월_남_20~29세,954,350,91,81,214,78,92,48
2020년08월_남_30~39세,831,334,61,77,177,67,73,42
2020년08월_남_40~49세,"1,487",585,117,136,312,111,127,99
2020년08월_남_50~59세,"2,090",632,199,215,450,219,237,138
2020년08월_남_60~69세,"2,101",574,189,285,386,256,209,202
2020년08월_남_70~79세,"1,357",350,172,194,246,145,138,112
2020년08월_남_80~89세,694,170,94,89,119,87,75,60
2020년08월_남_90~99세,61,13,12,5,7,10,5,9
2020년08월_남_100세 이상,4,1,0,0,1,0,2,0
2020년08월_여_총인구수,"11,136","3,751","1,066","1,161","2,176","1,077","1,109",796
2020년08월_여_연령구간인구수,"11,136","3,751","1,066","1,161","2,176","1,077","1,109",796
2020년08월_여_0~9세,572,278,31,27,126,32,42,36
2020년08월_여_10~19세,830,386,57,58,151,49,84,45
2020년08월_여_20~29세,725,298,51,66,157,49,70,34
2020년08월_여_30~39세,757,352,51,50,150,54,53,47
2020년08월_여_40~49세,"1,134",469,83,85,258,80,104,55
2020년08월_여_50~59세,"1,619",513,141,181,334,158,173,119
2020년08월_여_60~69세,"2,073",613,206,245,390,244,203,172
2020년08월_여_70~79세,"1,775",478,207,242,305,213,198,132
2020년08월_여_80~89세,"1,414",310,207,172,262,166,162,135
2020년08월_여_90~99세,219,52,31,33,35,29,18,21
2020년08월_여_100세 이상,18,2,1,2,8,3,2,0
