카테고리,대구광역시,대구광역시 중구,대구광역시 동구,대구광역시 서구,대구광역시 남구,대구광역시 북구,대구광역시 수성구,대구광역시 달서구,대구광역시 달성군
2021년01월_계_총인구수,"2,415,813","76,382","341,498","170,383","146,428","439,906","424,112","557,404","259,700"
2021년01월_계_연령구간인구수,"2,415,813","76,382","341,498","170,383","146,428","439,906","424,112","557,404","259,700"
2021년01월_계_0~9세,"176,889","5,085","24,944","7,497","6,760","33,711","29,668","39,883","29,341"
2021년01월_계_10~19세,"225,070","5,054","26,475","10,785","9,358","43,117","51,341","54,970","23,970"
2021년01월_계_20~29세,"320,703","11,860","41,576","21,606","20,412","62,073","55,312","78,912","28,952"
2021년01월_계_30~39세,"293,117","10,744","43,647","17,366","17,114","53,822","42,710","66,165","41,549"
2021년01월_계_40~49세,"382,725","10,728","51,254","22,717","20,276","72,340","72,704","89,075","43,631"
2021년01월_계_50~59세,"424,889","11,272","56,873","34,135","24,919","78,296","75,094","103,441","40,859"
2021년01월_계_60~69세,"328,155","10,244","51,730","31,247","24,117","54,352","52,419","73,878","30,168"
2021년01월_계_70~79세,"175,695","7,359","30,248","17,218","15,143","28,364","28,883","34,423","14,057"
2021년01월_계_80~89세,"78,265","3,439","13,119","6,955","7,279","12,307","14,013","14,813","6,340"
2021년01월_계_90~99세,"9,561",493,"1,505",754,961,"1,427","1,867","1,754",800
2021년01월_계_100세 이상,744,104,127,103,89,97,101,90,33
2021년01월_남_총인구수,"1,191,656","36,724","168,218","85,396","70,355","218,975","205,210","274,911","131,867"
2021년01월_남_연령구간인구수,"1,191,656","36,724","168,218","85,396","70,355","218,975","205,210","274,911","131,867"
2021년01월_남_0~9세,"90,568","2,628","12,752","3,871","3,496","17,220","15,251","20,396","14,954"
2021년01월_남_10~19세,"117,595","2,601","13,867","5,610","4,941","22,437","27,108","28,519","12,512"
2021년01월_남_20~29세,"171,170","5,682","22,249","11,910","10,168","33,564","29,705","41,999","15,893"
2021년01월_남_30~39세,"152,524","5,548","23,051","9,830","9,005","28,204","20,769","34,412","21,705"
2021년01월_남_40~49세,"188,820","5,449","26,383","12,216","10,224","35,489","33,142","43,170","22,747"
2021년01월_남_50~59세,"208,139","5,570","27,636","17,211","12,169","38,813","36,374","50,036","20,330"
2021년01월_남_60~69세,"156,192","4,729","24,041","14,628","11,039","26,430","24,732","35,603","14,990"
2021년01월_남_70~79세,"76,817","3,109","13,166","7,549","6,438","12,185","12,562","15,330","6,478"
2021년01월_남_80~89세,"27,551","1,268","4,699","2,411","2,629","4,314","5,104","5,050","2,076"
2021년01월_남_90~99세,"2,102",119,335,135,228,298,437,377,173
2021년01월_남_100세 이상,178,21,39,25,18,21,26,19,9
2021년01월_여_총인구수,"1,224,157","39,658","173,280","84,987","76,073","220,931","218,902","282,493","127,833"
2021년01월_여_연령구간인구수,"1,224,157","39,658","173,280","84,987","76,073","220,931","218,902","282,493","127,833"
2021년01월_여_0~9세,"86,321","2,457","12,192","3,626","3,264","16,491","14,417","19,487","14,387"
2021년01월_여_10~19세,"107,475","2,453","12,608","5,175","4,417","20,680","24,233","26,451","11,458"
2021년01월_여_20~29세,"149,533","6,178","19,327","9,696","10,244","28,509","25,607","36,913","13,059"
2021년01월_여_30~39세,"140,593","5,196","20,596","7,536","8,109","25,618","21,941","31,753","19,844"
2021년01월_여_40~49세,"193,905","5,279","24,871","10,501","10,052","36,851","39,562","45,905","20,884"
2021년01월_여_50~59세,"216,750","5,702","29,237","16,924","12,750","39,483","38,720","53,405","20,529"
2021년01월_여_60~69세,"171,963","5,515","27,689","16,619","13,078","27,922","27,687","38,275","15,178"
2021년01월_여_70~79세,"98,878","4,250","17,082","9,669","8,705","16,179","16,321","19,093","7,579"
2021년01월_여_80~89세,"50,714","2,171","8,420","4,544","4,650","7,993","8,909","9,763","4,264"
2021년01월_여_90~99세,"7,459",374,"1,170",619,733,"1,129","1,430","1,377",627
2021년01월_여_100세 이상,566,83,88,78,71,76,75,71,24
