카테고리,대전광역시 대덕구,대전광역시 대덕구 오정동,대전광역시 대덕구 대화동,대전광역시 대덕구 회덕동,대전광역시 대덕구 비래동,대전광역시 대덕구 송촌동,대전광역시 대덕구 중리동,대전광역시 대덕구 신탄진동,대전광역시 대덕구 석봉동,대전광역시 대덕구 덕암동,대전광역시 대덕구 목상동,대전광역시 대덕구 법1동,대전광역시 대덕구 법2동
2021년02월_계_총인구수,"175,988","14,608","7,142","12,670","16,532","27,763","19,588","11,034","16,505","13,754","6,672","13,282","16,438"
2021년02월_계_연령구간인구수,"175,988","14,608","7,142","12,670","16,532","27,763","19,588","11,034","16,505","13,754","6,672","13,282","16,438"
2021년02월_계_0~9세,"11,126",640,311,679,942,"2,024",976,496,"2,028",773,461,847,949
2021년02월_계_10~19세,"16,497",990,485,"1,007","1,683","3,855","1,580",888,"1,486","1,240",609,"1,065","1,609"
2021년02월_계_20~29세,"24,388","2,264",789,"1,446","2,297","4,058","2,986","1,493","1,987","2,087","1,029","1,736","2,216"
2021년02월_계_30~39세,"20,002","1,543",840,"1,247","1,602","2,705","2,236","1,087","2,906","1,634","1,014","1,628","1,560"
2021년02월_계_40~49세,"27,130","1,963","1,093","1,778","2,592","5,031","3,059","1,529","2,697","2,103","1,191","1,765","2,329"
2021년02월_계_50~59세,"33,551","2,774","1,344","2,375","3,165","5,629","3,707","2,180","2,637","2,631","1,162","2,621","3,326"
2021년02월_계_60~69세,"25,054","2,595","1,313","2,286","2,463","2,660","2,990","1,827","1,719","1,795",740,"2,017","2,649"
2021년02월_계_70~79세,"12,107","1,293",664,"1,186","1,215","1,139","1,427","1,021",647,980,306,"1,059","1,170"
2021년02월_계_80~89세,"5,381",461,250,591,508,583,561,450,351,450,137,492,547
2021년02월_계_90~99세,710,80,50,68,58,74,65,55,46,58,22,51,83
2021년02월_계_100세 이상,42,5,3,7,7,5,1,8,1,3,1,1,0
2021년02월_남_총인구수,"89,483","7,761","3,774","6,424","8,235","13,732","10,154","5,641","8,466","7,313","3,634","6,316","8,033"
2021년02월_남_연령구간인구수,"89,483","7,761","3,774","6,424","8,235","13,732","10,154","5,641","8,466","7,313","3,634","6,316","8,033"
2021년02월_남_0~9세,"5,611",337,165,337,470,"1,018",479,234,"1,038",412,227,413,481
2021년02월_남_10~19세,"8,608",547,267,527,888,"1,953",854,471,774,640,309,535,843
2021년02월_남_20~29세,"13,501","1,247",457,784,"1,260","2,192","1,654",831,"1,098","1,219",602,922,"1,235"
2021년02월_남_30~39세,"10,908",881,445,677,879,"1,358","1,277",613,"1,499",957,624,870,828
2021년02월_남_40~49세,"13,866","1,119",638,939,"1,275","2,268","1,625",818,"1,428","1,150",676,858,"1,072"
2021년02월_남_50~59세,"17,040","1,470",718,"1,242","1,553","2,867","1,897","1,139","1,302","1,433",625,"1,230","1,564"
2021년02월_남_60~69세,"12,407","1,338",693,"1,133","1,147","1,349","1,474",890,884,872,380,936,"1,311"
2021년02월_남_70~79세,"5,476",625,296,549,550,495,664,480,305,447,142,413,510
2021년02월_남_80~89세,"1,907",182,88,210,195,213,217,159,129,167,46,125,176
2021년02월_남_90~99세,150,13,7,22,16,18,13,6,9,16,3,14,13
2021년02월_남_100세 이상,9,2,0,4,2,1,0,0,0,0,0,0,0
2021년02월_여_총인구수,"86,505","6,847","3,368","6,246","8,297","14,031","9,434","5,393","8,039","6,441","3,038","6,966","8,405"
2021년02월_여_연령구간인구수,"86,505","6,847","3,368","6,246","8,297","14,031","9,434","5,393","8,039","6,441","3,038","6,966","8,405"
2021년02월_여_0~9세,"5,515",303,146,342,472,"1,006",497,262,990,361,234,434,468
2021년02월_여_10~19세,"7,889",443,218,480,795,"1,902",726,417,712,600,300,530,766
2021년02월_여_20~29세,"10,887","1,017",332,662,"1,037","1,866","1,332",662,889,868,427,814,981
2021년02월_여_30~39세,"9,094",662,395,570,723,"1,347",959,474,"1,407",677,390,758,732
2021년02월_여_40~49세,"13,264",844,455,839,"1,317","2,763","1,434",711,"1,269",953,515,907,"1,257"
2021년02월_여_50~59세,"16,511","1,304",626,"1,133","1,612","2,762","1,810","1,041","1,335","1,198",537,"1,391","1,762"
2021년02월_여_60~69세,"12,647","1,257",620,"1,153","1,316","1,311","1,516",937,835,923,360,"1,081","1,338"
2021년02월_여_70~79세,"6,631",668,368,637,665,644,763,541,342,533,164,646,660
2021년02월_여_80~89세,"3,474",279,162,381,313,370,344,291,222,283,91,367,371
2021년02월_여_90~99세,560,67,43,46,42,56,52,49,37,42,19,37,70
2021년02월_여_100세 이상,33,3,3,3,5,4,1,8,1,3,1,1,0
