,서울특별시,서울특별시 종로구,서울특별시 중구,서울특별시 용산구,서울특별시 성동구,서울특별시 광진구,서울특별시 동대문구,서울특별시 중랑구,서울특별시 성북구,서울특별시 강북구,서울특별시 도봉구,서울특별시 노원구,서울특별시 은평구,서울특별시 서대문구,서울특별시 마포구,서울특별시 양천구,서울특별시 강서구,서울특별시 구로구,서울특별시 금천구,서울특별시 영등포구,서울특별시 동작구,서울특별시 관악구,서울특별시 서초구,서울특별시 강남구,서울특별시 송파구,서울특별시 강동구
2021년10월_계_총인구수,"9,532,428","145,346","122,781","223,713","287,174","340,814","337,538","388,218","432,081","300,278","318,299","512,129","473,369","305,840","369,695","448,634","575,370","397,330","230,740","377,524","386,246","487,357","415,083","533,878","659,239","463,752"
2021년10월_계_연령구간인구수,"9,532,428","145,346","122,781","223,713","287,174","340,814","337,538","388,218","432,081","300,278","318,299","512,129","473,369","305,840","369,695","448,634","575,370","397,330","230,740","377,524","386,246","487,357","415,083","533,878","659,239","463,752"
2021년10월_계_0~9세,"590,061","7,095","6,370","12,800","19,409","18,036","19,667","21,552","27,677","14,359","17,314","30,882","27,862","19,059","23,889","29,869","37,142","26,201","11,814","25,068","23,226","20,229","32,177","34,921","48,769","34,674"
2021년10월_계_10~19세,"760,182","10,543","6,556","14,803","19,042","24,995","22,890","25,678","36,249","20,960","24,457","50,703","37,334","22,695","27,880","49,621","43,617","29,274","14,036","23,711","27,055","27,419","44,701","59,323","57,667","38,973"
2021년10월_계_20~29세,"1,430,877","22,957","18,289","32,985","43,902","61,881","56,418","54,531","65,978","41,376","41,841","70,528","65,639","49,234","61,607","57,821","86,103","53,997","37,158","58,952","65,208","108,486","52,702","71,334","91,040","60,910"
2021년10월_계_30~39세,"1,442,893","19,475","19,963","37,773","47,088","54,759","48,929","56,970","58,729","37,326","39,379","63,227","66,958","44,311","63,696","56,022","97,968","61,042","36,302","69,391","61,008","85,657","60,157","78,117","107,123","71,523"
2021년10월_계_40~49세,"1,486,100","21,176","17,474","33,935","43,487","50,620","49,068","55,899","67,840","44,259","46,407","82,087","74,154","45,500","60,023","76,775","89,476","61,442","31,827","55,582","57,327","66,015","75,528","97,979","107,274","74,946"
2021년10월_계_50~59세,"1,507,444","24,947","20,105","36,239","46,315","53,863","52,222","67,728","69,248","51,586","56,091","87,050","77,007","48,622","54,937","76,264","84,460","62,366","39,310","56,285","57,961","67,047","62,800","81,615","101,527","71,849"
2021년10월_계_60~69세,"1,283,216","20,331","17,978","29,101","37,664","44,019","47,408","60,530","56,748","47,218","51,186","70,484","66,739","39,656","41,020","60,138","79,216","57,400","34,523","48,205","50,439","60,066","48,183","61,343","87,273","66,348"
2021년10월_계_70~79세,"696,346","11,712","10,273","16,078","20,145","22,011","27,421","31,148","32,589","29,381","27,480","37,250","38,637","23,383","23,519","29,095","39,328","31,895","17,956","26,907","29,617","36,697","26,852","34,449","41,100","31,423"
