,전라북도 장수군,전라북도 장수군 장수읍,전라북도 장수군 산서면,전라북도 장수군 번암면,전라북도 장수군 장계면,전라북도 장수군 천천면,전라북도 장수군 계남면,전라북도 장수군 계북면
2020년11월_계_총인구수,"22,099","7,401","2,100","2,322","4,421","2,107","2,168","1,580"
2020년11월_계_연령구간인구수,"22,099","7,401","2,100","2,322","4,421","2,107","2,168","1,580"
2020년11월_계_0~9세,"1,156",555,76,68,251,54,86,66
2020년11월_계_10~19세,"1,658",749,116,118,348,95,144,88
2020년11월_계_20~29세,"1,669",643,138,145,371,126,159,87
2020년11월_계_30~39세,"1,555",683,110,118,316,121,122,85
2020년11월_계_40~49세,"2,591","1,024",196,216,585,184,231,155
2020년11월_계_50~59세,"3,704","1,153",342,387,772,377,413,260
2020년11월_계_60~69세,"4,202","1,201",394,535,788,494,420,370
2020년11월_계_70~79세,"3,132",838,378,435,552,357,324,248
2020년11월_계_80~89세,"2,120",484,302,263,385,257,239,190
2020년11월_계_90~99세,290,68,47,35,44,39,26,31
2020년11월_계_100세 이상,22,3,1,2,9,3,4,0
2020년11월_남_총인구수,"11,006","3,650","1,040","1,174","2,238","1,048","1,068",788
2020년11월_남_연령구간인구수,"11,006","3,650","1,040","1,174","2,238","1,048","1,068",788
2020년11월_남_0~9세,600,284,45,44,124,27,46,30
2020년11월_남_10~19세,848,363,62,63,201,46,65,48
2020년11월_남_20~29세,941,350,88,76,213,78,88,48
2020년11월_남_30~39세,810,334,61,70,168,69,70,38
2020년11월_남_40~49세,"1,467",558,113,135,319,108,131,103
2020년11월_남_50~59세,"2,082",642,200,206,442,218,234,140
2020년11월_남_60~69세,"2,132",581,189,290,396,256,219,201
2020년11월_남_70~79세,"1,359",354,173,196,247,147,129,113
2020년11월_남_80~89세,699,169,94,90,119,90,79,58
2020년11월_남_90~99세,64,14,15,4,8,9,5,9
2020년11월_남_100세 이상,4,1,0,0,1,0,2,0
2020년11월_여_총인구수,"11,093","3,751","1,060","1,148","2,183","1,059","1,100",792
2020년11월_여_연령구간인구수,"11,093","3,751","1,060","1,148","2,183","1,059","1,100",792
2020년11월_여_0~9세,556,271,31,24,127,27,40,36
2020년11월_여_10~19세,810,386,54,55,147,49,79,40
2020년11월_여_20~29세,728,293,50,69,158,48,71,39
2020년11월_여_30~39세,745,349,49,48,148,52,52,47
2020년11월_여_40~49세,"1,124",466,83,81,266,76,100,52
2020년11월_여_50~59세,"1,622",511,142,181,330,159,179,120
2020년11월_여_60~69세,"2,070",620,205,245,392,238,201,169
2020년11월_여_70~79세,"1,773",484,205,239,305,210,195,135
2020년11월_여_80~89세,"1,421",315,208,173,266,167,160,132
2020년11월_여_90~99세,226,54,32,31,36,30,21,22
2020년11월_여_100세 이상,18,2,1,2,8,3,2,0
