카테고리,강원도 양양군,강원도 양양군 양양읍,강원도 양양군 서면,강원도 양양군 손양면,강원도 양양군 현북면,강원도 양양군 현남면,강원도 양양군 강현면
2020년11월_계_총인구수,"27,926","12,506","2,876","2,332","2,575","3,052","4,585"
2020년11월_계_연령구간인구수,"27,926","12,506","2,876","2,332","2,575","3,052","4,585"
2020년11월_계_0~9세,"1,351",867,70,68,76,86,184
2020년11월_계_10~19세,"1,845","1,146",161,101,90,122,225
2020년11월_계_20~29세,"2,410","1,239",231,194,169,160,417
2020년11월_계_30~39세,"2,341","1,255",161,145,191,229,360
2020년11월_계_40~49세,"3,539","1,934",309,242,235,323,496
2020년11월_계_50~59세,"5,111","2,171",540,464,493,534,909
2020년11월_계_60~69세,"5,499","1,975",655,485,623,725,"1,036"
2020년11월_계_70~79세,"3,663","1,219",471,384,437,518,634
2020년11월_계_80~89세,"1,831",591,237,218,224,295,266
2020년11월_계_90~99세,319,106,41,26,34,56,56
2020년11월_계_100세 이상,17,3,0,5,3,4,2
2020년11월_남_총인구수,"14,194","6,304","1,482","1,183","1,324","1,575","2,326"
2020년11월_남_연령구간인구수,"14,194","6,304","1,482","1,183","1,324","1,575","2,326"
2020년11월_남_0~9세,692,438,39,35,38,48,94
2020년11월_남_10~19세,978,613,92,42,52,65,114
2020년11월_남_20~29세,"1,412",717,136,116,107,96,240
2020년11월_남_30~39세,"1,269",632,100,78,114,135,210
2020년11월_남_40~49세,"1,927",983,168,143,144,204,285
2020년11월_남_50~59세,"2,738","1,143",309,260,238,304,484
2020년11월_남_60~69세,"2,748",964,323,253,330,373,505
2020년11월_남_70~79세,"1,695",570,213,164,202,247,299
2020년11월_남_80~89세,671,217,97,86,89,99,83
2020년11월_남_90~99세,63,26,5,6,10,4,12
2020년11월_남_100세 이상,1,1,0,0,0,0,0
2020년11월_여_총인구수,"13,732","6,202","1,394","1,149","1,251","1,477","2,259"
2020년11월_여_연령구간인구수,"13,732","6,202","1,394","1,149","1,251","1,477","2,259"
2020년11월_여_0~9세,659,429,31,33,38,38,90
2020년11월_여_10~19세,867,533,69,59,38,57,111
2020년11월_여_20~29세,998,522,95,78,62,64,177
2020년11월_여_30~39세,"1,072",623,61,67,77,94,150
2020년11월_여_40~49세,"1,612",951,141,99,91,119,211
2020년11월_여_50~59세,"2,373","1,028",231,204,255,230,425
2020년11월_여_60~69세,"2,751","1,011",332,232,293,352,531
2020년11월_여_70~79세,"1,968",649,258,220,235,271,335
2020년11월_여_80~89세,"1,160",374,140,132,135,196,183
2020년11월_여_90~99세,256,80,36,20,24,52,44
2020년11월_여_100세 이상,16,2,0,5,3,4,2
