,광주광역시 동구,광주광역시 동구 충장동,광주광역시 동구 동명동,광주광역시 동구 계림1동,광주광역시 동구 계림2동,광주광역시 동구 산수1동,광주광역시 동구 산수2동,광주광역시 동구 지산1동,광주광역시 동구 지산2동,광주광역시 동구 서남동,광주광역시 동구 학동,광주광역시 동구 학운동,광주광역시 동구 지원1동,광주광역시 동구 지원2동
2020년04월_계_총인구수,"98,622","4,489","3,775","6,008","8,145","8,942","10,615","4,404","4,818","3,178","8,409","12,193","8,199","15,447"
2020년04월_계_연령구간인구수,"98,622","4,489","3,775","6,008","8,145","8,942","10,615","4,404","4,818","3,178","8,409","12,193","8,199","15,447"
2020년04월_계_0~9세,"6,627",72,124,183,752,576,631,229,234,91,797,677,556,"1,705"
2020년04월_계_10~19세,"7,291",156,219,270,761,687,869,342,416,141,586,"1,009",676,"1,159"
2020년04월_계_20~29세,"13,925",957,640,780,978,"1,189","1,397",787,886,754,"1,163","1,468","1,003","1,923"
2020년04월_계_30~39세,"12,404",595,366,656,971,"1,168","1,156",474,433,385,"1,227","1,160","1,077","2,736"
2020년04월_계_40~49세,"13,629",541,519,824,"1,231","1,318","1,397",633,657,352,"1,165","1,593","1,115","2,284"
2020년04월_계_50~59세,"15,389",693,530,"1,121","1,170","1,452","1,808",629,768,462,"1,281","1,896","1,363","2,216"
2020년04월_계_60~69세,"14,117",767,586,"1,107","1,013","1,191","1,626",609,633,466,"1,055","2,010","1,243","1,811"
2020년04월_계_70~79세,"10,043",493,501,706,856,900,"1,166",453,495,342,776,"1,502",807,"1,046"
2020년04월_계_80~89세,"4,514",181,250,319,365,401,508,210,258,162,315,767,306,472
2020년04월_계_90~99세,620,30,37,38,45,55,54,31,35,21,33,105,51,85
2020년04월_계_100세 이상,63,4,3,4,3,5,3,7,3,2,11,6,2,10
2020년04월_남_총인구수,"48,743","2,313","1,877","3,252","4,011","4,452","5,182","2,223","2,458","1,615","4,024","5,798","3,974","7,564"
2020년04월_남_연령구간인구수,"48,743","2,313","1,877","3,252","4,011","4,452","5,182","2,223","2,458","1,615","4,024","5,798","3,974","7,564"
2020년04월_남_0~9세,"3,433",36,62,91,405,294,315,140,131,46,422,338,297,856
2020년04월_남_10~19세,"3,786",70,115,145,407,358,450,178,233,64,277,535,344,610
2020년04월_남_20~29세,"7,139",374,325,441,544,620,711,413,503,374,561,777,519,977
2020년04월_남_30~39세,"6,473",349,210,377,484,624,602,262,222,220,608,590,549,"1,376"
2020년04월_남_40~49세,"7,130",334,265,505,604,711,723,328,353,212,605,758,573,"1,159"
2020년04월_남_50~59세,"7,603",394,274,653,577,739,852,330,379,245,623,885,629,"1,023"
2020년04월_남_60~69세,"6,653",398,283,570,458,561,763,274,294,227,469,891,576,889
2020년04월_남_70~79세,"4,457",270,206,324,356,376,523,198,220,147,332,655,368,482
2020년04월_남_80~89세,"1,887",79,127,135,161,155,224,91,111,73,118,333,107,173
2020년04월_남_90~99세,169,9,10,11,14,13,19,6,12,6,7,33,12,17
2020년04월_남_100세 이상,13,0,0,0,1,1,0,3,0,1,2,3,0,2
2020년04월_여_총인구수,"49,879","2,176","1,898","2,756","4,134","4,490","5,433","2,181","2,360","1,563","4,385","6,395","4,225","7,883"
2020년04월_여_연령구간인구수,"49,879","2,176","1,898","2,756","4,134","4,490","5,433","2,181","2,360","1,563","4,385","6,395","4,225","7,883"
2020년04월_여_0~9세,"3,194",36,62,92,347,282,316,89,103,45,375,339,259,849
2020년04월_여_10~19세,"3,505",86,104,125,354,329,419,164,183,77,309,474,332,549
2020년04월_여_20~29세,"6,786",583,315,339,434,569,686,374,383,380,602,691,484,946
2020년04월_여_30~39세,"5,931",246,156,279,487,544,554,212,211,165,619,570,528,"1,360"
2020년04월_여_40~49세,"6,499",207,254,319,627,607,674,305,304,140,560,835,542,"1,125"
2020년04월_여_50~59세,"7,786",299,256,468,593,713,956,299,389,217,658,"1,011",734,"1,193"
2020년04월_여_60~69세,"7,464",369,303,537,555,630,863,335,339,239,586,"1,119",667,922
2020년04월_여_70~79세,"5,586",223,295,382,500,524,643,255,275,195,444,847,439,564
2020년04월_여_80~89세,"2,627",102,123,184,204,246,284,119,147,89,197,434,199,299
2020년04월_여_90~99세,451,21,27,27,31,42,35,25,23,15,26,72,39,68
2020년04월_여_100세 이상,50,4,3,4,2,4,3,4,3,1,9,3,2,8
