카테고리,경기도 이천시,경기도 이천시 장호원읍,경기도 이천시 부발읍,경기도 이천시 신둔면,경기도 이천시 백사면,경기도 이천시 호법면,경기도 이천시 마장면,경기도 이천시 대월면,경기도 이천시 모가면,경기도 이천시 설성면,경기도 이천시 율면,경기도 이천시 창전동,경기도 이천시 증포동,경기도 이천시 중리동,경기도 이천시 관고동
2021년02월_계_총인구수,"218,793","14,724","36,112","13,766","11,299","5,793","14,442","14,527","4,445","4,732","2,670","17,268","53,811","14,903","10,301"
2021년02월_계_연령구간인구수,"218,793","14,724","36,112","13,766","11,299","5,793","14,442","14,527","4,445","4,732","2,670","17,268","53,811","14,903","10,301"
2021년02월_계_0~9세,"18,612",974,"3,247","1,083",792,315,"1,530","1,198",143,169,59,966,"6,650",914,572
2021년02월_계_10~19세,"21,894","1,367","4,475",991,861,336,"1,008","1,193",272,221,117,"1,533","7,804",923,793
2021년02월_계_20~29세,"30,282","1,532","5,108","1,603","1,319",656,"2,183","2,613",375,394,181,"2,878","6,867","3,076","1,497"
2021년02월_계_30~39세,"30,475","1,521","5,059","1,843","1,257",657,"2,629","2,501",359,367,150,"2,187","8,153","2,431","1,361"
2021년02월_계_40~49세,"34,767","2,003","6,707","1,999","1,621",716,"2,029","2,128",505,498,239,"2,585","10,389","1,873","1,475"
2021년02월_계_50~59세,"35,336","2,512","5,569","2,581","2,185","1,098","2,057","1,966",843,878,442,"2,954","7,975","2,321","1,955"
2021년02월_계_60~69세,"26,423","2,456","3,432","2,101","1,747","1,069","1,623","1,570",975,"1,044",685,"2,459","3,744","1,921","1,597"
2021년02월_계_70~79세,"13,123","1,428","1,614","1,007",901,579,872,873,574,670,399,"1,134","1,427",946,699
2021년02월_계_80~89세,"6,840",818,801,467,523,318,432,411,355,421,344,508,705,430,307
2021년02월_계_90~99세,976,101,96,84,89,48,73,70,42,64,50,60,95,62,42
2021년02월_계_100세 이상,65,12,4,7,4,1,6,4,2,6,4,4,2,6,3
2021년02월_남_총인구수,"113,156","7,485","18,955","7,204","5,747","3,056","7,847","7,397","2,390","2,498","1,378","8,587","26,908","8,456","5,248"
2021년02월_남_연령구간인구수,"113,156","7,485","18,955","7,204","5,747","3,056","7,847","7,397","2,390","2,498","1,378","8,587","26,908","8,456","5,248"
2021년02월_남_0~9세,"9,629",494,"1,651",561,404,162,803,630,82,77,35,502,"3,448",475,305
2021년02월_남_10~19세,"11,350",731,"2,323",524,452,180,508,588,160,116,62,786,"4,074",478,368
2021년02월_남_20~29세,"17,159",917,"3,001",875,733,347,"1,335","1,292",235,237,104,"1,529","3,640","2,135",779
2021년02월_남_30~39세,"16,345",799,"2,691",998,636,389,"1,496","1,324",226,228,96,"1,230","3,916","1,533",783
2021년02월_남_40~49세,"17,970","1,035","3,434","1,086",855,424,"1,157","1,163",291,305,155,"1,273","5,002","1,026",764
2021년02월_남_50~59세,"18,388","1,303","3,001","1,363","1,111",607,"1,111","1,038",462,487,239,"1,400","4,071","1,201",994
2021년02월_남_60~69세,"13,490","1,216","1,787","1,111",905,557,847,799,513,549,354,"1,151","1,906",965,830
2021년02월_남_70~79세,"6,040",661,751,479,412,261,411,393,276,326,189,522,605,453,301
2021년02월_남_80~89세,"2,526",299,294,187,213,118,157,150,134,160,131,175,226,172,110
2021년02월_남_90~99세,239,26,22,17,25,11,20,18,11,11,12,19,19,15,13
2021년02월_남_100세 이상,20,4,0,3,1,0,2,2,0,2,1,0,1,3,1
2021년02월_여_총인구수,"105,637","7,239","17,157","6,562","5,552","2,737","6,595","7,130","2,055","2,234","1,292","8,681","26,903","6,447","5,053"
2021년02월_여_연령구간인구수,"105,637","7,239","17,157","6,562","5,552","2,737","6,595","7,130","2,055","2,234","1,292","8,681","26,903","6,447","5,053"
2021년02월_여_0~9세,"8,983",480,"1,596",522,388,153,727,568,61,92,24,464,"3,202",439,267
2021년02월_여_10~19세,"10,544",636,"2,152",467,409,156,500,605,112,105,55,747,"3,730",445,425
2021년02월_여_20~29세,"13,123",615,"2,107",728,586,309,848,"1,321",140,157,77,"1,349","3,227",941,718
2021년02월_여_30~39세,"14,130",722,"2,368",845,621,268,"1,133","1,177",133,139,54,957,"4,237",898,578
2021년02월_여_40~49세,"16,797",968,"3,273",913,766,292,872,965,214,193,84,"1,312","5,387",847,711
2021년02월_여_50~59세,"16,948","1,209","2,568","1,218","1,074",491,946,928,381,391,203,"1,554","3,904","1,120",961
2021년02월_여_60~69세,"12,933","1,240","1,645",990,842,512,776,771,462,495,331,"1,308","1,838",956,767
2021년02월_여_70~79세,"7,083",767,863,528,489,318,461,480,298,344,210,612,822,493,398
2021년02월_여_80~89세,"4,314",519,507,280,310,200,275,261,221,261,213,333,479,258,197
2021년02월_여_90~99세,737,75,74,67,64,37,53,52,31,53,38,41,76,47,29
2021년02월_여_100세 이상,45,8,4,4,3,1,4,2,2,4,3,4,1,3,2
