,인천광역시 강화군,인천광역시 강화군 강화읍,인천광역시 강화군 선원면,인천광역시 강화군 불은면,인천광역시 강화군 길상면,인천광역시 강화군 화도면,인천광역시 강화군 양도면,인천광역시 강화군 내가면,인천광역시 강화군 하점면,인천광역시 강화군 양사면,인천광역시 강화군 송해면,인천광역시 강화군 교동면,인천광역시 강화군 삼산면,인천광역시 강화군 서도면,인천광역시 강화군 서도면볼음출장소
2021년07월_계_총인구수,"69,326","22,682","7,923","4,912","7,070","4,529","4,294","3,053","3,984","1,862","3,245","2,869","2,245",387,271
2021년07월_계_연령구간인구수,"69,326","22,682","7,923","4,912","7,070","4,529","4,294","3,053","3,984","1,862","3,245","2,869","2,245",387,271
2021년07월_계_0~9세,"3,302","1,465",495,175,299,142,163,85,129,63,132,67,71,9,7
2021년07월_계_10~19세,"4,530","2,156",672,210,391,202,212,101,146,76,134,109,100,17,4
2021년07월_계_20~29세,"5,176","2,229",687,318,483,256,254,155,210,89,194,156,112,23,10
2021년07월_계_30~39세,"5,299","2,120",668,318,616,316,258,188,233,73,217,146,118,20,8
2021년07월_계_40~49세,"7,679","3,192","1,106",431,748,394,403,248,326,140,274,194,189,21,13
2021년07월_계_50~59세,"11,661","3,720","1,326",812,"1,299",754,734,513,611,325,548,516,388,69,46
2021년07월_계_60~69세,"14,993","3,815","1,505","1,292","1,721","1,206","1,040",807,977,457,724,677,586,101,85
2021년07월_계_70~79세,"10,000","2,477",880,775,959,778,702,599,764,362,596,583,394,69,62
2021년07월_계_80~89세,"5,808","1,340",498,485,462,398,449,325,531,245,375,375,248,48,29
2021년07월_계_90~99세,860,164,86,95,90,83,75,30,56,32,49,45,38,10,7
2021년07월_계_100세 이상,18,4,0,1,2,0,4,2,1,0,2,1,1,0,0
2021년07월_남_총인구수,"34,681","11,209","3,933","2,470","3,545","2,305","2,148","1,502","2,032",916,"1,626","1,479","1,172",196,148
2021년07월_남_연령구간인구수,"34,681","11,209","3,933","2,470","3,545","2,305","2,148","1,502","2,032",916,"1,626","1,479","1,172",196,148
2021년07월_남_0~9세,"1,733",788,231,85,151,68,91,53,70,33,71,38,46,5,3
2021년07월_남_10~19세,"2,318","1,073",345,105,201,117,111,51,81,35,66,59,62,10,2
2021년07월_남_20~29세,"2,948","1,242",392,178,288,149,145,86,133,52,108,95,63,10,7
2021년07월_남_30~39세,"2,779","1,103",333,163,312,182,141,99,121,36,124,81,69,10,5
2021년07월_남_40~49세,"4,171","1,628",568,253,423,235,223,139,190,76,169,128,115,14,10
2021년07월_남_50~59세,"6,020","1,912",682,415,634,360,391,255,329,184,301,285,206,40,26
2021년07월_남_60~69세,"7,473","1,824",741,654,858,623,529,393,512,227,355,345,314,49,49
2021년07월_남_70~79세,"4,723","1,105",424,403,470,379,319,290,362,164,288,272,179,39,29
2021년07월_남_80~89세,"2,307",490,198,190,193,169,178,126,224,103,131,163,111,16,15
2021년07월_남_90~99세,204,43,19,23,13,23,20,9,10,6,13,13,7,3,2
2021년07월_남_100세 이상,5,1,0,1,2,0,0,1,0,0,0,0,0,0,0
2021년07월_여_총인구수,"34,645","11,473","3,990","2,442","3,525","2,224","2,146","1,551","1,952",946,"1,619","1,390","1,073",191,123
2021년07월_여_연령구간인구수,"34,645","11,473","3,990","2,442","3,525","2,224","2,146","1,551","1,952",946,"1,619","1,390","1,073",191,123
2021년07월_여_0~9세,"1,569",677,264,90,148,74,72,32,59,30,61,29,25,4,4
2021년07월_여_10~19세,"2,212","1,083",327,105,190,85,101,50,65,41,68,50,38,7,2
2021년07월_여_20~29세,"2,228",987,295,140,195,107,109,69,77,37,86,61,49,13,3
2021년07월_여_30~39세,"2,520","1,017",335,155,304,134,117,89,112,37,93,65,49,10,3
2021년07월_여_40~49세,"3,508","1,564",538,178,325,159,180,109,136,64,105,66,74,7,3
2021년07월_여_50~59세,"5,641","1,808",644,397,665,394,343,258,282,141,247,231,182,29,20
2021년07월_여_60~69세,"7,520","1,991",764,638,863,583,511,414,465,230,369,332,272,52,36
2021년07월_여_70~79세,"5,277","1,372",456,372,489,399,383,309,402,198,308,311,215,30,33
2021년07월_여_80~89세,"3,501",850,300,295,269,229,271,199,307,142,244,212,137,32,14
2021년07월_여_90~99세,656,121,67,72,77,60,55,21,46,26,36,32,31,7,5
2021년07월_여_100세 이상,13,3,0,0,0,0,4,1,1,0,2,1,1,0,0
