카테고리,서울특별시 서대문구,서울특별시 서대문구 천연동,서울특별시 서대문구 북아현동,서울특별시 서대문구 충현동,서울특별시 서대문구 신촌동,서울특별시 서대문구 연희동,서울특별시 서대문구 홍제제1동,서울특별시 서대문구 홍제제3동,서울특별시 서대문구 홍제제2동,서울특별시 서대문구 홍은제1동,서울특별시 서대문구 홍은제2동,서울특별시 서대문구 남가좌제1동,서울특별시 서대문구 남가좌제2동,서울특별시 서대문구 북가좌제1동,서울특별시 서대문구 북가좌제2동
2021년05월_계_총인구수,"307,406","17,243","16,249","20,589","19,371","35,466","23,943","15,497","13,927","22,783","26,657","15,611","29,732","18,244","32,094"
2021년05월_계_연령구간인구수,"307,406","17,243","16,249","20,589","19,371","35,466","23,943","15,497","13,927","22,783","26,657","15,611","29,732","18,244","32,094"
2021년05월_계_0~9세,"19,517","1,185","1,394","1,213",713,"1,610","1,488",747,769,"1,465","1,209","2,098","2,644","1,382","1,600"
2021년05월_계_10~19세,"23,195","1,431","1,055","1,355",923,"2,381","1,856","1,084","1,039","1,756","2,127","1,463","2,404","1,942","2,379"
2021년05월_계_20~29세,"49,572","2,150","2,308","3,436","7,558","7,613","3,126","2,072","1,810","2,835","4,138","1,487","4,216","2,124","4,699"
2021년05월_계_30~39세,"44,546","2,352","2,847","3,310","3,370","5,586","3,348","1,943","1,863","3,018","3,486","2,381","4,484","2,369","4,189"
2021년05월_계_40~49세,"46,297","2,725","2,628","3,009","1,960","4,828","3,682","2,125","1,991","3,390","3,880","3,070","4,876","3,210","4,923"
2021년05월_계_50~59세,"48,706","2,973","2,725","3,306","1,961","5,165","4,053","2,644","2,522","3,931","4,544","2,131","4,401","2,998","5,352"
2021년05월_계_60~69세,"38,966","2,207","1,815","2,695","1,398","4,092","3,327","2,308","2,071","3,340","3,781","1,576","3,418","2,236","4,702"
2021년05월_계_70~79세,"23,646","1,373",973,"1,422",908,"2,689","1,985","1,608","1,218","1,925","2,207",922,"2,180","1,324","2,912"
2021년05월_계_80~89세,"11,309",755,435,708,502,"1,295",955,855,561,984,"1,108",424,967,578,"1,182"
2021년05월_계_90~99세,"1,540",87,64,125,74,197,120,87,78,134,147,55,140,79,153
2021년05월_계_100세 이상,112,5,5,10,4,10,3,24,5,5,30,4,2,2,3
2021년05월_남_총인구수,"147,056","8,199","7,787","9,892","8,584","17,071","11,263","7,494","6,589","10,989","12,862","7,528","14,336","8,818","15,644"
2021년05월_남_연령구간인구수,"147,056","8,199","7,787","9,892","8,584","17,071","11,263","7,494","6,589","10,989","12,862","7,528","14,336","8,818","15,644"
2021년05월_남_0~9세,"9,919",596,712,602,381,810,747,371,412,732,609,"1,063","1,331",708,845
2021년05월_남_10~19세,"11,575",714,511,651,413,"1,193",912,583,530,862,"1,084",704,"1,187","1,030","1,201"
2021년05월_남_20~29세,"23,665","1,036","1,048","1,643","2,910","3,861","1,530","1,032",890,"1,431","2,081",725,"2,063","1,035","2,380"
2021년05월_남_30~39세,"22,010","1,150","1,388","1,622","1,689","2,798","1,622","1,010",903,"1,522","1,832","1,045","2,154","1,116","2,159"
2021년05월_남_40~49세,"22,882","1,318","1,350","1,515",948,"2,307","1,777","1,071",962,"1,664","1,894","1,614","2,451","1,593","2,418"
2021년05월_남_50~59세,"23,761","1,488","1,349","1,633",981,"2,470","1,894","1,327","1,188","1,923","2,203","1,050","2,204","1,449","2,602"
2021년05월_남_60~69세,"18,340","1,061",848,"1,295",650,"1,901","1,525","1,065",984,"1,623","1,721",741,"1,614","1,060","2,252"
2021년05월_남_70~79세,"10,096",551,413,630,392,"1,124",849,673,485,830,969,389,932,572,"1,287"
2021년05월_남_80~89세,"4,358",262,150,267,198,532,373,320,211,366,433,181,368,235,462
2021년05월_남_90~99세,415,21,17,31,21,72,34,30,21,36,29,15,31,19,38
2021년05월_남_100세 이상,35,2,1,3,1,3,0,12,3,0,7,1,1,1,0
2021년05월_여_총인구수,"160,350","9,044","8,462","10,697","10,787","18,395","12,680","8,003","7,338","11,794","13,795","8,083","15,396","9,426","16,450"
2021년05월_여_연령구간인구수,"160,350","9,044","8,462","10,697","10,787","18,395","12,680","8,003","7,338","11,794","13,795","8,083","15,396","9,426","16,450"
2021년05월_여_0~9세,"9,598",589,682,611,332,800,741,376,357,733,600,"1,035","1,313",674,755
2021년05월_여_10~19세,"11,620",717,544,704,510,"1,188",944,501,509,894,"1,043",759,"1,217",912,"1,178"
2021년05월_여_20~29세,"25,907","1,114","1,260","1,793","4,648","3,752","1,596","1,040",920,"1,404","2,057",762,"2,153","1,089","2,319"
2021년05월_여_30~39세,"22,536","1,202","1,459","1,688","1,681","2,788","1,726",933,960,"1,496","1,654","1,336","2,330","1,253","2,030"
2021년05월_여_40~49세,"23,415","1,407","1,278","1,494","1,012","2,521","1,905","1,054","1,029","1,726","1,986","1,456","2,425","1,617","2,505"
2021년05월_여_50~59세,"24,945","1,485","1,376","1,673",980,"2,695","2,159","1,317","1,334","2,008","2,341","1,081","2,197","1,549","2,750"
2021년05월_여_60~69세,"20,626","1,146",967,"1,400",748,"2,191","1,802","1,243","1,087","1,717","2,060",835,"1,804","1,176","2,450"
2021년05월_여_70~79세,"13,550",822,560,792,516,"1,565","1,136",935,733,"1,095","1,238",533,"1,248",752,"1,625"
2021년05월_여_80~89세,"6,951",493,285,441,304,763,582,535,350,618,675,243,599,343,720
2021년05월_여_90~99세,"1,125",66,47,94,53,125,86,57,57,98,118,40,109,60,115
2021년05월_여_100세 이상,77,3,4,7,3,7,3,12,2,5,23,3,1,1,3
