카테고리,대구광역시,대구광역시 중구,대구광역시 동구,대구광역시 서구,대구광역시 남구,대구광역시 북구,대구광역시 수성구,대구광역시 달서구,대구광역시 달성군
2020년08월_계_총인구수,"2,428,228","77,120","343,317","172,465","147,235","439,690","426,437","563,730","258,234"
2020년08월_계_연령구간인구수,"2,428,228","77,120","343,317","172,465","147,235","439,690","426,437","563,730","258,234"
2020년08월_계_0~9세,"182,168","5,305","25,787","7,824","6,966","34,693","30,306","41,447","29,840"
2020년08월_계_10~19세,"228,864","5,104","26,940","11,213","9,585","43,983","51,986","56,382","23,671"
2020년08월_계_20~29세,"323,345","11,995","41,860","21,955","20,459","61,680","55,924","80,288","29,184"
2020년08월_계_30~39세,"299,184","11,012","44,660","17,874","17,378","54,532","43,553","67,995","42,180"
2020년08월_계_40~49세,"386,857","10,798","51,650","23,341","20,593","73,138","73,676","90,718","42,943"
2020년08월_계_50~59세,"427,501","11,448","57,408","34,827","25,205","77,788","75,421","104,670","40,734"
2020년08월_계_60~69세,"319,802","10,154","50,521","30,618","23,733","52,511","51,306","72,021","28,938"
2020년08월_계_70~79세,"174,435","7,364","30,184","17,230","15,156","28,018","28,645","34,030","13,808"
2020년08월_계_80~89세,"76,234","3,365","12,737","6,732","7,163","11,923","13,733","14,425","6,156"
2020년08월_계_90~99세,"9,129",474,"1,446",752,913,"1,336","1,787","1,668",753
2020년08월_계_100세 이상,709,101,124,99,84,88,100,86,27
2020년08월_남_총인구수,"1,198,662","37,118","169,224","86,481","70,744","219,016","206,555","278,341","131,183"
2020년08월_남_연령구간인구수,"1,198,662","37,118","169,224","86,481","70,744","219,016","206,555","278,341","131,183"
2020년08월_남_0~9세,"93,380","2,738","13,175","4,018","3,613","17,772","15,610","21,240","15,214"
2020년08월_남_10~19세,"119,602","2,618","14,138","5,870","5,031","22,820","27,454","29,252","12,419"
2020년08월_남_20~29세,"173,114","5,741","22,382","12,089","10,297","33,579","30,104","42,886","16,036"
2020년08월_남_30~39세,"155,262","5,702","23,507","10,115","9,080","28,417","21,161","35,327","21,953"
2020년08월_남_40~49세,"190,808","5,501","26,653","12,527","10,365","35,876","33,573","43,910","22,403"
2020년08월_남_50~59세,"209,314","5,647","27,818","17,475","12,247","38,576","36,611","50,632","20,308"
2020년08월_남_60~69세,"152,241","4,689","23,500","14,367","10,839","25,561","24,147","34,766","14,372"
2020년08월_남_70~79세,"76,119","3,110","13,167","7,538","6,442","11,988","12,479","15,087","6,308"
2020년08월_남_80~89세,"26,656","1,238","4,537","2,318","2,581","4,136","4,975","4,865","2,006"
2020년08월_남_90~99세,"1,999",113,311,141,231,274,415,358,156
2020년08월_남_100세 이상,167,21,36,23,18,17,26,18,8
2020년08월_여_총인구수,"1,229,566","40,002","174,093","85,984","76,491","220,674","219,882","285,389","127,051"
2020년08월_여_연령구간인구수,"1,229,566","40,002","174,093","85,984","76,491","220,674","219,882","285,389","127,051"
2020년08월_여_0~9세,"88,788","2,567","12,612","3,806","3,353","16,921","14,696","20,207","14,626"
2020년08월_여_10~19세,"109,262","2,486","12,802","5,343","4,554","21,163","24,532","27,130","11,252"
2020년08월_여_20~29세,"150,231","6,254","19,478","9,866","10,162","28,101","25,820","37,402","13,148"
2020년08월_여_30~39세,"143,922","5,310","21,153","7,759","8,298","26,115","22,392","32,668","20,227"
2020년08월_여_40~49세,"196,049","5,297","24,997","10,814","10,228","37,262","40,103","46,808","20,540"
2020년08월_여_50~59세,"218,187","5,801","29,590","17,352","12,958","39,212","38,810","54,038","20,426"
2020년08월_여_60~69세,"167,561","5,465","27,021","16,251","12,894","26,950","27,159","37,255","14,566"
2020년08월_여_70~79세,"98,316","4,254","17,017","9,692","8,714","16,030","16,166","18,943","7,500"
2020년08월_여_80~89세,"49,578","2,127","8,200","4,414","4,582","7,787","8,758","9,560","4,150"
2020년08월_여_90~99세,"7,130",361,"1,135",611,682,"1,062","1,372","1,310",597
2020년08월_여_100세 이상,542,80,88,76,66,71,74,68,19
