,전라북도 남원시,전라북도 남원시 운봉읍,전라북도 남원시 주천면,전라북도 남원시 수지면,전라북도 남원시 송동면,전라북도 남원시 주생면,전라북도 남원시 금지면,전라북도 남원시 대강면,전라북도 남원시 대산면,전라북도 남원시 사매면,전라북도 남원시 덕과면,전라북도 남원시 보절면,전라북도 남원시 산동면,전라북도 남원시 이백면,전라북도 남원시 아영면,전라북도 남원시 산내면,전라북도 남원시 인월면,전라북도 남원시 동충동,전라북도 남원시 죽항동,전라북도 남원시 노암동,전라북도 남원시 금동,전라북도 남원시 왕정동,전라북도 남원시 향교동,전라북도 남원시 도통동
2021년08월_계_총인구수,"79,933","3,843","2,623","1,118","2,026","1,798","2,297","1,595","1,657","1,484",943,"1,473","1,828","2,272","1,869","2,093","2,725","3,424","3,317","6,178","6,608","4,220","7,043","17,499"
2021년08월_계_연령구간인구수,"79,933","3,843","2,623","1,118","2,026","1,798","2,297","1,595","1,657","1,484",943,"1,473","1,828","2,272","1,869","2,093","2,725","3,424","3,317","6,178","6,608","4,220","7,043","17,499"
2021년08월_계_0~9세,"4,741",168,99,44,56,56,59,41,67,51,27,53,55,90,86,79,113,169,181,560,522,214,390,"1,561"
2021년08월_계_10~19세,"7,166",198,160,54,107,98,115,69,87,61,35,64,77,148,113,178,189,332,235,642,758,329,590,"2,527"
2021년08월_계_20~29세,"7,440",261,227,63,145,110,124,74,89,98,52,90,122,174,94,141,173,368,349,662,609,488,749,"2,178"
2021년08월_계_30~39세,"6,158",215,156,55,111,74,106,58,86,73,54,51,83,128,89,86,141,270,280,676,598,400,579,"1,789"
2021년08월_계_40~49세,"10,299",331,259,105,152,160,222,127,144,107,64,125,156,212,164,232,287,434,428,952,"1,056",492,956,"3,134"
2021년08월_계_50~59세,"13,556",684,481,173,367,304,348,231,269,246,156,219,325,403,310,512,515,590,517,985,"1,027",692,"1,278","2,924"
2021년08월_계_60~69세,"13,456",822,561,234,434,373,505,364,384,287,223,280,366,455,390,362,612,562,577,832,"1,000",749,"1,173","1,911"
2021년08월_계_70~79세,"9,740",620,387,185,326,331,448,296,274,288,186,297,339,329,354,280,423,430,480,558,668,534,779,928
2021년08월_계_80~89세,"6,317",465,245,171,278,253,317,282,213,242,128,255,267,276,231,203,233,236,224,276,320,267,470,465
2021년08월_계_90~99세,"1,028",79,45,34,48,39,52,51,44,31,18,36,36,55,35,20,37,33,44,34,50,50,77,80
2021년08월_계_100세 이상,32,0,3,0,2,0,1,2,0,0,0,3,2,2,3,0,2,0,2,1,0,5,2,2
2021년08월_남_총인구수,"39,220","1,854","1,337",555,"1,003",885,"1,102",761,840,763,484,745,910,"1,129",919,"1,030","1,337","1,624","1,565","2,977","3,194","2,060","3,569","8,577"
2021년08월_남_연령구간인구수,"39,220","1,854","1,337",555,"1,003",885,"1,102",761,840,763,484,745,910,"1,129",919,"1,030","1,337","1,624","1,565","2,977","3,194","2,060","3,569","8,577"
2021년08월_남_0~9세,"2,509",92,57,22,24,32,25,24,36,30,21,29,30,48,51,39,63,88,96,292,268,113,204,825
2021년08월_남_10~19세,"3,698",102,75,30,53,53,59,34,50,38,21,33,42,85,58,98,107,168,115,312,369,188,304,"1,304"
2021년08월_남_20~29세,"4,157",139,133,38,85,66,78,40,53,61,29,54,76,92,54,72,115,211,188,354,350,274,416,"1,179"
2021년08월_남_30~39세,"3,155",120,81,26,65,42,63,32,54,36,27,28,46,76,49,51,61,135,145,333,285,233,305,862
2021년08월_남_40~49세,"5,261",175,144,73,90,97,136,82,87,59,46,85,92,112,104,110,155,210,208,457,533,244,496,"1,466"
2021년08월_남_50~59세,"7,253",369,266,97,208,178,196,139,152,167,95,132,195,227,181,284,278,295,269,512,532,324,705,"1,452"
2021년08월_남_60~69세,"6,732",437,292,123,248,196,255,183,208,150,117,142,191,252,193,197,297,249,254,407,470,356,597,918
2021년08월_남_70~79세,"4,133",250,187,91,135,130,185,130,122,131,81,138,151,134,150,120,171,169,201,212,268,224,355,398
2021년08월_남_80~89세,"2,075",156,86,46,83,82,97,84,68,83,40,91,80,89,71,57,84,89,76,91,108,88,165,161
2021년08월_남_90~99세,241,14,16,9,11,9,8,12,10,8,7,12,7,14,7,2,6,10,12,7,11,15,22,12
2021년08월_남_100세 이상,6,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
2021년08월_여_총인구수,"40,713","1,989","1,286",563,"1,023",913,"1,195",834,817,721,459,728,918,"1,143",950,"1,063","1,388","1,800","1,752","3,201","3,414","2,160","3,474","8,922"
2021년08월_여_연령구간인구수,"40,713","1,989","1,286",563,"1,023",913,"1,195",834,817,721,459,728,918,"1,143",950,"1,063","1,388","1,800","1,752","3,201","3,414","2,160","3,474","8,922"
2021년08월_여_0~9세,"2,232",76,42,22,32,24,34,17,31,21,6,24,25,42,35,40,50,81,85,268,254,101,186,736
2021년08월_여_10~19세,"3,468",96,85,24,54,45,56,35,37,23,14,31,35,63,55,80,82,164,120,330,389,141,286,"1,223"
2021년08월_여_20~29세,"3,283",122,94,25,60,44,46,34,36,37,23,36,46,82,40,69,58,157,161,308,259,214,333,999
2021년08월_여_30~39세,"3,003",95,75,29,46,32,43,26,32,37,27,23,37,52,40,35,80,135,135,343,313,167,274,927
2021년08월_여_40~49세,"5,038",156,115,32,62,63,86,45,57,48,18,40,64,100,60,122,132,224,220,495,523,248,460,"1,668"
2021년08월_여_50~59세,"6,303",315,215,76,159,126,152,92,117,79,61,87,130,176,129,228,237,295,248,473,495,368,573,"1,472"
2021년08월_여_60~69세,"6,724",385,269,111,186,177,250,181,176,137,106,138,175,203,197,165,315,313,323,425,530,393,576,993
2021년08월_여_70~79세,"5,607",370,200,94,191,201,263,166,152,157,105,159,188,195,204,160,252,261,279,346,400,310,424,530
2021년08월_여_80~89세,"4,242",309,159,125,195,171,220,198,145,159,88,164,187,187,160,146,149,147,148,185,212,179,305,304
2021년08월_여_90~99세,787,65,29,25,37,30,44,39,34,23,11,24,29,41,28,18,31,23,32,27,39,35,55,68
2021년08월_여_100세 이상,26,0,3,0,1,0,1,1,0,0,0,2,2,2,2,0,2,0,1,1,0,4,2,2
