카테고리,광주광역시 광산구,광주광역시 광산구 송정1동,광주광역시 광산구 송정2동,광주광역시 광산구 도산동,광주광역시 광산구 신흥동,광주광역시 광산구 어룡동,광주광역시 광산구 우산동,광주광역시 광산구 월곡1동,광주광역시 광산구 월곡2동,광주광역시 광산구 비아동,광주광역시 광산구 첨단1동,광주광역시 광산구 첨단2동,광주광역시 광산구 신가동,광주광역시 광산구 운남동,광주광역시 광산구 수완동,광주광역시 광산구 하남동,광주광역시 광산구 임곡동,광주광역시 광산구 동곡동,광주광역시 광산구 평동,광주광역시 광산구 삼도동,광주광역시 광산구 본량동,광주광역시 광산구 신창동
2020년04월_계_총인구수,"406,781","11,303","6,723","16,138","4,778","32,587","26,176","11,687","16,551","7,326","26,710","44,000","21,306","32,056","78,471","23,347","2,165","1,963","4,048","2,270","2,087","35,089"
2020년04월_계_연령구간인구수,"406,781","11,303","6,723","16,138","4,778","32,587","26,176","11,687","16,551","7,326","26,710","44,000","21,306","32,056","78,471","23,347","2,165","1,963","4,048","2,270","2,087","35,089"
2020년04월_계_0~9세,"42,121",774,353,"1,580",362,"4,067","2,121",786,"1,279",682,"1,996","4,068","2,278","3,283","11,017","3,246",58,53,145,56,43,"3,874"
2020년04월_계_10~19세,"53,708","1,236",415,"1,788",428,"3,638","2,175","1,257","2,157",793,"3,613","5,902","3,199","4,162","13,585","3,151",127,86,150,119,92,"5,635"
2020년04월_계_20~29세,"57,747","1,756",971,"2,250",621,"3,936","3,954","2,009","2,474",917,"4,967","7,860","2,963","4,804","9,234","2,792",183,181,414,167,154,"5,140"
2020년04월_계_30~39세,"56,167","1,252",953,"2,371",586,"5,630","3,942","1,322","1,867",936,"3,096","5,971","2,719","4,306","11,201","3,775",117,158,450,151,139,"5,225"
2020년04월_계_40~49세,"77,576","1,969",888,"2,808",730,"5,967","3,974","1,792","3,052","1,425","4,455","8,308","4,439","6,063","18,059","4,698",183,191,502,214,250,"7,609"
2020년04월_계_50~59세,"62,717","1,812","1,101","2,455",806,"4,465","4,682","2,334","3,037","1,314","5,340","7,502","3,190","5,419","9,370","3,142",393,339,680,409,327,"4,600"
2020년04월_계_60~69세,"31,243","1,288",939,"1,445",611,"2,842","2,945","1,327","1,620",647,"1,996","2,527","1,433","2,165","3,665","1,665",440,394,773,458,345,"1,718"
2020년04월_계_70~79세,"16,800",853,760,993,445,"1,384","1,479",568,732,384,798,"1,193",770,"1,257","1,652",581,370,360,572,363,397,889
2020년04월_계_80~89세,"7,532",314,300,388,153,559,776,257,292,207,381,580,277,525,594,258,252,178,296,290,302,353
