,서울특별시 금천구,서울특별시 금천구 가산동,서울특별시 금천구 독산제1동,서울특별시 금천구 독산제2동,서울특별시 금천구 독산제3동,서울특별시 금천구 독산제4동,서울특별시 금천구 시흥제1동,서울특별시 금천구 시흥제2동,서울특별시 금천구 시흥제3동,서울특별시 금천구 시흥제4동,서울특별시 금천구 시흥제5동
2020년07월_계_총인구수,"231,939","21,615","42,431","19,146","24,751","15,755","33,959","22,135","11,262","21,034","19,851"
2020년07월_계_연령구간인구수,"231,939","21,615","42,431","19,146","24,751","15,755","33,959","22,135","11,262","21,034","19,851"
2020년07월_계_0~9세,"13,107",721,"3,312",940,"1,073",670,"1,989","1,642",586,"1,184",990
2020년07월_계_10~19세,"15,049",715,"2,340","1,266","1,410","1,006","2,365","2,168",750,"1,559","1,470"
2020년07월_계_20~29세,"36,615","5,634","7,496","2,831","3,907","2,366","4,987","2,552","1,478","2,801","2,563"
2020년07월_계_30~39세,"35,490","5,057","8,565","2,531","3,510","1,995","4,861","2,558","1,471","2,622","2,320"
2020년07월_계_40~49세,"33,435","2,682","6,238","2,687","3,365","2,218","5,092","3,565","1,587","3,070","2,931"
2020년07월_계_50~59세,"40,701","2,954","6,201","3,880","4,905","3,299","6,015","3,830","2,036","3,971","3,610"
2020년07월_계_60~69세,"32,362","2,274","4,714","2,942","3,806","2,438","4,717","3,176","1,893","3,323","3,079"
2020년07월_계_70~79세,"17,906","1,157","2,538","1,514","1,960","1,293","2,808","1,822","1,058","1,798","1,958"
2020년07월_계_80~89세,"6,290",365,916,471,691,403,956,681,357,623,827
2020년07월_계_90~99세,808,47,94,68,101,52,147,104,42,67,86
2020년07월_계_100세 이상,176,9,17,16,23,15,22,37,4,16,17
2020년07월_남_총인구수,"117,567","11,939","21,919","9,700","12,455","7,928","16,988","10,729","5,625","10,427","9,857"
2020년07월_남_연령구간인구수,"117,567","11,939","21,919","9,700","12,455","7,928","16,988","10,729","5,625","10,427","9,857"
2020년07월_남_0~9세,"6,704",351,"1,718",462,579,363,"1,013",825,296,590,507
2020년07월_남_10~19세,"7,621",362,"1,150",679,702,499,"1,277","1,067",369,785,731
2020년07월_남_20~29세,"18,655","2,697","3,798","1,499","1,975","1,186","2,537","1,334",776,"1,476","1,377"
2020년07월_남_30~39세,"19,674","3,154","4,784","1,361","1,939","1,091","2,631","1,262",809,"1,398","1,245"
2020년07월_남_40~49세,"17,462","1,663","3,392","1,360","1,748","1,116","2,588","1,743",823,"1,529","1,500"
2020년07월_남_50~59세,"20,481","1,726","3,143","1,972","2,442","1,677","2,973","1,815",987,"1,913","1,833"
2020년07월_남_60~69세,"15,874","1,244","2,377","1,440","1,845","1,200","2,259","1,546",904,"1,612","1,447"
2020년07월_남_70~79세,"8,355",576,"1,147",731,917,613,"1,300",830,511,848,882
2020년07월_남_80~89세,"2,477",154,384,173,277,167,359,264,143,248,308
2020년07월_남_90~99세,207,9,23,18,25,12,45,24,7,22,22
2020년07월_남_100세 이상,57,3,3,5,6,4,6,19,0,6,5
2020년07월_여_총인구수,"114,372","9,676","20,512","9,446","12,296","7,827","16,971","11,406","5,637","10,607","9,994"
2020년07월_여_연령구간인구수,"114,372","9,676","20,512","9,446","12,296","7,827","16,971","11,406","5,637","10,607","9,994"
2020년07월_여_0~9세,"6,403",370,"1,594",478,494,307,976,817,290,594,483
2020년07월_여_10~19세,"7,428",353,"1,190",587,708,507,"1,088","1,101",381,774,739
2020년07월_여_20~29세,"17,960","2,937","3,698","1,332","1,932","1,180","2,450","1,218",702,"1,325","1,186"
2020년07월_여_30~39세,"15,816","1,903","3,781","1,170","1,571",904,"2,230","1,296",662,"1,224","1,075"
2020년07월_여_40~49세,"15,973","1,019","2,846","1,327","1,617","1,102","2,504","1,822",764,"1,541","1,431"
2020년07월_여_50~59세,"20,220","1,228","3,058","1,908","2,463","1,622","3,042","2,015","1,049","2,058","1,777"
2020년07월_여_60~69세,"16,488","1,030","2,337","1,502","1,961","1,238","2,458","1,630",989,"1,711","1,632"
2020년07월_여_70~79세,"9,551",581,"1,391",783,"1,043",680,"1,508",992,547,950,"1,076"
2020년07월_여_80~89세,"3,813",211,532,298,414,236,597,417,214,375,519
2020년07월_여_90~99세,601,38,71,50,76,40,102,80,35,45,64
2020년07월_여_100세 이상,119,6,14,11,17,11,16,18,4,10,12
