카테고리,부산광역시 수영구,부산광역시 수영구 남천제1동,부산광역시 수영구 남천제2동,부산광역시 수영구 수영동,부산광역시 수영구 망미제1동,부산광역시 수영구 망미제2동,부산광역시 수영구 광안제1동,부산광역시 수영구 광안제2동,부산광역시 수영구 광안제3동,부산광역시 수영구 광안제4동,부산광역시 수영구 민락동
2021년02월_계_총인구수,"176,703","14,092","12,328","14,924","27,771","11,422","26,065","18,690","9,620","13,256","28,535"
2021년02월_계_연령구간인구수,"176,703","14,092","12,328","14,924","27,771","11,422","26,065","18,690","9,620","13,256","28,535"
2021년02월_계_0~9세,"10,258",734,879,592,"1,691",683,"1,248","1,105",302,824,"2,200"
2021년02월_계_10~19세,"11,745","1,198","1,162",667,"1,941",825,"1,610","1,260",407,870,"1,805"
2021년02월_계_20~29세,"24,265","1,859","1,378","1,830","3,076","1,235","5,065","2,893","1,865","1,754","3,310"
2021년02월_계_30~39세,"23,787","1,659","1,259","1,761","3,366","1,420","4,102","2,721","1,428","1,937","4,134"
2021년02월_계_40~49세,"25,435","2,040","1,952","1,890","3,772","1,698","3,659","2,861","1,212","2,020","4,331"
2021년02월_계_50~59세,"27,580","2,432","2,194","2,330","4,355","1,871","3,594","2,710","1,344","2,062","4,688"
2021년02월_계_60~69세,"28,768","2,147","1,941","2,982","5,159","1,997","3,646","2,620","1,627","2,012","4,637"
2021년02월_계_70~79세,"17,045","1,283","1,068","1,968","2,959","1,220","2,181","1,747","1,010","1,175","2,434"
2021년02월_계_80~89세,"6,868",636,408,806,"1,268",415,840,695,380,539,881
2021년02월_계_90~99세,890,98,77,94,176,54,112,70,40,58,111
2021년02월_계_100세 이상,62,6,10,4,8,4,8,8,5,5,4
2021년02월_남_총인구수,"83,512","6,484","5,742","7,155","13,294","5,614","12,201","8,669","4,594","5,983","13,776"
2021년02월_남_연령구간인구수,"83,512","6,484","5,742","7,155","13,294","5,614","12,201","8,669","4,594","5,983","13,776"
2021년02월_남_0~9세,"5,276",352,451,318,875,347,652,563,160,441,"1,117"
2021년02월_남_10~19세,"6,065",602,587,346,"1,021",442,874,635,211,424,923
2021년02월_남_20~29세,"11,785",914,716,913,"1,598",685,"2,233","1,310",841,833,"1,742"
2021년02월_남_30~39세,"11,882",806,594,932,"1,695",755,"2,059","1,324",746,905,"2,066"
2021년02월_남_40~49세,"12,523",943,868,"1,010","1,903",880,"1,796","1,409",632,892,"2,190"
2021년02월_남_50~59세,"12,693","1,119",968,"1,094","1,995",899,"1,636","1,243",656,916,"2,167"
2021년02월_남_60~69세,"12,794",939,889,"1,313","2,290",892,"1,596","1,149",762,851,"2,113"
2021년02월_남_70~79세,"7,637",533,498,895,"1,376",534,"1,005",736,434,511,"1,115"
2021년02월_남_80~89세,"2,617",243,155,313,483,172,314,276,144,198,319
2021년02월_남_90~99세,226,32,13,21,55,8,33,21,8,12,23
2021년02월_남_100세 이상,14,1,3,0,3,0,3,3,0,0,1
2021년02월_여_총인구수,"93,191","7,608","6,586","7,769","14,477","5,808","13,864","10,021","5,026","7,273","14,759"
2021년02월_여_연령구간인구수,"93,191","7,608","6,586","7,769","14,477","5,808","13,864","10,021","5,026","7,273","14,759"
2021년02월_여_0~9세,"4,982",382,428,274,816,336,596,542,142,383,"1,083"
2021년02월_여_10~19세,"5,680",596,575,321,920,383,736,625,196,446,882
2021년02월_여_20~29세,"12,480",945,662,917,"1,478",550,"2,832","1,583","1,024",921,"1,568"
2021년02월_여_30~39세,"11,905",853,665,829,"1,671",665,"2,043","1,397",682,"1,032","2,068"
2021년02월_여_40~49세,"12,912","1,097","1,084",880,"1,869",818,"1,863","1,452",580,"1,128","2,141"
2021년02월_여_50~59세,"14,887","1,313","1,226","1,236","2,360",972,"1,958","1,467",688,"1,146","2,521"
2021년02월_여_60~69세,"15,974","1,208","1,052","1,669","2,869","1,105","2,050","1,471",865,"1,161","2,524"
2021년02월_여_70~79세,"9,408",750,570,"1,073","1,583",686,"1,176","1,011",576,664,"1,319"
2021년02월_여_80~89세,"4,251",393,253,493,785,243,526,419,236,341,562
2021년02월_여_90~99세,664,66,64,73,121,46,79,49,32,46,88
2021년02월_여_100세 이상,48,5,7,4,5,4,5,5,5,5,3
