카테고리,전라북도 남원시,전라북도 남원시 운봉읍,전라북도 남원시 주천면,전라북도 남원시 수지면,전라북도 남원시 송동면,전라북도 남원시 주생면,전라북도 남원시 금지면,전라북도 남원시 대강면,전라북도 남원시 대산면,전라북도 남원시 사매면,전라북도 남원시 덕과면,전라북도 남원시 보절면,전라북도 남원시 산동면,전라북도 남원시 이백면,전라북도 남원시 아영면,전라북도 남원시 산내면,전라북도 남원시 인월면,전라북도 남원시 동충동,전라북도 남원시 죽항동,전라북도 남원시 노암동,전라북도 남원시 금동,전라북도 남원시 왕정동,전라북도 남원시 향교동,전라북도 남원시 도통동
2020년05월_계_총인구수,"81,067","3,863","2,595","1,159","2,089","1,861","2,331","1,645","1,674","1,553",959,"1,577","1,913","2,291","1,925","2,100","2,758","3,585","3,451","6,169","6,811","4,194","7,372","17,192"
2020년05월_계_연령구간인구수,"81,067","3,863","2,595","1,159","2,089","1,861","2,331","1,645","1,674","1,553",959,"1,577","1,913","2,291","1,925","2,100","2,758","3,585","3,451","6,169","6,811","4,194","7,372","17,192"
2020년05월_계_0~9세,"5,201",161,96,49,69,67,89,52,64,53,27,72,70,95,103,85,123,193,177,595,617,234,442,"1,668"
2020년05월_계_10~19세,"7,487",203,171,55,120,102,130,76,96,64,36,77,99,173,114,182,203,373,274,624,791,334,669,"2,521"
2020년05월_계_20~29세,"7,605",288,214,80,146,128,120,74,103,120,62,106,132,171,115,143,174,378,384,686,619,479,801,"2,082"
2020년05월_계_30~39세,"6,646",216,153,61,134,82,117,74,97,79,59,66,105,131,102,99,159,303,266,726,686,421,647,"1,863"
2020년05월_계_40~49세,"10,983",359,312,113,185,176,242,143,150,124,62,157,174,231,173,281,312,488,477,932,"1,111",527,"1,044","3,210"
2020년05월_계_50~59세,"13,852",702,488,176,388,305,359,250,313,274,163,250,345,429,330,481,541,631,553,"1,003","1,039",698,"1,363","2,771"
2020년05월_계_60~69세,"12,592",788,504,227,394,359,479,343,340,277,214,251,347,401,384,344,580,540,594,757,938,685,"1,125","1,721"
2020년05월_계_70~79세,"9,700",613,393,190,329,346,445,309,264,304,188,310,343,338,345,281,412,438,473,556,664,515,772,872
2020년05월_계_80~89세,"6,053",454,221,176,281,257,308,276,205,227,131,252,261,273,220,185,216,217,216,260,299,254,444,420
2020년05월_계_90~99세,909,76,39,32,41,38,41,46,41,29,17,32,35,47,37,18,36,24,36,28,45,46,63,62
2020년05월_계_100세 이상,39,3,4,0,2,1,1,2,1,2,0,4,2,2,2,1,2,0,1,2,2,1,2,2
2020년05월_남_총인구수,"39,729","1,859","1,313",568,"1,023",917,"1,116",785,838,794,480,790,955,"1,136",947,"1,020","1,353","1,693","1,634","2,982","3,288","2,036","3,734","8,468"
2020년05월_남_연령구간인구수,"39,729","1,859","1,313",568,"1,023",917,"1,116",785,838,794,480,790,955,"1,136",947,"1,020","1,353","1,693","1,634","2,982","3,288","2,036","3,734","8,468"
2020년05월_남_0~9세,"2,756",87,56,24,33,38,36,32,33,32,21,35,39,52,59,45,62,105,90,312,315,128,229,893
2020년05월_남_10~19세,"3,870",99,75,32,60,59,74,37,49,38,20,39,57,96,59,89,119,184,132,297,386,193,346,"1,330"
2020년05월_남_20~29세,"4,234",153,132,43,85,81,71,40,57,68,37,55,79,93,66,75,112,208,212,378,353,274,443,"1,119"
2020년05월_남_30~39세,"3,378",118,76,33,75,48,68,44,63,39,32,38,54,70,60,57,72,147,134,363,320,221,344,902
2020년05월_남_40~49세,"5,655",196,176,74,108,111,156,93,94,76,41,104,110,125,106,137,171,232,245,447,568,266,536,"1,483"
2020년05월_남_50~59세,"7,355",370,276,95,222,176,195,140,177,173,92,154,203,246,185,270,281,316,279,514,530,324,747,"1,390"
2020년05월_남_60~69세,"6,264",419,258,118,211,186,242,178,183,143,111,119,174,223,196,180,285,236,265,360,446,326,571,834
2020년05월_남_70~79세,"4,051",245,179,88,134,125,170,127,116,134,80,147,156,130,141,114,170,178,193,223,259,214,358,370
2020년05월_남_80~89세,"1,948",162,70,52,86,85,97,82,58,81,40,87,75,90,63,51,75,78,72,82,101,81,143,137
2020년05월_남_90~99세,208,9,15,9,9,8,7,11,7,10,6,9,7,11,12,2,6,9,12,5,9,8,17,10
2020년05월_남_100세 이상,10,1,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,1,1,1,0,0
2020년05월_여_총인구수,"41,338","2,004","1,282",591,"1,066",944,"1,215",860,836,759,479,787,958,"1,155",978,"1,080","1,405","1,892","1,817","3,187","3,523","2,158","3,638","8,724"
2020년05월_여_연령구간인구수,"41,338","2,004","1,282",591,"1,066",944,"1,215",860,836,759,479,787,958,"1,155",978,"1,080","1,405","1,892","1,817","3,187","3,523","2,158","3,638","8,724"
2020년05월_여_0~9세,"2,445",74,40,25,36,29,53,20,31,21,6,37,31,43,44,40,61,88,87,283,302,106,213,775
2020년05월_여_10~19세,"3,617",104,96,23,60,43,56,39,47,26,16,38,42,77,55,93,84,189,142,327,405,141,323,"1,191"
