,대구광역시 남구,대구광역시 남구 이천동,대구광역시 남구 봉덕1동,대구광역시 남구 봉덕2동,대구광역시 남구 봉덕3동,대구광역시 남구 대명1동,대구광역시 남구 대명2동,대구광역시 남구 대명3동,대구광역시 남구 대명4동,대구광역시 남구 대명5동,대구광역시 남구 대명6동,대구광역시 남구 대명9동,대구광역시 남구 대명10동,대구광역시 남구 대명11동
2020년12월_계_총인구수,"146,632","12,358","9,285","12,072","17,249","11,644","10,805","11,062","11,254","7,400","9,643","16,002","9,346","8,512"
2020년12월_계_연령구간인구수,"146,632","12,358","9,285","12,072","17,249","11,644","10,805","11,062","11,254","7,400","9,643","16,002","9,346","8,512"
2020년12월_계_0~9세,"6,821",776,379,838,850,524,382,371,475,264,546,774,338,304
2020년12월_계_10~19세,"9,419","1,050",520,980,"1,355",744,632,627,630,412,625,908,486,450
2020년12월_계_20~29세,"20,457","1,219","1,146","1,251","2,108","1,807","2,037","1,518","1,660","1,431","1,408","2,455","1,380","1,037"
2020년12월_계_30~39세,"17,178","1,309","1,151","1,348","1,888","1,421","1,338","1,155","1,213",878,"1,292","2,153","1,111",921
2020년12월_계_40~49세,"20,403","1,987","1,353","1,696","2,559","1,601","1,395","1,498","1,399",897,"1,439","2,335","1,206","1,038"
2020년12월_계_50~59세,"24,967","1,977","1,638","2,021","2,958","2,051","1,695","1,996","2,022","1,184","1,570","2,703","1,623","1,529"
2020년12월_계_60~69세,"23,994","1,752","1,521","1,973","2,820","1,861","1,615","1,988","2,090","1,143","1,426","2,407","1,677","1,721"
2020년12월_계_70~79세,"15,135","1,396",953,"1,201","1,700","1,103","1,116","1,299","1,213",767,868,"1,521",991,"1,007"
2020년12월_계_80~89세,"7,232",758,559,660,890,457,526,534,488,377,410,639,481,453
2020년12월_계_90~99세,939,125,59,97,109,72,62,66,56,42,54,97,51,49
2020년12월_계_100세 이상,87,9,6,7,12,3,7,10,8,5,5,10,2,3
2020년12월_남_총인구수,"70,471","5,830","4,450","5,778","8,194","5,679","5,090","5,515","5,500","3,544","4,613","7,784","4,420","4,074"
2020년12월_남_연령구간인구수,"70,471","5,830","4,450","5,778","8,194","5,679","5,090","5,515","5,500","3,544","4,613","7,784","4,420","4,074"
2020년12월_남_0~9세,"3,525",433,194,419,456,276,189,205,232,151,259,391,173,147
2020년12월_남_10~19세,"4,952",574,284,493,689,400,297,336,340,227,329,485,258,240
2020년12월_남_20~29세,"10,251",613,541,673,"1,056",908,951,790,887,635,697,"1,259",677,564
2020년12월_남_30~39세,"9,004",649,619,683,968,747,692,650,674,465,645,"1,102",589,521
2020년12월_남_40~49세,"10,288",973,689,814,"1,211",832,720,828,722,476,709,"1,194",598,522
2020년12월_남_50~59세,"12,178",972,816,937,"1,476",965,839,"1,050",994,588,776,"1,289",757,719
2020년12월_남_60~69세,"10,989",765,707,926,"1,251",871,753,913,951,531,678,"1,126",752,765
2020년12월_남_70~79세,"6,431",543,386,547,712,494,458,542,529,326,376,661,438,419
2020년12월_남_80~89세,"2,612",278,202,253,348,167,172,186,157,133,136,252,164,164
2020년12월_남_90~99세,223,30,10,30,25,19,16,14,11,11,8,24,13,12
2020년12월_남_100세 이상,18,0,2,3,2,0,3,1,3,1,0,1,1,1
2020년12월_여_총인구수,"76,161","6,528","4,835","6,294","9,055","5,965","5,715","5,547","5,754","3,856","5,030","8,218","4,926","4,438"
2020년12월_여_연령구간인구수,"76,161","6,528","4,835","6,294","9,055","5,965","5,715","5,547","5,754","3,856","5,030","8,218","4,926","4,438"
2020년12월_여_0~9세,"3,296",343,185,419,394,248,193,166,243,113,287,383,165,157
2020년12월_여_10~19세,"4,467",476,236,487,666,344,335,291,290,185,296,423,228,210
2020년12월_여_20~29세,"10,206",606,605,578,"1,052",899,"1,086",728,773,796,711,"1,196",703,473
2020년12월_여_30~39세,"8,174",660,532,665,920,674,646,505,539,413,647,"1,051",522,400
2020년12월_여_40~49세,"10,115","1,014",664,882,"1,348",769,675,670,677,421,730,"1,141",608,516
2020년12월_여_50~59세,"12,789","1,005",822,"1,084","1,482","1,086",856,946,"1,028",596,794,"1,414",866,810
2020년12월_여_60~69세,"13,005",987,814,"1,047","1,569",990,862,"1,075","1,139",612,748,"1,281",925,956
2020년12월_여_70~79세,"8,704",853,567,654,988,609,658,757,684,441,492,860,553,588
2020년12월_여_80~89세,"4,620",480,357,407,542,290,354,348,331,244,274,387,317,289
2020년12월_여_90~99세,716,95,49,67,84,53,46,52,45,31,46,73,38,37
2020년12월_여_100세 이상,69,9,4,4,10,3,4,9,5,4,5,9,1,2
