,경상북도 김천시,경상북도 김천시 아포읍,경상북도 김천시 농소면,경상북도 김천시 남면,경상북도 김천시 개령면,경상북도 김천시 감문면,경상북도 김천시 어모면,경상북도 김천시 봉산면,경상북도 김천시 대항면,경상북도 김천시 감천면,경상북도 김천시 조마면,경상북도 김천시 구성면,경상북도 김천시 지례면,경상북도 김천시 부항면,경상북도 김천시 대덕면,경상북도 김천시 증산면,경상북도 김천시 자산동,경상북도 김천시 평화남산동,경상북도 김천시 양금동,경상북도 김천시 대신동,경상북도 김천시 대곡동,경상북도 김천시 지좌동,경상북도 김천시 율곡동
2020년03월_계_80~89세,"7,909",541,314,326,242,466,407,272,304,232,269,380,228,175,284,156,424,535,335,758,798,293,170
2020년03월_계_90~99세,"1,106",82,41,57,36,66,70,39,52,32,37,68,33,23,31,18,54,70,35,93,104,40,25
2020년03월_계_100세 이상,52,1,0,5,1,1,4,3,4,1,1,1,4,1,2,1,1,4,3,7,3,2,2
2020년03월_남_총인구수,"70,481","3,641","1,568","1,632","1,281","1,682","2,115","1,658","1,808","1,024","1,138","1,432",804,652,"1,070",523,"3,508","3,867","1,974","12,234","10,200","5,554","11,116"
2020년03월_남_연령구간인구수,"70,481","3,641","1,568","1,632","1,281","1,682","2,115","1,658","1,808","1,024","1,138","1,432",804,652,"1,070",523,"3,508","3,867","1,974","12,234","10,200","5,554","11,116"
2020년03월_남_0~9세,"5,580",214,48,49,37,50,85,58,57,40,32,26,19,17,39,8,133,132,88,"1,151",741,459,"2,097"
2020년03월_남_10~19세,"6,423",231,75,84,60,62,126,89,103,51,55,65,34,26,62,24,189,260,134,"1,559","1,241",621,"1,272"
2020년03월_남_20~29세,"8,364",338,148,160,145,122,207,157,198,76,86,99,66,46,74,32,398,495,191,"1,949","1,436",776,"1,165"
2020년03월_남_30~39세,"8,332",328,133,111,87,118,140,124,128,93,75,81,46,31,77,15,351,454,149,"1,454","1,145",730,"2,462"
2020년03월_남_40~49세,"10,322",503,201,194,142,171,248,176,190,123,134,139,78,74,97,57,535,492,253,"1,962","1,492",945,"2,116"
2020년03월_남_50~59세,"12,516",767,319,359,268,338,414,361,422,213,243,322,162,134,210,131,607,703,362,"2,100","1,784",975,"1,322"
2020년03월_남_60~69세,"10,331",699,324,369,297,412,446,357,390,208,265,337,190,175,241,141,685,668,386,"1,239","1,365",650,487
2020년03월_남_70~79세,"5,762",369,187,196,172,252,297,234,208,134,163,238,122,90,172,61,448,434,269,558,708,303,147
2020년03월_남_80~89세,"2,609",175,123,106,67,145,137,87,105,80,77,105,71,55,92,50,148,214,129,242,270,89,42
2020년03월_남_90~99세,232,16,10,4,6,12,14,14,6,6,8,19,14,4,6,4,14,15,11,20,17,6,6
2020년03월_남_100세 이상,10,1,0,0,0,0,1,1,1,0,0,1,2,0,0,0,0,0,2,0,1,0,0
2020년03월_여_총인구수,"70,128","3,591","1,441","1,565","1,244","1,698","2,075","1,589","1,738",963,"1,146","1,441",807,652,"1,091",547,"3,420","4,020","2,095","12,467","10,329","5,366","10,843"
2020년03월_여_연령구간인구수,"70,128","3,591","1,441","1,565","1,244","1,698","2,075","1,589","1,738",963,"1,146","1,441",807,652,"1,091",547,"3,420","4,020","2,095","12,467","10,329","5,366","10,843"
2020년03월_여_0~9세,"5,208",186,48,39,27,35,70,48,43,22,31,26,17,13,18,6,115,117,69,"1,068",742,455,"2,013"
2020년03월_여_10~19세,"5,620",218,64,72,53,50,88,62,91,36,50,42,25,24,66,18,210,199,119,"1,469",952,514,"1,198"
2020년03월_여_20~29세,"6,542",256,104,107,75,87,127,124,132,72,67,83,37,27,55,15,270,363,165,"1,598","1,020",598,"1,160"
2020년03월_여_30~39세,"7,398",299,89,95,65,74,100,93,96,41,56,53,28,21,47,16,249,304,132,"1,408","1,052",599,"2,481"
2020년03월_여_40~49세,"9,219",374,110,123,83,100,203,119,149,68,84,78,45,46,68,41,337,409,187,"2,095","1,558",919,"2,023"
2020년03월_여_50~59세,"11,528",699,233,257,221,267,358,311,336,183,205,220,118,99,183,113,574,715,342,"2,082","1,985",931,"1,096"
2020년03월_여_60~69세,"10,756",668,320,310,288,363,427,347,378,198,244,329,161,131,226,122,803,914,453,"1,338","1,514",716,506
2020년03월_여_70~79세,"7,641",459,251,284,226,346,373,273,265,164,187,286,198,151,209,95,545,619,397,813,889,394,217
2020년03월_여_80~89세,"5,300",366,191,220,175,321,270,185,199,152,192,275,157,120,192,106,276,321,206,516,528,204,128
2020년03월_여_90~99세,874,66,31,53,30,54,56,25,46,26,29,49,19,19,25,14,40,55,24,73,87,34,19
2020년03월_여_100세 이상,42,0,0,5,1,1,3,2,3,1,1,0,2,1,2,1,1,4,1,7,2,2,2
