카테고리,전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
2020년10월_계_총인구수,"51,838,016","9,689,159","3,397,598","2,424,171","2,942,233","1,452,994","1,467,556","1,138,581","351,007","13,400,615","1,541,836","1,599,102","2,120,347","1,805,937","1,850,680","2,639,763","3,342,831","673,606"
2020년10월_계_연령구간인구수,"51,838,016","9,689,159","3,397,598","2,424,171","2,942,233","1,452,994","1,467,556","1,138,581","351,007","13,400,615","1,541,836","1,599,102","2,120,347","1,805,937","1,850,680","2,639,763","3,342,831","673,606"
2020년10월_계_0~9세,"4,005,030","631,458","234,617","180,003","230,733","120,817","116,012","99,560","47,042","1,152,827","106,244","124,477","174,262","129,908","133,324","191,307","271,673","60,766"
2020년10월_계_10~19세,"4,818,481","788,199","273,478","227,586","275,120","158,158","147,489","112,789","41,968","1,335,101","138,449","149,935","203,350","175,976","168,025","226,880","325,298","70,680"
2020년10월_계_20~29세,"6,802,784","1,462,526","432,419","322,910","401,806","209,839","212,830","145,618","36,742","1,800,950","179,516","198,445","242,446","211,563","199,789","283,897","379,200","82,288"
2020년10월_계_30~39세,"6,900,752","1,482,049","422,148","296,728","407,042","187,088","195,531","153,160","60,994","1,908,030","166,642","195,132","269,895","190,044","186,951","293,035","403,417","82,866"
2020년10월_계_40~49세,"8,312,221","1,534,932","512,482","385,501","484,692","242,147","238,518","188,439","67,761","2,298,367","224,848","241,576","328,045","269,678","260,657","384,467","537,625","112,486"
2020년10월_계_50~59세,"8,655,292","1,528,085","571,573","426,784","513,053","233,829","242,641","210,132","44,596","2,231,904","268,641","274,321","340,592","300,218","313,610","460,369","582,825","112,119"
2020년10월_계_60~69세,"6,669,780","1,235,472","527,531","322,968","362,963","162,498","177,135","143,512","29,409","1,510,133","238,567","220,035","275,826","253,402","269,739","404,700","456,848","79,042"
2020년10월_계_70~79세,"3,687,451","702,248","292,328","174,764","176,800","92,935","90,995","59,609","14,219","762,765","135,672","120,372","171,072","169,708","192,581","241,358","244,637","45,388"
2020년10월_계_80~89세,"1,714,191","275,146","114,187","76,914","76,819","39,465","40,209","22,514","7,045","344,435","71,218","65,045","99,693","91,003","109,176","134,094","123,546","23,682"
2020년10월_계_90~99세,"250,335","42,352","14,959","9,289","12,256","5,797","5,834","3,077","1,177","51,806","11,189","9,194","14,249","13,582","15,959","18,666","16,947","4,002"
2020년10월_계_100세 이상,"21,699","6,692","1,876",724,949,421,362,171,54,"4,297",850,570,917,855,869,990,815,287
2020년10월_남_총인구수,"25,847,719","4,713,716","1,664,277","1,196,446","1,473,834","718,912","732,552","584,963","175,135","6,741,849","775,679","810,528","1,081,967","897,770","929,911","1,329,257","1,682,733","338,190"
2020년10월_남_연령구간인구수,"25,847,719","4,713,716","1,664,277","1,196,446","1,473,834","718,912","732,552","584,963","175,135","6,741,849","775,679","810,528","1,081,967","897,770","929,911","1,329,257","1,682,733","338,190"
2020년10월_남_0~9세,"2,053,757","324,310","120,276","92,225","118,446","62,065","59,554","51,129","24,095","590,278","54,338","63,637","89,222","66,606","67,966","98,704","139,714","31,192"
2020년10월_남_10~19세,"2,492,660","404,407","141,427","118,877","141,458","82,004","76,337","59,378","21,040","687,009","72,079","78,032","105,647","91,162","87,239","119,260","170,311","36,993"
2020년10월_남_20~29세,"3,572,849","709,822","225,503","172,890","209,569","109,569","111,640","81,724","18,658","948,109","100,801","110,372","133,832","114,269","111,397","160,420","210,724","43,550"
2020년10월_남_30~39세,"3,554,522","741,388","215,859","154,141","210,479","95,488","101,876","81,298","29,744","982,705","87,592","103,423","145,159","97,999","98,398","156,294","210,767","41,912"
2020년10월_남_40~49세,"4,222,636","760,281","257,763","190,148","247,655","120,124","118,869","95,852","34,640","1,167,816","115,380","125,175","174,829","139,046","139,484","200,759","276,787","58,028"
2020년10월_남_50~59세,"4,367,890","750,451","277,278","208,878","256,576","115,928","121,052","107,021","23,211","1,131,227","138,131","141,169","179,829","155,215","168,032","238,080","297,544","58,268"
2020년10월_남_60~69세,"3,262,004","583,531","249,794","153,832","179,874","77,439","86,131","72,373","14,571","750,482","118,629","110,091","137,625","125,112","135,743","200,606","226,982","39,189"
2020년10월_남_70~79세,"1,658,170","319,781","131,736","76,315","80,533","41,161","41,301","28,235","6,513","345,864","60,724","54,168","77,324","74,708","84,086","107,181","107,961","20,579"
2020년10월_남_80~89세,"601,436","106,866","40,954","26,928","26,344","13,850","14,362","7,402","2,395","124,854","25,204","22,247","34,953","30,462","34,282","43,922","38,552","7,859"
2020년10월_남_90~99세,"56,511","11,116","3,272","2,041","2,650","1,229","1,342",517,257,"12,348","2,541","2,056","3,342","3,015","3,164","3,821","3,220",580
2020년10월_남_100세 이상,"5,284","1,763",415,171,250,55,88,34,11,"1,157",260,158,205,176,120,210,171,40
2020년10월_여_총인구수,"25,990,297","4,975,443","1,733,321","1,227,725","1,468,399","734,082","735,004","553,618","175,872","6,658,766","766,157","788,574","1,038,380","908,167","920,769","1,310,506","1,660,098","335,416"
2020년10월_여_연령구간인구수,"25,990,297","4,975,443","1,733,321","1,227,725","1,468,399","734,082","735,004","553,618","175,872","6,658,766","766,157","788,574","1,038,380","908,167","920,769","1,310,506","1,660,098","335,416"
2020년10월_여_0~9세,"1,951,273","307,148","114,341","87,778","112,287","58,752","56,458","48,431","22,947","562,549","51,906","60,840","85,040","63,302","65,358","92,603","131,959","29,574"
2020년10월_여_10~19세,"2,325,821","383,792","132,051","108,709","133,662","76,154","71,152","53,411","20,928","648,092","66,370","71,903","97,703","84,814","80,786","107,620","154,987","33,687"
2020년10월_여_20~29세,"3,229,935","752,704","206,916","150,020","192,237","100,270","101,190","63,894","18,084","852,841","78,715","88,073","108,614","97,294","88,392","123,477","168,476","38,738"
2020년10월_여_30~39세,"3,346,230","740,661","206,289","142,587","196,563","91,600","93,655","71,862","31,250","925,325","79,050","91,709","124,736","92,045","88,553","136,741","192,650","40,954"
2020년10월_여_40~49세,"4,089,585","774,651","254,719","195,353","237,037","122,023","119,649","92,587","33,121","1,130,551","109,468","116,401","153,216","130,632","121,173","183,708","260,838","54,458"
2020년10월_여_50~59세,"4,287,402","777,634","294,295","217,906","256,477","117,901","121,589","103,111","21,385","1,100,677","130,510","133,152","160,763","145,003","145,578","222,289","285,281","53,851"
2020년10월_여_60~69세,"3,407,776","651,941","277,737","169,136","183,089","85,059","91,004","71,139","14,838","759,651","119,938","109,944","138,201","128,290","133,996","204,094","229,866","39,853"
2020년10월_여_70~79세,"2,029,281","382,467","160,592","98,449","96,267","51,774","49,694","31,374","7,706","416,901","74,948","66,204","93,748","95,000","108,495","134,177","136,676","24,809"
2020년10월_여_80~89세,"1,112,755","168,280","73,233","49,986","50,475","25,615","25,847","15,112","4,650","219,581","46,014","42,798","64,740","60,541","74,894","90,172","84,994","15,823"
2020년10월_여_90~99세,"193,824","31,236","11,687","7,248","9,606","4,568","4,492","2,560",920,"39,458","8,648","7,138","10,907","10,567","12,795","14,845","13,727","3,422"
2020년10월_여_100세 이상,"16,415","4,929","1,461",553,699,366,274,137,43,"3,140",590,412,712,679,749,780,644,247
