,서울특별시 서대문구,서울특별시 서대문구 천연동,서울특별시 서대문구 북아현동,서울특별시 서대문구 충현동,서울특별시 서대문구 신촌동,서울특별시 서대문구 연희동,서울특별시 서대문구 홍제제1동,서울특별시 서대문구 홍제제3동,서울특별시 서대문구 홍제제2동,서울특별시 서대문구 홍은제1동,서울특별시 서대문구 홍은제2동,서울특별시 서대문구 남가좌제1동,서울특별시 서대문구 남가좌제2동,서울특별시 서대문구 북가좌제1동,서울특별시 서대문구 북가좌제2동
2021년10월_계_총인구수,"305,840","17,118","16,036","20,452","19,790","35,167","23,773","15,403","13,747","22,655","26,587","15,525","29,793","18,116","31,678"
2021년10월_계_연령구간인구수,"305,840","17,118","16,036","20,452","19,790","35,167","23,773","15,403","13,747","22,655","26,587","15,525","29,793","18,116","31,678"
2021년10월_계_0~9세,"19,059","1,162","1,398","1,193",668,"1,561","1,457",725,758,"1,451","1,183","2,060","2,629","1,333","1,481"
2021년10월_계_10~19세,"22,695","1,387","1,022","1,302",937,"2,328","1,844","1,034",996,"1,697","2,087","1,478","2,333","1,935","2,315"
2021년10월_계_20~29세,"49,234","2,118","2,198","3,377","7,843","7,588","3,053","2,043","1,730","2,771","4,120","1,443","4,272","2,087","4,591"
2021년10월_계_30~39세,"44,311","2,320","2,823","3,325","3,486","5,520","3,315","1,927","1,879","3,004","3,517","2,294","4,466","2,291","4,144"
2021년10월_계_40~49세,"45,500","2,645","2,566","2,966","1,976","4,755","3,571","2,054","1,909","3,294","3,771","3,076","4,882","3,206","4,829"
2021년10월_계_50~59세,"48,622","2,996","2,735","3,284","1,967","5,121","4,047","2,665","2,463","3,922","4,537","2,150","4,427","2,983","5,325"
2021년10월_계_60~69세,"39,656","2,253","1,816","2,753","1,412","4,146","3,421","2,350","2,142","3,422","3,825","1,585","3,490","2,306","4,735"
2021년10월_계_70~79세,"23,383","1,360",959,"1,393",908,"2,595","1,946","1,620","1,197","1,930","2,203",928,"2,161","1,297","2,886"
2021년10월_계_80~89세,"11,709",782,453,721,516,"1,348",998,869,587,"1,022","1,149",448,998,603,"1,215"
2021년10월_계_90~99세,"1,550",91,61,126,72,194,117,90,81,134,165,59,132,73,155
2021년10월_계_100세 이상,121,4,5,12,5,11,4,26,5,8,30,4,3,2,2
2021년10월_남_총인구수,"146,208","8,120","7,690","9,856","8,756","16,890","11,151","7,449","6,486","10,930","12,834","7,455","14,413","8,730","15,448"
2021년10월_남_연령구간인구수,"146,208","8,120","7,690","9,856","8,756","16,890","11,151","7,449","6,486","10,930","12,834","7,455","14,413","8,730","15,448"
2021년10월_남_0~9세,"9,703",580,710,599,354,782,726,365,403,732,596,"1,061","1,326",688,781
2021년10월_남_10~19세,"11,330",691,495,628,416,"1,172",902,559,504,847,"1,077",704,"1,143","1,011","1,181"
2021년10월_남_20~29세,"23,448","1,016","1,009","1,624","3,033","3,821","1,501","1,011",857,"1,385","2,058",694,"2,114","1,015","2,310"
2021년10월_남_30~39세,"21,868","1,138","1,359","1,631","1,728","2,748","1,603","1,010",908,"1,503","1,862","1,011","2,171","1,068","2,128"
2021년10월_남_40~49세,"22,461","1,273","1,319","1,481",952,"2,279","1,705","1,039",917,"1,633","1,846","1,575","2,449","1,585","2,408"
2021년10월_남_50~59세,"23,703","1,498","1,355","1,622",991,"2,460","1,892","1,324","1,158","1,914","2,193","1,067","2,206","1,445","2,578"
2021년10월_남_60~69세,"18,723","1,082",857,"1,345",664,"1,915","1,556","1,094","1,015","1,662","1,756",742,"1,661","1,099","2,275"
2021년10월_남_70~79세,"10,018",551,411,624,390,"1,093",843,679,482,832,969,392,927,555,"1,270"
2021년10월_남_80~89세,"4,508",269,156,268,205,550,393,325,220,386,439,189,381,248,479
2021년10월_남_90~99세,411,21,18,31,21,67,30,31,20,35,31,19,34,15,38
2021년10월_남_100세 이상,35,1,1,3,2,3,0,12,2,1,7,1,1,1,0
2021년10월_여_총인구수,"159,632","8,998","8,346","10,596","11,034","18,277","12,622","7,954","7,261","11,725","13,753","8,070","15,380","9,386","16,230"
2021년10월_여_연령구간인구수,"159,632","8,998","8,346","10,596","11,034","18,277","12,622","7,954","7,261","11,725","13,753","8,070","15,380","9,386","16,230"
2021년10월_여_0~9세,"9,356",582,688,594,314,779,731,360,355,719,587,999,"1,303",645,700
2021년10월_여_10~19세,"11,365",696,527,674,521,"1,156",942,475,492,850,"1,010",774,"1,190",924,"1,134"
2021년10월_여_20~29세,"25,786","1,102","1,189","1,753","4,810","3,767","1,552","1,032",873,"1,386","2,062",749,"2,158","1,072","2,281"
2021년10월_여_30~39세,"22,443","1,182","1,464","1,694","1,758","2,772","1,712",917,971,"1,501","1,655","1,283","2,295","1,223","2,016"
2021년10월_여_40~49세,"23,039","1,372","1,247","1,485","1,024","2,476","1,866","1,015",992,"1,661","1,925","1,501","2,433","1,621","2,421"
2021년10월_여_50~59세,"24,919","1,498","1,380","1,662",976,"2,661","2,155","1,341","1,305","2,008","2,344","1,083","2,221","1,538","2,747"
2021년10월_여_60~69세,"20,933","1,171",959,"1,408",748,"2,231","1,865","1,256","1,127","1,760","2,069",843,"1,829","1,207","2,460"
2021년10월_여_70~79세,"13,365",809,548,769,518,"1,502","1,103",941,715,"1,098","1,234",536,"1,234",742,"1,616"
2021년10월_여_80~89세,"7,201",513,297,453,311,798,605,544,367,636,710,259,617,355,736
2021년10월_여_90~99세,"1,139",70,43,95,51,127,87,59,61,99,134,40,98,58,117
2021년10월_여_100세 이상,86,3,4,9,3,8,4,14,3,7,23,3,2,1,2
