,대구광역시 동구,대구광역시 동구 신암1동,대구광역시 동구 신암2동,대구광역시 동구 신암3동,대구광역시 동구 신암4동,대구광역시 동구 신암5동,대구광역시 동구 신천1.2동,대구광역시 동구 신천3동,대구광역시 동구 신천4동,대구광역시 동구 효목1동,대구광역시 동구 효목2동,대구광역시 동구 도평동,대구광역시 동구 불로.봉무동,대구광역시 동구 지저동,대구광역시 동구 동촌동,대구광역시 동구 방촌동,대구광역시 동구 해안동,대구광역시 동구 안심1동,대구광역시 동구 안심2동,대구광역시 동구 안심3.4동,대구광역시 동구 공산동
2020년03월_남_0~9세,"13,501",155,572,380,246,120,472,526,99,324,404,98,"1,397",207,477,496,441,"2,128",290,"4,303",366
2020년03월_남_10~19세,"14,368",275,478,311,408,240,537,613,218,494,550,155,"1,410",310,531,738,532,"1,986",337,"3,625",620
2020년03월_남_20~29세,"22,541",485,596,498,"1,020",472,858,926,638,"1,013","1,028",405,"1,638",749,"1,214","1,370","1,048","2,891",733,"4,088",871
2020년03월_남_30~39세,"23,689",430,781,721,872,317,868,842,629,844,939,286,"1,790",602,"1,108","1,005",979,"3,112",674,"6,197",693
2020년03월_남_40~49세,"26,767",558,"1,015",625,"1,057",454,"1,016",977,568,945,"1,107",299,"2,371",712,"1,107","1,203","1,119","3,550",731,"6,282","1,071"
2020년03월_남_50~59세,"27,977",735,756,691,"1,372",582,"1,034","1,106",695,"1,326","1,246",388,"2,073","1,023","1,482","1,696","1,481","3,454","1,004","4,422","1,411"
2020년03월_남_60~69세,"23,135",659,649,651,"1,108",553,909,771,557,"1,179","1,142",350,"1,597",907,"1,311","1,454","1,286","2,805",825,"3,130","1,292"
2020년03월_남_70~79세,"12,939",461,407,368,593,345,601,395,335,765,648,200,769,470,686,798,729,"1,352",483,"1,664",870
2020년03월_남_80~89세,"4,413",179,156,146,176,117,239,168,126,267,224,83,232,156,221,303,234,398,179,471,338
2020년03월_남_90~99세,320,10,12,7,17,5,15,15,10,19,23,3,16,8,16,22,18,32,12,44,16
2020년03월_남_100세 이상,33,0,3,0,4,2,2,4,1,2,2,0,0,1,0,1,1,2,2,4,2
2020년03월_여_총인구수,"174,250","4,000","5,965","4,555","6,703","3,485","6,994","6,433","3,840","7,277","7,849","1,992","13,704","5,230","8,080","9,681","7,728","22,684","5,100","35,175","7,775"
2020년03월_여_연령구간인구수,"174,250","4,000","5,965","4,555","6,703","3,485","6,994","6,433","3,840","7,277","7,849","1,992","13,704","5,230","8,080","9,681","7,728","22,684","5,100","35,175","7,775"
2020년03월_여_0~9세,"12,846",142,578,357,244,124,433,475,81,250,407,108,"1,387",217,430,493,391,"1,987",289,"4,113",340
2020년03월_여_10~19세,"13,019",215,398,273,357,190,436,467,165,432,544,125,"1,343",308,467,679,453,"1,795",288,"3,540",544
2020년03월_여_20~29세,"19,490",388,506,509,912,354,680,758,687,854,913,224,"1,343",642,972,"1,118",910,"2,556",578,"3,919",667
2020년03월_여_30~39세,"21,422",309,824,587,696,274,780,837,451,627,806,188,"1,880",432,896,879,746,"3,011",526,"6,041",632
2020년03월_여_40~49세,"25,150",451,936,606,816,435,997,"1,024",461,861,"1,077",225,"2,298",586,981,"1,215",920,"3,427",607,"6,165","1,062"
2020년03월_여_50~59세,"29,751",701,886,742,"1,317",691,"1,192","1,139",663,"1,378","1,363",364,"2,213","1,109","1,612","1,977","1,447","3,769","1,054","4,701","1,433"
2020년03월_여_60~69세,"26,620",775,860,730,"1,233",693,"1,152",835,703,"1,429","1,409",350,"1,787","1,007","1,387","1,697","1,421","3,194",928,"3,624","1,406"
2020년03월_여_70~79세,"16,728",644,644,468,772,463,855,572,400,956,850,262,935,615,869,"1,029",945,"1,804",577,"2,051","1,017"
2020년03월_여_80~89세,"8,009",321,284,235,305,236,415,283,201,426,412,132,447,275,404,524,431,990,213,893,582
2020년03월_여_90~99세,"1,122",48,42,45,45,23,49,38,25,56,61,14,66,35,60,64,63,146,36,119,87
2020년03월_여_100세 이상,93,6,7,3,6,2,5,5,3,8,7,0,5,4,2,6,1,5,4,9,5
