,경기도 의왕시,경기도 의왕시 고천동,경기도 의왕시 부곡동,경기도 의왕시 오전동,경기도 의왕시 내손1동,경기도 의왕시 내손2동,경기도 의왕시 청계동
2020년06월_계_총인구수,"163,622","12,032","29,616","38,345","21,426","25,406","36,797"
2020년06월_계_연령구간인구수,"163,622","12,032","29,616","38,345","21,426","25,406","36,797"
2020년06월_계_0~9세,"13,449",797,"2,261","2,968","1,599","2,485","3,339"
2020년06월_계_10~19세,"14,959",987,"2,505","4,009","2,099","2,197","3,162"
2020년06월_계_20~29세,"23,046","1,515","4,185","5,106","3,382","3,692","5,166"
2020년06월_계_30~39세,"22,750","1,610","4,316","4,978","2,525","3,831","5,490"
2020년06월_계_40~49세,"25,058","1,703","4,432","6,113","3,272","3,862","5,676"
2020년06월_계_50~59세,"29,742","2,064","5,117","6,838","4,299","4,606","6,818"
2020년06월_계_60~69세,"20,716","1,986","3,637","5,208","2,561","2,869","4,455"
2020년06월_계_70~79세,"9,004",921,"1,996","2,135","1,039","1,166","1,747"
2020년06월_계_80~89세,"4,154",371,"1,017",838,551,595,782
2020년06월_계_90~99세,691,73,137,146,85,98,152
2020년06월_계_100세 이상,53,5,13,6,14,5,10
2020년06월_남_총인구수,"81,480","6,102","15,071","19,101","10,494","12,504","18,208"
2020년06월_남_연령구간인구수,"81,480","6,102","15,071","19,101","10,494","12,504","18,208"
2020년06월_남_0~9세,"6,986",428,"1,196","1,502",835,"1,270","1,755"
2020년06월_남_10~19세,"7,711",507,"1,282","2,083","1,116","1,164","1,559"
2020년06월_남_20~29세,"12,178",838,"2,273","2,692","1,721","1,909","2,745"
2020년06월_남_30~39세,"11,664",862,"2,365","2,526","1,248","1,872","2,791"
2020년06월_남_40~49세,"12,321",877,"2,299","2,962","1,543","1,887","2,753"
2020년06월_남_50~59세,"14,394",983,"2,523","3,350","2,050","2,227","3,261"
2020년06월_남_60~69세,"10,422","1,002","1,837","2,617","1,310","1,452","2,204"
2020년06월_남_70~79세,"4,216",464,884,"1,040",466,505,857
2020년06월_남_80~89세,"1,418",126,369,298,185,198,242
2020년06월_남_90~99세,154,12,39,29,18,19,37
2020년06월_남_100세 이상,16,3,4,2,2,1,4
2020년06월_여_총인구수,"82,142","5,930","14,545","19,244","10,932","12,902","18,589"
2020년06월_여_연령구간인구수,"82,142","5,930","14,545","19,244","10,932","12,902","18,589"
2020년06월_여_0~9세,"6,463",369,"1,065","1,466",764,"1,215","1,584"
2020년06월_여_10~19세,"7,248",480,"1,223","1,926",983,"1,033","1,603"
2020년06월_여_20~29세,"10,868",677,"1,912","2,414","1,661","1,783","2,421"
2020년06월_여_30~39세,"11,086",748,"1,951","2,452","1,277","1,959","2,699"
2020년06월_여_40~49세,"12,737",826,"2,133","3,151","1,729","1,975","2,923"
2020년06월_여_50~59세,"15,348","1,081","2,594","3,488","2,249","2,379","3,557"
2020년06월_여_60~69세,"10,294",984,"1,800","2,591","1,251","1,417","2,251"
2020년06월_여_70~79세,"4,788",457,"1,112","1,095",573,661,890
2020년06월_여_80~89세,"2,736",245,648,540,366,397,540
2020년06월_여_90~99세,537,61,98,117,67,79,115
2020년06월_여_100세 이상,37,2,9,4,12,4,6
