,경기도 포천시,경기도 포천시 소흘읍,경기도 포천시 군내면,경기도 포천시 내촌면,경기도 포천시 가산면,경기도 포천시 신북면,경기도 포천시 창수면,경기도 포천시 영중면,경기도 포천시 일동면,경기도 포천시 이동면,경기도 포천시 영북면,경기도 포천시 관인면,경기도 포천시 화현면,경기도 포천시 포천동,경기도 포천시 선단동
2021년11월_계_총인구수,"148,738","45,505","8,677","4,580","7,609","12,417","2,115","4,764","9,426","6,267","8,215","2,731","2,714","18,896","14,822"
2021년11월_계_연령구간인구수,"148,738","45,505","8,677","4,580","7,609","12,417","2,115","4,764","9,426","6,267","8,215","2,731","2,714","18,896","14,822"
2021년11월_계_0~9세,"8,113","2,833",568,94,196,598,42,159,455,510,597,48,182,"1,163",668
2021년11월_계_10~19세,"11,810","4,895",561,182,377,908,60,229,673,352,444,131,143,"1,752","1,103"
2021년11월_계_20~29세,"18,053","6,068",941,432,745,"1,438",172,400,934,859,957,236,297,"2,525","2,049"
2021년11월_계_30~39세,"14,610","4,455","1,091",343,623,"1,195",118,289,862,899,948,122,334,"1,945","1,386"
2021년11월_계_40~49세,"19,779","7,091","1,110",497,813,"1,576",186,475,"1,176",628,832,226,273,"2,681","2,215"
2021년11월_계_50~59세,"29,242","9,308","1,585","1,108","1,825","2,445",363,950,"1,555",847,"1,239",513,431,"3,696","3,377"
2021년11월_계_60~69세,"26,849","6,621","1,623","1,115","1,784","2,535",608,"1,180","1,970","1,114","1,575",702,572,"2,984","2,466"
2021년11월_계_70~79세,"12,315","2,618",718,486,707,"1,048",332,657,"1,063",667,940,464,276,"1,363",976
2021년11월_계_80~89세,"6,922","1,403",410,283,464,571,213,373,617,353,591,259,180,693,512
2021년11월_계_90~99세,"1,008",203,69,40,73,98,21,50,117,37,91,29,25,90,65
2021년11월_계_100세 이상,37,10,1,0,2,5,0,2,4,1,1,1,1,4,5
2021년11월_남_총인구수,"78,786","23,198","4,646","2,658","4,466","6,844","1,183","2,585","4,916","3,438","4,438","1,431","1,436","9,571","7,976"
2021년11월_남_연령구간인구수,"78,786","23,198","4,646","2,658","4,466","6,844","1,183","2,585","4,916","3,438","4,438","1,431","1,436","9,571","7,976"
2021년11월_남_0~9세,"4,165","1,446",285,56,95,318,27,82,238,253,319,21,88,583,354
2021년11월_남_10~19세,"6,187","2,564",287,98,199,499,37,121,359,171,220,58,68,940,566
2021년11월_남_20~29세,"10,450","3,245",542,274,439,875,118,236,582,606,672,156,172,"1,372","1,161"
2021년11월_남_30~39세,"8,194","2,292",610,216,390,709,80,176,510,549,569,85,184,"1,048",776
2021년11월_남_40~49세,"10,638","3,536",618,319,538,854,110,296,673,371,484,137,165,"1,313","1,224"
2021년11월_남_50~59세,"16,069","4,902",872,663,"1,139","1,430",216,558,824,448,706,270,232,"1,918","1,891"
2021년11월_남_60~69세,"14,560","3,475",910,666,"1,090","1,413",339,662,999,588,810,379,321,"1,546","1,362"
2021년11월_남_70~79세,"5,760","1,206",366,235,373,502,160,303,495,311,409,215,136,590,459
2021년11월_남_80~89세,"2,503",492,142,120,187,216,88,132,201,131,221,104,64,240,165
2021년11월_남_90~99세,248,38,14,11,15,27,8,18,34,9,27,5,6,20,16
2021년11월_남_100세 이상,12,2,0,0,1,1,0,1,1,1,1,1,0,1,2
2021년11월_여_총인구수,"69,952","22,307","4,031","1,922","3,143","5,573",932,"2,179","4,510","2,829","3,777","1,300","1,278","9,325","6,846"
2021년11월_여_연령구간인구수,"69,952","22,307","4,031","1,922","3,143","5,573",932,"2,179","4,510","2,829","3,777","1,300","1,278","9,325","6,846"
2021년11월_여_0~9세,"3,948","1,387",283,38,101,280,15,77,217,257,278,27,94,580,314
2021년11월_여_10~19세,"5,623","2,331",274,84,178,409,23,108,314,181,224,73,75,812,537
2021년11월_여_20~29세,"7,603","2,823",399,158,306,563,54,164,352,253,285,80,125,"1,153",888
2021년11월_여_30~39세,"6,416","2,163",481,127,233,486,38,113,352,350,379,37,150,897,610
2021년11월_여_40~49세,"9,141","3,555",492,178,275,722,76,179,503,257,348,89,108,"1,368",991
2021년11월_여_50~59세,"13,173","4,406",713,445,686,"1,015",147,392,731,399,533,243,199,"1,778","1,486"
2021년11월_여_60~69세,"12,289","3,146",713,449,694,"1,122",269,518,971,526,765,323,251,"1,438","1,104"
2021년11월_여_70~79세,"6,555","1,412",352,251,334,546,172,354,568,356,531,249,140,773,517
2021년11월_여_80~89세,"4,419",911,268,163,277,355,125,241,416,222,370,155,116,453,347
2021년11월_여_90~99세,760,165,55,29,58,71,13,32,83,28,64,24,19,70,49
2021년11월_여_100세 이상,25,8,1,0,1,4,0,1,3,0,0,0,1,3,3
