,대전광역시 대덕구,대전광역시 대덕구 오정동,대전광역시 대덕구 대화동,대전광역시 대덕구 회덕동,대전광역시 대덕구 비래동,대전광역시 대덕구 송촌동,대전광역시 대덕구 중리동,대전광역시 대덕구 신탄진동,대전광역시 대덕구 석봉동,대전광역시 대덕구 덕암동,대전광역시 대덕구 목상동,대전광역시 대덕구 법1동,대전광역시 대덕구 법2동
2020년06월_계_총인구수,"174,882","15,042","7,401","13,525","16,939","28,431","20,012","11,269","14,441","14,001","6,913","9,922","16,986"
2020년06월_계_연령구간인구수,"174,882","15,042","7,401","13,525","16,939","28,431","20,012","11,269","14,441","14,001","6,913","9,922","16,986"
2020년06월_계_0~9세,"11,338",726,328,764,"1,050","2,185","1,074",550,"1,810",833,528,473,"1,017"
2020년06월_계_10~19세,"17,108","1,046",539,"1,094","1,766","4,049","1,688",952,"1,326","1,345",659,874,"1,770"
2020년06월_계_20~29세,"24,365","2,378",837,"1,612","2,336","4,207","3,009","1,510","1,737","2,047","1,090","1,293","2,309"
2020년06월_계_30~39세,"19,655","1,625",879,"1,333","1,759","2,832","2,338","1,154","2,461","1,640","1,076",924,"1,634"
2020년06월_계_40~49세,"27,720","2,055","1,142","1,933","2,688","5,330","3,246","1,639","2,342","2,252","1,235","1,348","2,510"
2020년06월_계_50~59세,"33,462","2,906","1,399","2,626","3,244","5,573","3,795","2,213","2,319","2,703","1,193","2,003","3,488"
2020년06월_계_60~69세,"23,495","2,512","1,287","2,289","2,359","2,487","2,865","1,749","1,476","1,709",678,"1,567","2,517"
2020년06월_계_70~79세,"11,872","1,261",681,"1,212","1,190","1,132","1,415",997,621,978,297,941,"1,147"
2020년06월_계_80~89세,"5,169",451,264,588,490,565,524,439,314,435,131,447,521
2020년06월_계_90~99세,664,77,43,68,52,68,57,60,34,57,25,51,72
2020년06월_계_100세 이상,34,5,2,6,5,3,1,6,1,2,1,1,1
2020년06월_남_총인구수,"88,967","7,968","3,902","6,884","8,448","14,092","10,390","5,761","7,397","7,410","3,760","4,702","8,253"
2020년06월_남_연령구간인구수,"88,967","7,968","3,902","6,884","8,448","14,092","10,390","5,761","7,397","7,410","3,760","4,702","8,253"
2020년06월_남_0~9세,"5,743",378,172,376,529,"1,109",541,263,924,436,265,235,515
2020년06월_남_10~19세,"8,911",561,295,566,923,"2,072",893,507,695,699,336,446,918
2020년06월_남_20~29세,"13,561","1,313",489,898,"1,282","2,273","1,670",848,964,"1,205",638,719,"1,262"
2020년06월_남_30~39세,"10,668",924,482,709,943,"1,389","1,367",655,"1,274",935,654,486,850
2020년06월_남_40~49세,"14,105","1,172",653,"1,029","1,336","2,396","1,731",862,"1,224","1,223",685,648,"1,146"
2020년06월_남_50~59세,"17,038","1,526",749,"1,338","1,607","2,881","1,925","1,160","1,153","1,445",643,982,"1,629"
2020년06월_남_60~69세,"11,653","1,300",676,"1,160","1,093","1,254","1,396",848,749,852,357,710,"1,258"
2020년06월_남_70~79세,"5,310",609,291,564,533,492,648,458,292,442,132,349,500
2020년06월_남_80~89세,"1,835",173,91,220,184,211,209,154,116,160,43,113,161
2020년06월_남_90~99세,135,10,4,20,17,14,10,6,6,13,7,14,14
2020년06월_남_100세 이상,8,2,0,4,1,1,0,0,0,0,0,0,0
2020년06월_여_총인구수,"85,915","7,074","3,499","6,641","8,491","14,339","9,622","5,508","7,044","6,591","3,153","5,220","8,733"
2020년06월_여_연령구간인구수,"85,915","7,074","3,499","6,641","8,491","14,339","9,622","5,508","7,044","6,591","3,153","5,220","8,733"
2020년06월_여_0~9세,"5,595",348,156,388,521,"1,076",533,287,886,397,263,238,502
2020년06월_여_10~19세,"8,197",485,244,528,843,"1,977",795,445,631,646,323,428,852
2020년06월_여_20~29세,"10,804","1,065",348,714,"1,054","1,934","1,339",662,773,842,452,574,"1,047"
2020년06월_여_30~39세,"8,987",701,397,624,816,"1,443",971,499,"1,187",705,422,438,784
2020년06월_여_40~49세,"13,615",883,489,904,"1,352","2,934","1,515",777,"1,118","1,029",550,700,"1,364"
2020년06월_여_50~59세,"16,424","1,380",650,"1,288","1,637","2,692","1,870","1,053","1,166","1,258",550,"1,021","1,859"
2020년06월_여_60~69세,"11,842","1,212",611,"1,129","1,266","1,233","1,469",901,727,857,321,857,"1,259"
2020년06월_여_70~79세,"6,562",652,390,648,657,640,767,539,329,536,165,592,647
2020년06월_여_80~89세,"3,334",278,173,368,306,354,315,285,198,275,88,334,360
2020년06월_여_90~99세,529,67,39,48,35,54,47,54,28,44,18,37,58
2020년06월_여_100세 이상,26,3,2,2,4,2,1,6,1,2,1,1,1
