,전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
2020년04월_계_총인구수,"51,842,524","9,726,787","3,408,347","2,431,523","2,950,972","1,456,096","1,471,650","1,144,098","345,216","13,311,254","1,537,780","1,596,613","2,118,457","1,811,619","1,857,083","2,651,054","3,353,380","670,595"
2020년04월_계_연령구간인구수,"51,842,524","9,726,787","3,408,347","2,431,523","2,950,972","1,456,096","1,471,650","1,144,098","345,216","13,311,254","1,537,780","1,596,613","2,118,457","1,811,619","1,857,083","2,651,054","3,353,380","670,595"
2020년04월_계_0~9세,"4,103,848","651,713","239,942","185,155","237,571","124,409","119,414","102,596","47,399","1,172,865","108,087","127,232","178,550","133,951","136,631","196,465","280,160","61,708"
2020년04월_계_10~19세,"4,887,408","806,853","278,986","232,363","279,083","161,641","150,689","114,667","40,875","1,342,695","140,644","151,945","205,330","178,989","171,145","231,034","329,243","71,226"
2020년04월_계_20~29세,"6,802,925","1,461,968","434,904","322,534","405,343","208,412","212,490","147,252","36,323","1,786,677","178,850","198,362","242,858","212,153","201,748","288,414","382,928","81,709"
2020년04월_계_30~39세,"6,995,799","1,499,396","429,569","301,805","415,072","190,220","198,204","157,147","61,266","1,917,619","168,852","197,615","274,391","194,215","191,361","300,333","414,972","83,762"
2020년04월_계_40~49세,"8,362,127","1,553,951","515,998","389,655","488,260","244,392","241,035","189,852","66,124","2,296,203","226,430","242,620","328,812","272,813","263,533","388,395","541,189","112,865"
2020년04월_계_50~59세,"8,661,935","1,535,950","578,463","428,427","515,034","234,352","242,915","211,109","43,283","2,212,849","268,793","273,650","339,782","302,242","316,359","463,014","584,228","111,485"
2020년04월_계_60~69세,"6,456,674","1,209,291","515,095","314,502","349,309","156,796","172,219","138,280","28,173","1,445,636","229,900","212,481","267,106","246,819","261,746","393,035","440,377","75,909"
2020년04월_계_70~79세,"3,632,966","692,568","287,942","172,311","173,536","91,258","89,106","58,029","13,673","748,404","135,561","119,208","168,298","166,423","191,003","239,231","241,728","44,687"
2020년04월_계_80~89세,"1,676,737","267,588","111,008","75,116","75,066","38,573","39,602","21,970","6,922","334,613","69,127","64,143","98,758","90,207","107,298","132,258","121,360","23,128"
