,서울특별시 동작구,서울특별시 동작구 노량진제1동,서울특별시 동작구 노량진제2동,서울특별시 동작구 상도제1동,서울특별시 동작구 상도제2동,서울특별시 동작구 상도제3동,서울특별시 동작구 상도제4동,서울특별시 동작구 흑석동,서울특별시 동작구 사당제1동,서울특별시 동작구 사당제2동,서울특별시 동작구 사당제3동,서울특별시 동작구 사당제4동,서울특별시 동작구 사당제5동,서울특별시 동작구 대방동,서울특별시 동작구 신대방제1동,서울특별시 동작구 신대방제2동
2020년06월_계_총인구수,"395,165","32,291","12,662","45,673","28,502","25,380","29,294","32,703","23,275","27,594","25,305","14,624","14,548","39,260","23,794","20,260"
2020년06월_계_연령구간인구수,"395,165","32,291","12,662","45,673","28,502","25,380","29,294","32,703","23,275","27,594","25,305","14,624","14,548","39,260","23,794","20,260"
2020년06월_계_0~9세,"25,743","2,015",366,"3,094","2,369","1,356","1,833","2,419",862,"1,838","2,189",801,"1,089","2,411","1,600","1,501"
2020년06월_계_10~19세,"28,744","2,034",607,"3,415","1,985","1,740","1,986","2,242",979,"1,717","1,668",769,986,"4,283","2,594","1,739"
2020년06월_계_20~29세,"66,994","5,672","2,216","9,909","4,420","4,241","4,614","5,190","5,274","3,767","3,431","2,560","2,241","6,554","3,380","3,525"
2020년06월_계_30~39세,"63,297","5,482","1,866","6,437","4,891","4,293","4,957","4,769","4,682","4,560","4,211","2,584","2,571","5,548","3,077","3,369"
2020년06월_계_40~49세,"59,954","4,395","1,590","6,657","4,447","3,811","4,470","4,973","2,970","4,122","3,901","2,107","2,288","6,796","4,163","3,264"
2020년06월_계_50~59세,"58,886","4,740","2,244","6,385","4,166","3,891","4,502","5,230","3,148","4,284","3,705","2,149","2,187","5,868","3,703","2,684"
2020년06월_계_60~69세,"48,396","4,154","1,960","5,151","3,293","3,104","3,657","3,977","3,030","3,859","3,420","1,958","1,751","4,076","2,894","2,112"
2020년06월_계_70~79세,"29,540","2,480","1,226","3,088","1,939","2,072","2,237","2,515","1,761","2,421","2,018","1,216",988,"2,499","1,619","1,461"
2020년06월_계_80~89세,"11,556","1,119",496,"1,287",842,754,916,"1,140",498,863,645,407,371,"1,043",655,520
2020년06월_계_90~99세,"1,747",170,77,215,124,104,111,193,64,128,96,67,64,158,103,73
2020년06월_계_100세 이상,308,30,14,35,26,14,11,55,7,35,21,6,12,24,6,12
2020년06월_남_총인구수,"191,211","16,057","6,521","22,148","13,727","12,154","14,237","15,936","11,037","13,281","12,272","6,990","7,058","18,631","11,482","9,680"
2020년06월_남_연령구간인구수,"191,211","16,057","6,521","22,148","13,727","12,154","14,237","15,936","11,037","13,281","12,272","6,990","7,058","18,631","11,482","9,680"
2020년06월_남_0~9세,"13,142","1,016",191,"1,554","1,222",716,933,"1,234",434,956,"1,106",419,556,"1,224",819,762
2020년06월_남_10~19세,"14,734","1,052",314,"1,756","1,025",874,"1,069","1,146",519,941,898,391,513,"2,079","1,278",879
2020년06월_남_20~29세,"32,404","2,951","1,191","5,012","2,103","1,943","2,228","2,736","2,273","1,794","1,616","1,199","1,102","3,066","1,628","1,562"
2020년06월_남_30~39세,"32,031","2,956","1,098","3,199","2,379","2,253","2,569","2,376","2,427","2,254","2,018","1,304","1,307","2,716","1,517","1,658"
