카테고리,부산광역시 사상구,부산광역시 사상구 삼락동,부산광역시 사상구 모라제1동,부산광역시 사상구 모라제3동,부산광역시 사상구 덕포제1동,부산광역시 사상구 덕포제2동,부산광역시 사상구 괘법동,부산광역시 사상구 감전동,부산광역시 사상구 주례제1동,부산광역시 사상구 주례제2동,부산광역시 사상구 주례제3동,부산광역시 사상구 학장동,부산광역시 사상구 엄궁동
2021년09월_계_총인구수,"209,410","5,820","28,175","10,560","8,731","12,967","22,423","13,399","15,239","23,216","13,141","28,398","27,341"
2021년09월_계_연령구간인구수,"209,410","5,820","28,175","10,560","8,731","12,967","22,423","13,399","15,239","23,216","13,141","28,398","27,341"
2021년09월_계_0~9세,"11,562",231,"1,491",250,474,683,"1,034",495,924,"1,377",691,"1,785","2,127"
2021년09월_계_10~19세,"14,546",279,"1,947",408,623,925,"1,015",669,"1,084","1,817","1,037","2,182","2,560"
2021년09월_계_20~29세,"28,126",620,"3,566",807,"1,032","1,627","4,342","1,557","2,042","4,006","1,747","3,298","3,482"
2021년09월_계_30~39세,"24,479",562,"3,304",718,948,"1,462","3,297","1,550","1,757","3,001","1,463","3,203","3,214"
2021년09월_계_40~49세,"28,628",671,"3,709","1,219","1,191","1,693","2,707","1,693","1,982","3,401","1,760","4,247","4,355"
2021년09월_계_50~59세,"39,312","1,237","5,308","2,045","1,723","2,519","4,088","2,702","3,010","3,760","2,379","5,239","5,302"
2021년09월_계_60~69세,"38,259","1,279","5,475","2,559","1,595","2,570","3,841","2,822","2,838","3,466","2,436","5,291","4,087"
2021년09월_계_70~79세,"17,559",668,"2,429","1,700",829,"1,101","1,587","1,401","1,165","1,678","1,105","2,280","1,616"
2021년09월_계_80~89세,"6,237",244,832,781,292,341,460,450,391,637,482,790,537
2021년09월_계_90~99세,657,24,97,70,24,44,47,58,46,68,41,79,59
2021년09월_계_100세 이상,45,5,17,3,0,2,5,2,0,5,0,4,2
2021년09월_남_총인구수,"105,690","3,114","14,061","5,042","4,464","6,574","11,617","7,100","7,790","11,634","6,430","14,202","13,662"
2021년09월_남_연령구간인구수,"105,690","3,114","14,061","5,042","4,464","6,574","11,617","7,100","7,790","11,634","6,430","14,202","13,662"
2021년09월_남_0~9세,"5,920",128,745,128,247,349,534,255,483,680,360,919,"1,092"
2021년09월_남_10~19세,"7,557",147,"1,019",210,330,489,539,359,565,926,531,"1,152","1,290"
2021년09월_남_20~29세,"14,987",359,"1,904",478,602,870,"2,081",848,"1,112","2,069",915,"1,833","1,916"
2021년09월_남_30~39세,"13,209",307,"1,780",395,513,776,"1,843",894,951,"1,616",792,"1,692","1,650"
2021년09월_남_40~49세,"15,061",388,"1,901",732,621,909,"1,502",985,"1,016","1,789",888,"2,193","2,137"
2021년09월_남_50~59세,"19,630",708,"2,595","1,080",909,"1,202","2,153","1,475","1,467","1,801","1,091","2,530","2,619"
2021년09월_남_60~69세,"18,965",685,"2,639","1,181",772,"1,300","2,001","1,446","1,453","1,721","1,171","2,580","2,016"
2021년09월_남_70~79세,"8,104",303,"1,159",624,360,545,780,652,584,790,503,"1,028",776
2021년09월_남_80~89세,"2,138",86,299,202,106,127,177,177,153,229,170,252,160
2021년09월_남_90~99세,115,3,20,12,4,6,6,8,6,12,9,23,6
2021년09월_남_100세 이상,4,0,0,0,0,1,1,1,0,1,0,0,0
2021년09월_여_총인구수,"103,720","2,706","14,114","5,518","4,267","6,393","10,806","6,299","7,449","11,582","6,711","14,196","13,679"
2021년09월_여_연령구간인구수,"103,720","2,706","14,114","5,518","4,267","6,393","10,806","6,299","7,449","11,582","6,711","14,196","13,679"
2021년09월_여_0~9세,"5,642",103,746,122,227,334,500,240,441,697,331,866,"1,035"
2021년09월_여_10~19세,"6,989",132,928,198,293,436,476,310,519,891,506,"1,030","1,270"
2021년09월_여_20~29세,"13,139",261,"1,662",329,430,757,"2,261",709,930,"1,937",832,"1,465","1,566"
2021년09월_여_30~39세,"11,270",255,"1,524",323,435,686,"1,454",656,806,"1,385",671,"1,511","1,564"
2021년09월_여_40~49세,"13,567",283,"1,808",487,570,784,"1,205",708,966,"1,612",872,"2,054","2,218"
2021년09월_여_50~59세,"19,682",529,"2,713",965,814,"1,317","1,935","1,227","1,543","1,959","1,288","2,709","2,683"
2021년09월_여_60~69세,"19,294",594,"2,836","1,378",823,"1,270","1,840","1,376","1,385","1,745","1,265","2,711","2,071"
2021년09월_여_70~79세,"9,455",365,"1,270","1,076",469,556,807,749,581,888,602,"1,252",840
2021년09월_여_80~89세,"4,099",158,533,579,186,214,283,273,238,408,312,538,377
2021년09월_여_90~99세,542,21,77,58,20,38,41,50,40,56,32,56,53
2021년09월_여_100세 이상,41,5,17,3,0,1,4,1,0,4,0,4,2
