카테고리,경기도 부천시,경기도 부천시 심곡동,경기도 부천시 부천동,경기도 부천시 중동,경기도 부천시 신중동,경기도 부천시 상동,경기도 부천시 대산동,경기도 부천시 소사본동,경기도 부천시 범안동,경기도 부천시 성곡동,경기도 부천시 오정동
2020년03월_계_총인구수,"827,132","65,227","91,207","42,369","131,838","87,674","83,241","57,083","96,624","85,823","86,046"
2020년03월_계_연령구간인구수,"827,132","65,227","91,207","42,369","131,838","87,674","83,241","57,083","96,624","85,823","86,046"
2020년03월_계_0~9세,"60,612","3,280","6,040","2,893","10,311","8,438","5,075","3,834","10,361","4,926","5,454"
2020년03월_계_10~19세,"73,275","4,153","7,598","3,985","11,853","10,269","6,619","4,567","9,204","7,660","7,367"
2020년03월_계_20~29세,"119,178","10,233","12,981","6,302","19,768","12,489","11,958","8,016","11,555","12,847","13,029"
2020년03월_계_30~39세,"119,568","9,803","12,629","5,603","22,045","12,964","11,717","8,136","15,299","10,195","11,177"
2020년03월_계_40~49세,"132,149","9,948","14,257","6,533","20,824","15,684","12,747","8,084","17,036","13,542","13,494"
2020년03월_계_50~59세,"150,174","12,023","16,981","7,998","23,159","15,419","15,076","10,456","14,455","17,226","17,381"
2020년03월_계_60~69세,"104,671","9,370","12,443","5,587","15,344","8,126","11,939","8,521","10,987","11,289","11,065"
2020년03월_계_70~79세,"45,192","4,440","5,631","2,295","5,520","2,840","5,514","3,753","5,084","5,360","4,755"
2020년03월_계_80~89세,"19,113","1,714","2,291",988,"2,541","1,215","2,231","1,458","2,245","2,417","2,013"
2020년03월_계_90~99세,"2,964",230,324,172,455,226,334,232,365,335,291
2020년03월_계_100세 이상,236,33,32,13,18,4,31,26,33,26,20
2020년03월_남_총인구수,"410,853","33,066","45,809","20,915","63,945","43,084","41,237","28,231","47,448","43,039","44,079"
2020년03월_남_연령구간인구수,"410,853","33,066","45,809","20,915","63,945","43,084","41,237","28,231","47,448","43,039","44,079"
2020년03월_남_0~9세,"31,056","1,718","3,104","1,480","5,332","4,284","2,649","1,955","5,261","2,463","2,810"
2020년03월_남_10~19세,"37,722","2,110","3,960","2,115","5,998","5,265","3,440","2,314","4,627","3,988","3,905"
2020년03월_남_20~29세,"61,487","5,172","6,836","3,198","9,785","6,381","6,210","4,159","5,950","6,829","6,967"
2020년03월_남_30~39세,"61,334","5,406","6,602","2,839","10,874","6,171","6,190","4,328","7,468","5,442","6,014"
2020년03월_남_40~49세,"66,500","5,388","7,405","3,218","9,925","7,383","6,464","4,034","8,702","6,845","7,136"
2020년03월_남_50~59세,"73,166","6,061","8,419","3,831","10,807","7,556","7,156","4,940","6,945","8,657","8,794"
2020년03월_남_60~69세,"51,897","4,480","6,077","2,787","7,815","4,306","5,721","4,115","5,283","5,661","5,652"
2020년03월_남_70~79세,"20,711","2,097","2,536","1,088","2,553","1,319","2,527","1,822","2,364","2,302","2,103"
2020년03월_남_80~89세,"6,266",591,781,316,748,373,809,503,754,765,626
2020년03월_남_90~99세,657,36,79,39,104,45,63,57,83,82,69
2020년03월_남_100세 이상,57,7,10,4,4,1,8,4,11,5,3
2020년03월_여_총인구수,"416,279","32,161","45,398","21,454","67,893","44,590","42,004","28,852","49,176","42,784","41,967"
2020년03월_여_연령구간인구수,"416,279","32,161","45,398","21,454","67,893","44,590","42,004","28,852","49,176","42,784","41,967"
2020년03월_여_0~9세,"29,556","1,562","2,936","1,413","4,979","4,154","2,426","1,879","5,100","2,463","2,644"
2020년03월_여_10~19세,"35,553","2,043","3,638","1,870","5,855","5,004","3,179","2,253","4,577","3,672","3,462"
2020년03월_여_20~29세,"57,691","5,061","6,145","3,104","9,983","6,108","5,748","3,857","5,605","6,018","6,062"
2020년03월_여_30~39세,"58,234","4,397","6,027","2,764","11,171","6,793","5,527","3,808","7,831","4,753","5,163"
2020년03월_여_40~49세,"65,649","4,560","6,852","3,315","10,899","8,301","6,283","4,050","8,334","6,697","6,358"
2020년03월_여_50~59세,"77,008","5,962","8,562","4,167","12,352","7,863","7,920","5,516","7,510","8,569","8,587"
2020년03월_여_60~69세,"52,774","4,890","6,366","2,800","7,529","3,820","6,218","4,406","5,704","5,628","5,413"
2020년03월_여_70~79세,"24,481","2,343","3,095","1,207","2,967","1,521","2,987","1,931","2,720","3,058","2,652"
2020년03월_여_80~89세,"12,847","1,123","1,510",672,"1,793",842,"1,422",955,"1,491","1,652","1,387"
2020년03월_여_90~99세,"2,307",194,245,133,351,181,271,175,282,253,222
2020년03월_여_100세 이상,179,26,22,9,14,3,23,22,22,21,17
