,전라북도 남원시,전라북도 남원시 운봉읍,전라북도 남원시 주천면,전라북도 남원시 수지면,전라북도 남원시 송동면,전라북도 남원시 주생면,전라북도 남원시 금지면,전라북도 남원시 대강면,전라북도 남원시 대산면,전라북도 남원시 사매면,전라북도 남원시 덕과면,전라북도 남원시 보절면,전라북도 남원시 산동면,전라북도 남원시 이백면,전라북도 남원시 아영면,전라북도 남원시 산내면,전라북도 남원시 인월면,전라북도 남원시 동충동,전라북도 남원시 죽항동,전라북도 남원시 노암동,전라북도 남원시 금동,전라북도 남원시 왕정동,전라북도 남원시 향교동,전라북도 남원시 도통동
2020년10월_계_총인구수,"80,863","3,841","2,612","1,167","2,055","1,834","2,330","1,635","1,663","1,521",944,"1,545","1,886","2,286","1,928","2,114","2,728","3,551","3,409","6,197","6,819","4,148","7,256","17,394"
2020년10월_계_연령구간인구수,"80,863","3,841","2,612","1,167","2,055","1,834","2,330","1,635","1,663","1,521",944,"1,545","1,886","2,286","1,928","2,114","2,728","3,551","3,409","6,197","6,819","4,148","7,256","17,394"
2020년10월_계_0~9세,"5,070",160,96,48,65,71,81,52,62,57,22,65,64,98,92,87,119,193,179,590,595,218,418,"1,638"
2020년10월_계_10~19세,"7,393",188,166,54,111,98,119,75,90,60,35,75,95,163,118,186,199,373,253,619,779,332,646,"2,559"
2020년10월_계_20~29세,"7,618",283,225,76,148,121,122,75,100,115,57,98,125,180,117,140,176,375,366,695,633,458,797,"2,136"
2020년10월_계_30~39세,"6,479",212,144,63,122,77,116,69,99,77,59,62,99,131,106,96,148,283,268,705,670,395,613,"1,865"
2020년10월_계_40~49세,"10,795",349,293,111,171,167,231,136,141,115,62,143,169,217,170,271,296,469,471,958,"1,111",525,"1,005","3,214"
2020년10월_계_50~59세,"13,781",698,490,187,381,303,360,248,307,270,163,243,333,425,320,490,531,619,552,982,"1,032",695,"1,330","2,822"
2020년10월_계_60~69세,"12,856",786,524,226,408,361,489,353,354,272,215,264,361,411,392,351,588,544,587,792,965,694,"1,146","1,773"
2020년10월_계_70~79세,"9,812",623,404,197,330,340,453,308,263,297,185,305,342,334,351,283,411,449,480,565,688,530,787,887
2020년10월_계_80~89세,"6,066",461,222,172,269,256,314,270,206,232,126,251,260,279,220,189,222,220,213,258,299,253,447,427
2020년10월_계_90~99세,951,78,44,33,48,39,44,47,40,26,20,35,35,46,39,20,36,26,39,31,45,45,64,71
2020년10월_계_100세 이상,42,3,4,0,2,1,1,2,1,0,0,4,3,2,3,1,2,0,1,2,2,3,3,2
2020년10월_남_총인구수,"39,646","1,836","1,326",576,"1,017",904,"1,106",785,839,777,474,772,940,"1,128",949,"1,035","1,340","1,681","1,604","2,996","3,302","2,021","3,682","8,556"
2020년10월_남_연령구간인구수,"39,646","1,836","1,326",576,"1,017",904,"1,106",785,839,777,474,772,940,"1,128",949,"1,035","1,340","1,681","1,604","2,996","3,302","2,021","3,682","8,556"
2020년10월_남_0~9세,"2,681",85,56,23,29,41,34,34,35,34,17,32,35,54,54,45,60,102,91,316,302,112,216,874
2020년10월_남_10~19세,"3,813",90,73,31,56,55,62,38,47,34,18,36,54,92,62,94,116,189,119,289,386,196,330,"1,346"
2020년10월_남_20~29세,"4,262",150,138,44,84,78,73,37,60,67,32,50,78,94,63,79,111,209,200,381,368,269,442,"1,155"
2020년10월_남_30~39세,"3,312",116,75,34,72,44,68,39,59,36,34,34,53,70,63,54,68,140,140,356,309,218,328,902
2020년10월_남_40~49세,"5,516",190,162,74,100,104,145,88,88,71,40,98,103,116,104,131,159,219,236,453,570,258,521,"1,486"
2020년10월_남_50~59세,"7,315",372,274,101,213,180,196,144,174,172,97,146,197,239,183,274,277,308,279,504,523,329,732,"1,401"
2020년10월_남_60~69세,"6,440",419,270,120,233,183,247,183,193,142,111,127,184,232,198,190,293,241,257,383,462,327,582,863
2020년10월_남_70~79세,"4,115",246,190,91,133,126,174,126,116,133,79,146,154,133,145,115,165,186,199,225,271,219,364,379
2020년10월_남_80~89세,"1,959",154,72,49,85,84,99,84,59,81,39,92,74,87,65,52,84,78,70,82,99,82,148,140
