카테고리,경상남도 통영시,경상남도 통영시 산양읍,경상남도 통영시 용남면,경상남도 통영시 도산면,경상남도 통영시 광도면,경상남도 통영시 욕지면,경상남도 통영시 한산면,경상남도 통영시 사량면,경상남도 통영시 도천동,경상남도 통영시 명정동,경상남도 통영시 중앙동,경상남도 통영시 정량동,경상남도 통영시 북신동,경상남도 통영시 미수동,경상남도 통영시 봉평동,경상남도 통영시 무전동
2020년10월_계_총인구수,"128,835","4,710","12,719","2,933","31,145","2,041","2,026","1,521","8,962","3,017","4,095","9,067","10,715","11,416","10,489","13,979"
2020년10월_계_연령구간인구수,"128,835","4,710","12,719","2,933","31,145","2,041","2,026","1,521","8,962","3,017","4,095","9,067","10,715","11,416","10,489","13,979"
2020년10월_계_0~9세,"9,847",129,"1,255",67,"3,931",44,26,20,413,93,131,495,712,913,512,"1,106"
2020년10월_계_10~19세,"12,873",205,"1,444",126,"3,976",101,59,39,807,184,243,673,997,"1,389",983,"1,647"
2020년10월_계_20~29세,"11,285",308,"1,080",174,"2,695",115,88,70,921,230,288,693,984,"1,075",977,"1,587"
2020년10월_계_30~39세,"14,109",326,"1,484",164,"4,802",119,86,74,741,182,286,884,"1,120","1,171","1,014","1,656"
2020년10월_계_40~49세,"21,458",559,"2,273",277,"6,487",276,171,122,"1,286",377,555,"1,368","1,624","1,955","1,514","2,614"
2020년10월_계_50~59세,"22,573",937,"2,129",525,"4,504",423,356,311,"1,703",584,849,"1,826","1,839","2,045","2,063","2,479"
2020년10월_계_60~69세,"20,296","1,051","1,624",745,"2,905",469,463,393,"1,642",671,913,"1,791","2,027","1,823","1,905","1,874"
2020년10월_계_70~79세,"11,059",718,914,533,"1,262",311,456,276,"1,014",482,582,955,"1,019",735,"1,052",750
2020년10월_계_80~89세,"4,694",419,444,286,503,166,294,191,386,189,226,343,339,273,405,230
2020년10월_계_90~99세,615,56,71,36,80,17,25,23,46,23,21,36,50,36,60,35
2020년10월_계_100세 이상,26,2,1,0,0,0,2,2,3,2,1,3,4,1,4,1
2020년10월_남_총인구수,"64,774","2,484","6,358","1,516","15,761","1,129","1,042",760,"4,470","1,490","2,027","4,620","5,157","5,612","5,377","6,971"
2020년10월_남_연령구간인구수,"64,774","2,484","6,358","1,516","15,761","1,129","1,042",760,"4,470","1,490","2,027","4,620","5,157","5,612","5,377","6,971"
2020년10월_남_0~9세,"4,940",59,597,37,"2,015",24,12,10,193,35,59,249,358,473,235,584
2020년10월_남_10~19세,"6,677",102,738,71,"2,051",63,29,19,390,89,121,347,520,723,534,880
2020년10월_남_20~29세,"6,258",191,578,107,"1,433",62,52,49,551,139,164,399,549,572,567,845
2020년10월_남_30~39세,"7,272",186,724,94,"2,350",77,52,52,404,96,172,486,592,563,560,864
2020년10월_남_40~49세,"11,575",363,"1,213",183,"3,430",178,114,70,706,228,330,829,817,"1,002",840,"1,272"
2020년10월_남_50~59세,"11,578",555,"1,109",311,"2,322",252,233,175,862,319,445,904,826,989,"1,082","1,194"
2020년10월_남_60~69세,"9,913",570,836,363,"1,433",241,252,217,797,324,414,844,878,905,945,894
2020년10월_남_70~79세,"4,981",328,393,255,563,171,205,114,434,196,246,445,479,316,469,367
2020년10월_남_80~89세,"1,449",123,153,88,146,60,87,50,128,58,68,109,126,60,128,65
2020년10월_남_90~99세,123,7,16,7,18,1,6,4,4,6,8,8,9,8,16,5
2020년10월_남_100세 이상,8,0,1,0,0,0,0,0,1,0,0,0,3,1,1,1
2020년10월_여_총인구수,"64,061","2,226","6,361","1,417","15,384",912,984,761,"4,492","1,527","2,068","4,447","5,558","5,804","5,112","7,008"
2020년10월_여_연령구간인구수,"64,061","2,226","6,361","1,417","15,384",912,984,761,"4,492","1,527","2,068","4,447","5,558","5,804","5,112","7,008"
2020년10월_여_0~9세,"4,907",70,658,30,"1,916",20,14,10,220,58,72,246,354,440,277,522
2020년10월_여_10~19세,"6,196",103,706,55,"1,925",38,30,20,417,95,122,326,477,666,449,767
2020년10월_여_20~29세,"5,027",117,502,67,"1,262",53,36,21,370,91,124,294,435,503,410,742
2020년10월_여_30~39세,"6,837",140,760,70,"2,452",42,34,22,337,86,114,398,528,608,454,792
2020년10월_여_40~49세,"9,883",196,"1,060",94,"3,057",98,57,52,580,149,225,539,807,953,674,"1,342"
2020년10월_여_50~59세,"10,995",382,"1,020",214,"2,182",171,123,136,841,265,404,922,"1,013","1,056",981,"1,285"
2020년10월_여_60~69세,"10,383",481,788,382,"1,472",228,211,176,845,347,499,947,"1,149",918,960,980
2020년10월_여_70~79세,"6,078",390,521,278,699,140,251,162,580,286,336,510,540,419,583,383
2020년10월_여_80~89세,"3,245",296,291,198,357,106,207,141,258,131,158,234,213,213,277,165
2020년10월_여_90~99세,492,49,55,29,62,16,19,19,42,17,13,28,41,28,44,30
2020년10월_여_100세 이상,18,2,0,0,0,0,2,2,2,2,1,3,1,0,3,0
