카테고리,서울특별시 동대문구,서울특별시 동대문구 용신동,서울특별시 동대문구 제기동,서울특별시 동대문구 전농제1동,서울특별시 동대문구 전농제2동,서울특별시 동대문구 답십리제1동,서울특별시 동대문구 답십리제2동,서울특별시 동대문구 장안제1동,서울특별시 동대문구 장안제2동,서울특별시 동대문구 청량리동,서울특별시 동대문구 회기동,서울특별시 동대문구 휘경제1동,서울특별시 동대문구 휘경제2동,서울특별시 동대문구 이문제1동,서울특별시 동대문구 이문제2동
2021년02월_계_총인구수,"341,756","31,277","24,947","29,970","19,083","29,243","29,076","38,696","32,889","19,589","10,472","13,648","24,216","18,298","20,352"
2021년02월_계_연령구간인구수,"341,756","31,277","24,947","29,970","19,083","29,243","29,076","38,696","32,889","19,589","10,472","13,648","24,216","18,298","20,352"
2021년02월_계_0~9세,"20,338","1,247","1,019","1,847","1,225","2,706","1,813","2,497","2,822",763,440,793,"1,231",679,"1,256"
2021년02월_계_10~19세,"23,510","1,415","1,391","1,896","1,725","1,991","1,977","2,639","2,829","1,082",690,769,"2,032","1,263","1,811"
2021년02월_계_20~29세,"56,037","6,170","4,385","4,604","2,341","4,085","3,781","5,287","3,845","2,286","3,207","3,337","5,298","4,615","2,796"
2021년02월_계_30~39세,"49,780","5,407","3,246","4,311","2,259","5,282","4,481","6,326","5,073","2,192","1,466","2,125","2,979","2,156","2,477"
2021년02월_계_40~49세,"50,355","4,232","3,113","4,281","3,059","4,732","4,148","6,361","5,816","2,498","1,309","1,703","3,508","2,398","3,197"
2021년02월_계_50~59세,"53,195","4,698","3,846","4,921","3,267","4,313","4,961","6,057","4,951","3,412","1,246","1,940","3,550","2,620","3,413"
2021년02월_계_60~69세,"46,726","4,187","3,947","4,258","2,751","3,309","4,246","5,477","4,335","3,780",989,"1,533","2,958","2,200","2,756"
2021년02월_계_70~79세,"28,158","2,593","2,626","2,545","1,598","1,847","2,504","2,905","2,306","2,385",709,964,"1,818","1,523","1,835"
2021년02월_계_80~89세,"11,728","1,146","1,191","1,115",772,835,"1,017",978,781,"1,016",345,411,714,707,700
2021년02월_계_90~99세,"1,606",155,156,146,75,110,127,142,113,147,59,62,115,99,100
2021년02월_계_100세 이상,323,27,27,46,11,33,21,27,18,28,12,11,13,38,11
2021년02월_남_총인구수,"169,139","15,863","12,799","15,031","9,182","14,150","14,135","19,231","16,440","9,755","4,998","6,595","12,008","9,087","9,865"
2021년02월_남_연령구간인구수,"169,139","15,863","12,799","15,031","9,182","14,150","14,135","19,231","16,440","9,755","4,998","6,595","12,008","9,087","9,865"
2021년02월_남_0~9세,"10,443",641,532,967,627,"1,357",925,"1,298","1,451",390,230,399,639,338,649
2021년02월_남_10~19세,"11,875",742,721,932,838,"1,026",979,"1,348","1,515",559,331,388,969,637,890
2021년02월_남_20~29세,"27,788","2,913","2,388","2,333","1,188","1,890","1,898","2,519","1,991","1,210","1,512","1,477","2,804","2,316","1,349"
2021년02월_남_30~39세,"25,667","2,821","1,797","2,213","1,143","2,499","2,284","3,255","2,544","1,195",775,"1,112","1,577","1,213","1,239"
2021년02월_남_40~49세,"25,993","2,335","1,707","2,258","1,478","2,473","2,083","3,307","2,966","1,307",642,884,"1,730","1,222","1,601"
2021년02월_남_50~59세,"26,870","2,519","2,048","2,530","1,595","2,101","2,437","3,002","2,485","1,738",628,962,"1,760","1,356","1,709"
2021년02월_남_60~69세,"22,554","2,140","1,905","2,150","1,272","1,615","1,991","2,655","2,067","1,852",438,752,"1,400","1,018","1,299"
2021년02월_남_70~79세,"12,713","1,208","1,187","1,148",669,833,"1,129","1,399","1,086","1,065",292,412,817,654,814
2021년02월_남_80~89세,"4,671",483,462,442,342,312,373,398,304,390,130,186,262,301,286
2021년02월_남_90~99세,469,52,45,44,25,33,27,42,26,45,18,17,45,25,25
2021년02월_남_100세 이상,96,9,7,14,5,11,9,8,5,4,2,6,5,7,4
2021년02월_여_총인구수,"172,617","15,414","12,148","14,939","9,901","15,093","14,941","19,465","16,449","9,834","5,474","7,053","12,208","9,211","10,487"
2021년02월_여_연령구간인구수,"172,617","15,414","12,148","14,939","9,901","15,093","14,941","19,465","16,449","9,834","5,474","7,053","12,208","9,211","10,487"
2021년02월_여_0~9세,"9,895",606,487,880,598,"1,349",888,"1,199","1,371",373,210,394,592,341,607
2021년02월_여_10~19세,"11,635",673,670,964,887,965,998,"1,291","1,314",523,359,381,"1,063",626,921
2021년02월_여_20~29세,"28,249","3,257","1,997","2,271","1,153","2,195","1,883","2,768","1,854","1,076","1,695","1,860","2,494","2,299","1,447"
2021년02월_여_30~39세,"24,113","2,586","1,449","2,098","1,116","2,783","2,197","3,071","2,529",997,691,"1,013","1,402",943,"1,238"
2021년02월_여_40~49세,"24,362","1,897","1,406","2,023","1,581","2,259","2,065","3,054","2,850","1,191",667,819,"1,778","1,176","1,596"
2021년02월_여_50~59세,"26,325","2,179","1,798","2,391","1,672","2,212","2,524","3,055","2,466","1,674",618,978,"1,790","1,264","1,704"
2021년02월_여_60~69세,"24,172","2,047","2,042","2,108","1,479","1,694","2,255","2,822","2,268","1,928",551,781,"1,558","1,182","1,457"
2021년02월_여_70~79세,"15,445","1,385","1,439","1,397",929,"1,014","1,375","1,506","1,220","1,320",417,552,"1,001",869,"1,021"
2021년02월_여_80~89세,"7,057",663,729,673,430,523,644,580,477,626,215,225,452,406,414
2021년02월_여_90~99세,"1,137",103,111,102,50,77,100,100,87,102,41,45,70,74,75
2021년02월_여_100세 이상,227,18,20,32,6,22,12,19,13,24,10,5,8,31,7
