카테고리,대전광역시 대덕구,대전광역시 대덕구 오정동,대전광역시 대덕구 대화동,대전광역시 대덕구 회덕동,대전광역시 대덕구 비래동,대전광역시 대덕구 송촌동,대전광역시 대덕구 중리동,대전광역시 대덕구 신탄진동,대전광역시 대덕구 석봉동,대전광역시 대덕구 덕암동,대전광역시 대덕구 목상동,대전광역시 대덕구 법1동,대전광역시 대덕구 법2동
2021년09월_계_총인구수,"174,791","14,583","7,040","12,406","16,369","27,470","19,642","10,984","16,432","13,936","6,557","13,248","16,124"
2021년09월_계_연령구간인구수,"174,791","14,583","7,040","12,406","16,369","27,470","19,642","10,984","16,432","13,936","6,557","13,248","16,124"
2021년09월_계_0~9세,"10,619",601,280,630,896,"1,946",903,458,"1,968",757,428,855,897
2021년09월_계_10~19세,"16,017",988,469,969,"1,632","3,707","1,584",885,"1,507","1,181",591,"1,011","1,493"
2021년09월_계_20~29세,"24,181","2,306",804,"1,422","2,200","4,041","3,016","1,442","1,923","2,175",980,"1,724","2,148"
2021년09월_계_30~39세,"19,697","1,561",790,"1,200","1,586","2,625","2,214","1,096","2,817","1,669","1,010","1,612","1,517"
2021년09월_계_40~49세,"26,320","1,890","1,036","1,703","2,458","4,826","3,007","1,481","2,702","2,098","1,162","1,722","2,235"
2021년09월_계_50~59세,"33,264","2,670","1,336","2,323","3,191","5,613","3,729","2,138","2,601","2,654","1,161","2,609","3,239"
2021년09월_계_60~69세,"26,077","2,666","1,343","2,315","2,579","2,861","3,087","1,910","1,844","1,870",759,"2,094","2,749"
2021년09월_계_70~79세,"12,236","1,334",678,"1,166","1,230","1,148","1,437","1,030",665,"1,000",310,"1,052","1,186"
2021년09월_계_80~89세,"5,620",484,255,602,528,625,602,481,354,469,135,511,574
2021년09월_계_90~99세,732,77,47,74,67,76,62,55,50,60,21,57,86
2021년09월_계_100세 이상,28,6,2,2,2,2,1,8,1,3,0,1,0
2021년09월_남_총인구수,"88,904","7,773","3,714","6,298","8,158","13,574","10,208","5,632","8,418","7,402","3,567","6,276","7,884"
2021년09월_남_연령구간인구수,"88,904","7,773","3,714","6,298","8,158","13,574","10,208","5,632","8,418","7,402","3,567","6,276","7,884"
2021년09월_남_0~9세,"5,359",311,149,309,453,961,455,211,"1,028",392,217,419,454
2021년09월_남_10~19세,"8,362",552,258,506,854,"1,883",855,478,774,615,293,510,784
2021년09월_남_20~29세,"13,391","1,279",464,781,"1,198","2,188","1,664",802,"1,043","1,258",567,923,"1,224"
2021년09월_남_30~39세,"10,770",899,418,668,878,"1,328","1,261",626,"1,436",987,629,844,796
2021년09월_남_40~49세,"13,525","1,089",595,898,"1,215","2,171","1,626",806,"1,446","1,139",661,850,"1,029"
2021년09월_남_50~59세,"16,877","1,415",723,"1,222","1,568","2,828","1,925","1,105","1,288","1,452",615,"1,211","1,525"
2021년09월_남_60~69세,"12,894","1,369",704,"1,137","1,202","1,463","1,513",933,953,920,391,957,"1,352"
2021년09월_남_70~79세,"5,593",655,307,550,564,505,671,490,312,446,148,417,528
2021년09월_남_80~89세,"1,979",187,88,207,211,230,227,171,126,177,44,133,178
2021년09월_남_90~99세,152,16,8,20,14,17,11,10,12,16,2,12,14
2021년09월_남_100세 이상,2,1,0,0,1,0,0,0,0,0,0,0,0
2021년09월_여_총인구수,"85,887","6,810","3,326","6,108","8,211","13,896","9,434","5,352","8,014","6,534","2,990","6,972","8,240"
2021년09월_여_연령구간인구수,"85,887","6,810","3,326","6,108","8,211","13,896","9,434","5,352","8,014","6,534","2,990","6,972","8,240"
2021년09월_여_0~9세,"5,260",290,131,321,443,985,448,247,940,365,211,436,443
2021년09월_여_10~19세,"7,655",436,211,463,778,"1,824",729,407,733,566,298,501,709
2021년09월_여_20~29세,"10,790","1,027",340,641,"1,002","1,853","1,352",640,880,917,413,801,924
2021년09월_여_30~39세,"8,927",662,372,532,708,"1,297",953,470,"1,381",682,381,768,721
2021년09월_여_40~49세,"12,795",801,441,805,"1,243","2,655","1,381",675,"1,256",959,501,872,"1,206"
2021년09월_여_50~59세,"16,387","1,255",613,"1,101","1,623","2,785","1,804","1,033","1,313","1,202",546,"1,398","1,714"
2021년09월_여_60~69세,"13,183","1,297",639,"1,178","1,377","1,398","1,574",977,891,950,368,"1,137","1,397"
2021년09월_여_70~79세,"6,643",679,371,616,666,643,766,540,353,554,162,635,658
2021년09월_여_80~89세,"3,641",297,167,395,317,395,375,310,228,292,91,378,396
2021년09월_여_90~99세,580,61,39,54,53,59,51,45,38,44,19,45,72
2021년09월_여_100세 이상,26,5,2,2,1,2,1,8,1,3,0,1,0
