카테고리,광주광역시,광주광역시 동구,광주광역시 서구,광주광역시 남구,광주광역시 북구,광주광역시 광산구
2021년09월_계_총인구수,"1,442,827","103,544","292,180","214,295","428,082","404,726"
2021년09월_계_연령구간인구수,"1,442,827","103,544","292,180","214,295","428,082","404,726"
2021년09월_계_0~9세,"115,090","7,311","20,477","16,926","32,324","38,052"
2021년09월_계_10~19세,"153,327","7,271","30,261","22,603","41,717","51,475"
2021년09월_계_20~29세,"207,931","14,976","44,772","27,610","61,728","58,845"
2021년09월_계_30~39세,"182,107","13,472","35,333","25,070","54,894","53,338"
2021년09월_계_40~49세,"236,716","14,025","47,219","34,047","66,128","75,297"
2021년09월_계_50~59세,"234,723","15,541","49,373","32,826","71,238","65,745"
2021년09월_계_60~69세,"170,513","15,083","35,579","28,863","55,545","35,443"
2021년09월_계_70~79세,"94,232","10,254","19,403","17,467","29,884","17,224"
2021년09월_계_80~89세,"41,926","4,895","8,498","7,707","12,764","8,062"
2021년09월_계_90~99세,"6,024",681,"1,217","1,137","1,796","1,193"
2021년09월_계_100세 이상,238,35,48,39,64,52
2021년09월_남_총인구수,"713,666","51,073","143,177","102,962","212,526","203,928"
2021년09월_남_연령구간인구수,"713,666","51,073","143,177","102,962","212,526","203,928"
2021년09월_남_0~9세,"59,052","3,777","10,627","8,600","16,529","19,519"
2021년09월_남_10~19세,"79,339","3,722","15,912","11,312","21,968","26,425"
2021년09월_남_20~29세,"108,478","7,682","22,876","14,147","32,449","31,324"
2021년09월_남_30~39세,"93,220","6,963","18,019","12,461","28,602","27,175"
2021년09월_남_40~49세,"117,564","7,334","22,836","16,775","33,202","37,417"
2021년09월_남_50~59세,"116,515","7,681","24,193","15,588","34,974","34,079"
2021년09월_남_60~69세,"81,341","7,119","16,707","13,184","26,458","17,873"
2021년09월_남_70~79세,"41,816","4,538","8,631","7,787","13,385","7,475"
2021년09월_남_80~89세,"15,005","2,049","3,096","2,861","4,582","2,417"
2021년09월_남_90~99세,"1,306",200,276,240,372,218
2021년09월_남_100세 이상,30,8,4,7,5,6
2021년09월_여_총인구수,"729,161","52,471","149,003","111,333","215,556","200,798"
2021년09월_여_연령구간인구수,"729,161","52,471","149,003","111,333","215,556","200,798"
2021년09월_여_0~9세,"56,038","3,534","9,850","8,326","15,795","18,533"
2021년09월_여_10~19세,"73,988","3,549","14,349","11,291","19,749","25,050"
2021년09월_여_20~29세,"99,453","7,294","21,896","13,463","29,279","27,521"
2021년09월_여_30~39세,"88,887","6,509","17,314","12,609","26,292","26,163"
2021년09월_여_40~49세,"119,152","6,691","24,383","17,272","32,926","37,880"
2021년09월_여_50~59세,"118,208","7,860","25,180","17,238","36,264","31,666"
2021년09월_여_60~69세,"89,172","7,964","18,872","15,679","29,087","17,570"
2021년09월_여_70~79세,"52,416","5,716","10,772","9,680","16,499","9,749"
2021년09월_여_80~89세,"26,921","2,846","5,402","4,846","8,182","5,645"
2021년09월_여_90~99세,"4,718",481,941,897,"1,424",975
2021년09월_여_100세 이상,208,27,44,32,59,46
