,경상북도 칠곡군,경상북도 칠곡군 왜관읍,경상북도 칠곡군 북삼읍,경상북도 칠곡군 석적읍,경상북도 칠곡군 지천면,경상북도 칠곡군 동명면,경상북도 칠곡군 가산면,경상북도 칠곡군 약목면,경상북도 칠곡군 기산면
2020년06월_계_총인구수,"115,345","33,660","23,597","31,451","4,323","5,452","3,479","10,085","3,298"
2020년06월_계_연령구간인구수,"115,345","33,660","23,597","31,451","4,323","5,452","3,479","10,085","3,298"
2020년06월_계_0~9세,"9,916","2,432","1,899","4,677",89,146,71,365,237
2020년06월_계_10~19세,"11,620","3,448","3,121","3,687",134,171,137,740,182
2020년06월_계_20~29세,"12,321","3,956","2,835","3,141",317,444,262,"1,125",241
2020년06월_계_30~39세,"15,746","3,595","2,462","7,689",290,374,227,771,338
2020년06월_계_40~49세,"20,603","5,603","5,056","6,734",396,524,361,"1,493",436
2020년06월_계_50~59세,"19,418","6,290","4,553","2,890",859,"1,186",762,"2,291",587
2020년06월_계_60~69세,"13,185","4,261","2,063","1,501","1,000","1,298",830,"1,640",592
2020년06월_계_70~79세,"7,585","2,412","1,031",736,709,765,519,"1,022",391
2020년06월_계_80~89세,"4,306","1,452",514,346,463,458,255,564,254
2020년06월_계_90~99세,605,191,62,45,62,86,52,70,37
2020년06월_계_100세 이상,40,20,1,5,4,0,3,4,3
2020년06월_남_총인구수,"60,161","16,871","12,358","16,953","2,317","2,802","1,909","5,224","1,727"
2020년06월_남_연령구간인구수,"60,161","16,871","12,358","16,953","2,317","2,802","1,909","5,224","1,727"
2020년06월_남_0~9세,"5,115","1,247",995,"2,406",44,75,33,183,132
2020년06월_남_10~19세,"6,137","1,783","1,653","1,953",73,96,69,401,109
2020년06월_남_20~29세,"6,904","2,258","1,644","1,556",192,272,171,667,144
2020년06월_남_30~39세,"8,640","1,913","1,264","4,288",178,221,150,455,171
2020년06월_남_40~49세,"11,150","2,845","2,561","3,866",266,330,226,795,261
2020년06월_남_50~59세,"10,562","3,213","2,527","1,715",518,601,445,"1,227",316
2020년06월_남_60~69세,"6,829","2,117","1,086",731,565,695,454,857,324
2020년06월_남_70~79세,"3,263",967,442,321,307,368,254,432,172
2020년06월_남_80~89세,"1,416",475,170,104,163,136,89,191,88
2020년06월_남_90~99세,138,50,16,12,11,8,17,15,9
2020년06월_남_100세 이상,7,3,0,1,0,0,1,1,1
2020년06월_여_총인구수,"55,184","16,789","11,239","14,498","2,006","2,650","1,570","4,861","1,571"
2020년06월_여_연령구간인구수,"55,184","16,789","11,239","14,498","2,006","2,650","1,570","4,861","1,571"
2020년06월_여_0~9세,"4,801","1,185",904,"2,271",45,71,38,182,105
2020년06월_여_10~19세,"5,483","1,665","1,468","1,734",61,75,68,339,73
2020년06월_여_20~29세,"5,417","1,698","1,191","1,585",125,172,91,458,97
2020년06월_여_30~39세,"7,106","1,682","1,198","3,401",112,153,77,316,167
2020년06월_여_40~49세,"9,453","2,758","2,495","2,868",130,194,135,698,175
2020년06월_여_50~59세,"8,856","3,077","2,026","1,175",341,585,317,"1,064",271
2020년06월_여_60~69세,"6,356","2,144",977,770,435,603,376,783,268
2020년06월_여_70~79세,"4,322","1,445",589,415,402,397,265,590,219
2020년06월_여_80~89세,"2,890",977,344,242,300,322,166,373,166
2020년06월_여_90~99세,467,141,46,33,51,78,35,55,28
2020년06월_여_100세 이상,33,17,1,4,4,0,2,3,2
