카테고리,대전광역시 대덕구,대전광역시 대덕구 오정동,대전광역시 대덕구 대화동,대전광역시 대덕구 회덕동,대전광역시 대덕구 비래동,대전광역시 대덕구 송촌동,대전광역시 대덕구 중리동,대전광역시 대덕구 신탄진동,대전광역시 대덕구 석봉동,대전광역시 대덕구 덕암동,대전광역시 대덕구 목상동,대전광역시 대덕구 법1동,대전광역시 대덕구 법2동
2021년10월_계_총인구수,"174,662","14,630","7,035","12,377","16,347","27,423","19,611","11,004","16,447","13,922","6,566","13,211","16,089"
2021년10월_계_연령구간인구수,"174,662","14,630","7,035","12,377","16,347","27,423","19,611","11,004","16,447","13,922","6,566","13,211","16,089"
2021년10월_계_0~9세,"10,521",602,272,622,882,"1,914",897,462,"1,957",749,425,847,892
2021년10월_계_10~19세,"15,976",982,477,961,"1,625","3,705","1,567",885,"1,515","1,167",590,"1,018","1,484"
2021년10월_계_20~29세,"24,168","2,364",807,"1,420","2,182","4,017","3,009","1,444","1,929","2,170",975,"1,713","2,138"
2021년10월_계_30~39세,"19,640","1,556",783,"1,204","1,589","2,610","2,221","1,094","2,797","1,670","1,010","1,599","1,507"
2021년10월_계_40~49세,"26,192","1,880","1,039","1,677","2,440","4,796","2,975","1,489","2,710","2,090","1,160","1,725","2,211"
2021년10월_계_50~59세,"33,281","2,663","1,328","2,323","3,184","5,643","3,738","2,124","2,608","2,652","1,183","2,589","3,246"
2021년10월_계_60~69세,"26,168","2,669","1,341","2,325","2,604","2,882","3,092","1,921","1,853","1,886",755,"2,094","2,746"
2021년10월_계_70~79세,"12,312","1,344",676,"1,167","1,241","1,152","1,446","1,042",674,998,312,"1,058","1,202"
2021년10월_계_80~89세,"5,628",485,262,603,530,626,602,481,354,476,133,505,571
2021년10월_계_90~99세,749,79,48,73,68,76,63,55,49,61,23,62,92
2021년10월_계_100세 이상,27,6,2,2,2,2,1,7,1,3,0,1,0
2021년10월_남_총인구수,"88,856","7,788","3,723","6,287","8,139","13,553","10,199","5,651","8,424","7,397","3,575","6,255","7,865"
2021년10월_남_연령구간인구수,"88,856","7,788","3,723","6,287","8,139","13,553","10,199","5,651","8,424","7,397","3,575","6,255","7,865"
2021년10월_남_0~9세,"5,314",310,145,305,446,951,456,215,"1,019",386,215,412,454
2021년10월_남_10~19세,"8,329",548,262,502,853,"1,875",843,478,774,607,294,518,775
2021년10월_남_20~29세,"13,375","1,303",469,782,"1,180","2,167","1,667",808,"1,047","1,255",564,916,"1,217"
2021년10월_남_30~39세,"10,783",900,419,669,882,"1,334","1,265",630,"1,433",994,632,836,789
2021년10월_남_40~49세,"13,457","1,078",592,887,"1,210","2,153","1,610",808,"1,452","1,135",660,850,"1,022"
2021년10월_남_50~59세,"16,866","1,414",722,"1,216","1,555","2,842","1,934","1,097","1,285","1,448",628,"1,203","1,522"
2021년10월_남_60~69세,"12,945","1,371",703,"1,143","1,217","1,476","1,510",937,956,930,388,959,"1,355"
2021년10월_남_70~79세,"5,630",657,311,553,570,508,675,496,318,445,148,414,535
2021년10월_남_80~89세,"2,000",190,92,210,210,231,228,172,128,180,44,135,180
2021년10월_남_90~99세,155,16,8,20,15,16,11,10,12,17,2,12,16
2021년10월_남_100세 이상,2,1,0,0,1,0,0,0,0,0,0,0,0
2021년10월_여_총인구수,"85,806","6,842","3,312","6,090","8,208","13,870","9,412","5,353","8,023","6,525","2,991","6,956","8,224"
2021년10월_여_연령구간인구수,"85,806","6,842","3,312","6,090","8,208","13,870","9,412","5,353","8,023","6,525","2,991","6,956","8,224"
2021년10월_여_0~9세,"5,207",292,127,317,436,963,441,247,938,363,210,435,438
2021년10월_여_10~19세,"7,647",434,215,459,772,"1,830",724,407,741,560,296,500,709
2021년10월_여_20~29세,"10,793","1,061",338,638,"1,002","1,850","1,342",636,882,915,411,797,921
2021년10월_여_30~39세,"8,857",656,364,535,707,"1,276",956,464,"1,364",676,378,763,718
2021년10월_여_40~49세,"12,735",802,447,790,"1,230","2,643","1,365",681,"1,258",955,500,875,"1,189"
2021년10월_여_50~59세,"16,415","1,249",606,"1,107","1,629","2,801","1,804","1,027","1,323","1,204",555,"1,386","1,724"
2021년10월_여_60~69세,"13,223","1,298",638,"1,182","1,387","1,406","1,582",984,897,956,367,"1,135","1,391"
2021년10월_여_70~79세,"6,682",687,365,614,671,644,771,546,356,553,164,644,667
2021년10월_여_80~89세,"3,628",295,170,393,320,395,374,309,226,296,89,370,391
2021년10월_여_90~99세,594,63,40,53,53,60,52,45,37,44,21,50,76
2021년10월_여_100세 이상,25,5,2,2,1,2,1,7,1,3,0,1,0
