카테고리,전라북도,전라북도 전주시,전라북도 전주시 완산구,전라북도 전주시 덕진구,전라북도 군산시,전라북도 익산시,전라북도 정읍시,전라북도 남원시,전라북도 김제시,전라북도 완주군,전라북도 진안군,전라북도 무주군,전라북도 장수군,전라북도 임실군,전라북도 순창군,전라북도 고창군,전라북도 부안군
2020년10월_계_총인구수,"1,805,937","657,185","339,877","317,308","267,987","282,847","108,861","80,863","82,786","91,553","25,411","24,034","22,140","27,508","27,857","54,588","52,317"
2020년10월_계_연령구간인구수,"1,805,937","657,185","339,877","317,308","267,987","282,847","108,861","80,863","82,786","91,553","25,411","24,034","22,140","27,508","27,857","54,588","52,317"
2020년10월_계_0~9세,"129,908","54,476","24,993","29,483","21,182","19,445","6,465","5,070","4,363","6,991","1,289","1,224","1,162","1,364","1,555","2,724","2,598"
2020년10월_계_10~19세,"175,976","72,137","36,472","35,665","27,003","28,070","9,732","7,393","6,282","8,352","1,684","1,812","1,671","1,709","2,221","4,170","3,740"
2020년10월_계_20~29세,"211,563","92,787","49,431","43,356","29,629","36,356","10,666","7,618","7,246","8,933","1,959","1,783","1,674","2,135","2,090","4,357","4,330"
2020년10월_계_30~39세,"190,044","82,076","40,077","41,999","30,896","28,685","8,934","6,479","6,738","9,428","1,659","1,721","1,570","1,984","2,031","3,896","3,947"
2020년10월_계_40~49세,"269,678","107,499","53,818","53,681","43,632","42,190","14,969","10,795","10,074","13,563","2,783","2,890","2,603","2,900","3,350","6,229","6,201"
2020년10월_계_50~59세,"300,218","105,953","57,117","48,836","44,021","49,104","18,541","13,781","13,816","15,282","4,548","4,230","3,696","4,729","4,489","9,132","8,896"
2020년10월_계_60~69세,"253,402","76,068","41,949","34,119","37,214","40,066","16,735","12,856","14,472","13,729","4,793","4,334","4,204","4,951","4,789","9,606","9,585"
2020년10월_계_70~79세,"169,708","43,830","23,790","20,040","22,720","24,431","13,386","9,812","11,352","9,196","3,828","3,397","3,140","4,308","4,195","8,398","7,715"
2020년10월_계_80~89세,"91,003","19,426","10,560","8,866","10,015","12,447","8,155","6,066","7,166","5,248","2,469","2,297","2,111","2,978","2,736","5,243","4,646"
2020년10월_계_90~99세,"13,582","2,770","1,587","1,183","1,553","1,946","1,166",951,"1,203",787,372,325,287,428,373,797,624
