,대구광역시 달성군,대구광역시 달성군 화원읍,대구광역시 달성군 논공읍,대구광역시 달성군 논공읍공단출장소,대구광역시 달성군 다사읍,대구광역시 달성군 다사읍서재출장소,대구광역시 달성군 유가읍,대구광역시 달성군 옥포읍,대구광역시 달성군 현풍읍,대구광역시 달성군 가창면,대구광역시 달성군 하빈면,대구광역시 달성군 구지면
2021년04월_계_총인구수,"260,189","47,706","4,731","13,561","50,449","38,594","29,625","25,402","23,150","7,867","3,680","15,424"
2021년04월_계_연령구간인구수,"260,189","47,706","4,731","13,561","50,449","38,594","29,625","25,402","23,150","7,867","3,680","15,424"
2021년04월_계_0~9세,"29,101","3,184",275,793,"5,798","6,193","5,220","2,560","2,391",411,105,"2,171"
2021년04월_계_10~19세,"24,033","4,451",165,"1,371","5,959","3,492","3,465","1,787","1,693",485,120,"1,045"
2021년04월_계_20~29세,"28,803","6,283",498,"1,859","5,535","3,919","2,406","2,632","3,164",653,280,"1,574"
2021년04월_계_30~39세,"41,235","5,167",583,"1,349","7,042","8,341","6,106","3,982","4,344",634,290,"3,397"
2021년04월_계_40~49세,"43,887","6,967",558,"2,505","9,590","7,137","6,059","3,712","3,600",919,302,"2,538"
2021년04월_계_50~59세,"40,680","9,635",927,"2,996","7,841","4,923","2,940","4,267","3,168","1,352",808,"1,823"
2021년04월_계_60~69세,"31,014","7,240",928,"1,647","5,344","3,078","2,166","3,857","2,698","1,654",862,"1,540"
2021년04월_계_70~79세,"14,145","3,252",481,663,"2,359","1,103",844,"1,773","1,350","1,022",503,795
2021년04월_계_80~89세,"6,444","1,356",277,336,871,359,363,748,666,629,360,479
2021년04월_계_90~99세,826,166,38,40,109,47,54,84,73,106,48,61
2021년04월_계_100세 이상,21,5,1,2,1,2,2,0,3,2,2,1
2021년04월_남_총인구수,"132,072","23,713","2,568","7,184","24,951","19,671","15,044","12,802","12,142","3,911","1,981","8,105"
2021년04월_남_연령구간인구수,"132,072","23,713","2,568","7,184","24,951","19,671","15,044","12,802","12,142","3,911","1,981","8,105"
2021년04월_남_0~9세,"14,855","1,657",144,384,"2,916","3,161","2,677","1,328","1,221",220,48,"1,099"
2021년04월_남_10~19세,"12,532","2,282",79,724,"3,111","1,813","1,807",954,887,259,60,556
2021년04월_남_20~29세,"15,794","3,453",297,"1,126","2,928","2,045","1,303","1,388","1,820",379,172,883
2021년04월_남_30~39세,"21,557","2,754",341,726,"3,476","4,251","3,038","2,075","2,503",318,175,"1,900"
2021년04월_남_40~49세,"22,900","3,350",358,"1,347","4,751","3,838","3,136","1,991","2,006",483,191,"1,449"
2021년04월_남_50~59세,"20,252","4,656",502,"1,625","3,730","2,409","1,487","2,088","1,596",718,478,963
2021년04월_남_60~69세,"15,384","3,567",532,873,"2,564","1,537","1,060","1,881","1,324",804,501,741
2021년04월_남_70~79세,"6,535","1,470",218,274,"1,144",512,409,826,581,502,239,360
2021년04월_남_80~89세,"2,096",491,90,98,310,98,110,252,190,204,107,146
2021년04월_남_90~99세,164,33,7,7,21,7,17,19,13,23,9,8
2021년04월_남_100세 이상,3,0,0,0,0,0,0,0,1,1,1,0
2021년04월_여_총인구수,"128,117","23,993","2,163","6,377","25,498","18,923","14,581","12,600","11,008","3,956","1,699","7,319"
2021년04월_여_연령구간인구수,"128,117","23,993","2,163","6,377","25,498","18,923","14,581","12,600","11,008","3,956","1,699","7,319"
2021년04월_여_0~9세,"14,246","1,527",131,409,"2,882","3,032","2,543","1,232","1,170",191,57,"1,072"
2021년04월_여_10~19세,"11,501","2,169",86,647,"2,848","1,679","1,658",833,806,226,60,489
2021년04월_여_20~29세,"13,009","2,830",201,733,"2,607","1,874","1,103","1,244","1,344",274,108,691
2021년04월_여_30~39세,"19,678","2,413",242,623,"3,566","4,090","3,068","1,907","1,841",316,115,"1,497"
2021년04월_여_40~49세,"20,987","3,617",200,"1,158","4,839","3,299","2,923","1,721","1,594",436,111,"1,089"
2021년04월_여_50~59세,"20,428","4,979",425,"1,371","4,111","2,514","1,453","2,179","1,572",634,330,860
2021년04월_여_60~69세,"15,630","3,673",396,774,"2,780","1,541","1,106","1,976","1,374",850,361,799
2021년04월_여_70~79세,"7,610","1,782",263,389,"1,215",591,435,947,769,520,264,435
2021년04월_여_80~89세,"4,348",865,187,238,561,261,253,496,476,425,253,333
2021년04월_여_90~99세,662,133,31,33,88,40,37,65,60,83,39,53
2021년04월_여_100세 이상,18,5,1,2,1,2,2,0,2,1,1,1
