,대구광역시 수성구,대구광역시 수성구 범어1동,대구광역시 수성구 범어2동,대구광역시 수성구 범어3동,대구광역시 수성구 범어4동,대구광역시 수성구 만촌1동,대구광역시 수성구 만촌2동,대구광역시 수성구 만촌3동,대구광역시 수성구 수성1가동,대구광역시 수성구 수성2.3가동,대구광역시 수성구 수성4가동,대구광역시 수성구 황금1동,대구광역시 수성구 황금2동,대구광역시 수성구 중동,대구광역시 수성구 상동,대구광역시 수성구 파동,대구광역시 수성구 두산동,대구광역시 수성구 지산1동,대구광역시 수성구 지산2동,대구광역시 수성구 범물1동,대구광역시 수성구 범물2동,대구광역시 수성구 고산1동,대구광역시 수성구 고산2동,대구광역시 수성구 고산3동
2020년03월_여_10~19세,"24,963","1,137",854,"1,025","2,038","1,261",542,"1,407","1,182",895,766,"2,109",475,366,669,460,598,889,949,377,878,"2,385","1,576","2,125"
2020년03월_여_20~29세,"25,710",965,"1,163","1,033",826,"1,368",837,994,"1,071",584,"1,056","1,249",899,659,993,576,"1,032","1,555","1,235",682,881,"2,099","1,664","2,289"
2020년03월_여_30~39세,"22,846",896,"1,046","1,239",749,"1,300",568,867,905,685,805,"1,151",717,699,"1,040",855,959,"1,162","1,047",472,809,"1,506","1,489","1,880"
2020년03월_여_40~49세,"40,570","1,643","1,404","1,732","2,580","2,077",962,"2,633","1,778","1,298","1,342","2,801",935,896,"1,337",988,"1,256","1,856","1,626",742,"1,450","3,302","2,604","3,328"
2020년03월_여_50~59세,"38,704","1,464","1,348","1,285","1,270","2,112","1,108","1,547","1,660",894,"1,563","2,095","1,004",963,"1,512","1,162","1,419","2,299","2,023","1,253","1,560","3,058","2,623","3,482"
2020년03월_여_60~69세,"26,706",923,887,655,700,"1,540",790,867,"1,305",734,"1,132","1,238",808,892,"1,331","1,192",929,"1,847","1,521","1,279","1,225","1,552","1,647","1,712"
2020년03월_여_70~79세,"15,998",649,517,407,498,941,456,577,970,475,708,649,531,563,816,690,423,"1,186",789,865,484,849,883,"1,072"
2020년03월_여_80~89세,"8,658",295,243,199,234,500,269,285,527,223,377,375,222,289,442,348,206,627,503,533,287,496,520,658
2020년03월_여_90~99세,"1,337",42,33,30,32,74,35,41,75,25,51,73,42,43,89,61,37,101,68,75,47,80,93,90
2020년03월_여_100세 이상,70,4,2,5,0,3,1,1,3,5,6,3,0,3,7,6,2,5,1,3,2,2,3,3
