,부산광역시 수영구,부산광역시 수영구 남천제1동,부산광역시 수영구 남천제2동,부산광역시 수영구 수영동,부산광역시 수영구 망미제1동,부산광역시 수영구 망미제2동,부산광역시 수영구 광안제1동,부산광역시 수영구 광안제2동,부산광역시 수영구 광안제3동,부산광역시 수영구 광안제4동,부산광역시 수영구 민락동
2020년03월_계_총인구수,"176,967","14,150","12,481","15,196","28,372","11,880","26,250","18,854","10,353","11,122","28,309"
2020년03월_계_연령구간인구수,"176,967","14,150","12,481","15,196","28,372","11,880","26,250","18,854","10,353","11,122","28,309"
2020년03월_계_0~9세,"10,593",729,896,679,"1,795",748,"1,424","1,210",358,536,"2,218"
2020년03월_계_10~19세,"12,270","1,221","1,243",715,"2,013",928,"1,717","1,317",507,755,"1,854"
2020년03월_계_20~29세,"24,288","1,921","1,459","1,835","3,277","1,327","4,941","2,801","1,901","1,509","3,317"
2020년03월_계_30~39세,"24,127","1,659","1,302","1,909","3,595","1,511","4,111","2,727","1,541","1,573","4,199"
2020년03월_계_40~49세,"25,757","2,082","2,031","1,954","3,818","1,825","3,760","2,931","1,363","1,676","4,317"
2020년03월_계_50~59세,"27,947","2,443","2,187","2,427","4,586","1,917","3,642","2,786","1,521","1,768","4,670"
2020년03월_계_60~69세,"27,833","2,089","1,868","2,928","4,985","1,982","3,589","2,607","1,678","1,658","4,449"
2020년03월_계_70~79세,"16,791","1,299","1,038","1,907","2,910","1,193","2,170","1,748","1,055","1,110","2,361"
2020년03월_계_80~89세,"6,446",603,369,758,"1,207",397,784,651,382,481,814
2020년03월_계_90~99세,850,98,79,80,174,48,105,68,42,51,105
2020년03월_계_100세 이상,65,6,9,4,12,4,7,8,5,5,5
2020년03월_남_총인구수,"83,806","6,538","5,828","7,291","13,649","5,833","12,350","8,817","4,919","4,960","13,621"
2020년03월_남_연령구간인구수,"83,806","6,538","5,828","7,291","13,649","5,833","12,350","8,817","4,919","4,960","13,621"
2020년03월_남_0~9세,"5,445",361,444,352,938,393,771,612,189,277,"1,108"
2020년03월_남_10~19세,"6,319",613,641,359,"1,038",502,900,660,264,395,947
2020년03월_남_20~29세,"11,934",980,759,925,"1,707",720,"2,237","1,324",852,698,"1,732"
2020년03월_남_30~39세,"12,073",810,618,"1,012","1,852",765,"2,048","1,336",800,733,"2,099"
2020년03월_남_40~49세,"12,635",934,911,"1,017","1,909",958,"1,850","1,441",714,742,"2,159"
2020년03월_남_50~59세,"12,716","1,125",958,"1,137","2,101",899,"1,619","1,266",709,773,"2,129"
2020년03월_남_60~69세,"12,444",905,851,"1,311","2,238",891,"1,598","1,148",772,678,"2,052"
2020년03월_남_70~79세,"7,593",554,482,863,"1,356",546,"1,003",748,467,486,"1,088"
2020년03월_남_80~89세,"2,425",222,148,295,459,151,293,259,143,169,286
2020년03월_남_90~99세,208,34,13,20,47,8,28,21,9,9,19
2020년03월_남_100세 이상,14,0,3,0,4,0,3,2,0,0,2
2020년03월_여_총인구수,"93,161","7,612","6,653","7,905","14,723","6,047","13,900","10,037","5,434","6,162","14,688"
2020년03월_여_연령구간인구수,"93,161","7,612","6,653","7,905","14,723","6,047","13,900","10,037","5,434","6,162","14,688"
2020년03월_여_0~9세,"5,148",368,452,327,857,355,653,598,169,259,"1,110"
2020년03월_여_10~19세,"5,951",608,602,356,975,426,817,657,243,360,907
2020년03월_여_20~29세,"12,354",941,700,910,"1,570",607,"2,704","1,477","1,049",811,"1,585"
2020년03월_여_30~39세,"12,054",849,684,897,"1,743",746,"2,063","1,391",741,840,"2,100"
2020년03월_여_40~49세,"13,122","1,148","1,120",937,"1,909",867,"1,910","1,490",649,934,"2,158"
2020년03월_여_50~59세,"15,231","1,318","1,229","1,290","2,485","1,018","2,023","1,520",812,995,"2,541"
2020년03월_여_60~69세,"15,389","1,184","1,017","1,617","2,747","1,091","1,991","1,459",906,980,"2,397"
2020년03월_여_70~79세,"9,198",745,556,"1,044","1,554",647,"1,167","1,000",588,624,"1,273"
2020년03월_여_80~89세,"4,021",381,221,463,748,246,491,392,239,312,528
2020년03월_여_90~99세,642,64,66,60,127,40,77,47,33,42,86
2020년03월_여_100세 이상,51,6,6,4,8,4,4,6,5,5,3
