카테고리,광주광역시,광주광역시 동구,광주광역시 서구,광주광역시 남구,광주광역시 북구,광주광역시 광산구
2020년04월_계_총인구수,"1,456,096","98,622","300,093","217,543","433,057","406,781"
2020년04월_계_연령구간인구수,"1,456,096","98,622","300,093","217,543","433,057","406,781"
2020년04월_계_0~9세,"124,409","6,627","22,960","18,043","34,658","42,121"
2020년04월_계_10~19세,"161,641","7,291","32,923","23,337","44,382","53,708"
2020년04월_계_20~29세,"208,412","13,925","45,367","28,530","62,843","57,747"
2020년04월_계_30~39세,"190,220","12,404","38,189","26,670","56,790","56,167"
2020년04월_계_40~49세,"244,392","13,629","50,146","34,476","68,565","77,576"
2020년04월_계_50~59세,"234,352","15,389","49,769","33,803","72,674","62,717"
2020년04월_계_60~69세,"156,796","14,117","33,009","27,294","51,133","31,243"
2020년04월_계_70~79세,"91,258","10,043","18,711","17,121","28,583","16,800"
2020년04월_계_80~89세,"38,573","4,514","7,776","7,084","11,667","7,532"
2020년04월_계_90~99세,"5,631",620,"1,171","1,089","1,645","1,106"
2020년04월_계_100세 이상,412,63,72,96,117,64
2020년04월_남_총인구수,"720,536","48,743","147,198","104,745","215,038","204,812"
2020년04월_남_연령구간인구수,"720,536","48,743","147,198","104,745","215,038","204,812"
2020년04월_남_0~9세,"63,870","3,433","11,911","9,204","17,671","21,651"
2020년04월_남_10~19세,"84,007","3,786","17,277","11,798","23,516","27,630"
2020년04월_남_20~29세,"108,720","7,139","23,326","14,628","33,082","30,545"
2020년04월_남_30~39세,"96,789","6,473","19,257","13,235","29,456","28,368"
2020년04월_남_40~49세,"121,319","7,130","24,197","16,916","34,310","38,766"
2020년04월_남_50~59세,"116,096","7,603","24,353","15,931","35,486","32,723"
2020년04월_남_60~69세,"74,659","6,653","15,530","12,572","24,377","15,527"
2020년04월_남_70~79세,"40,386","4,457","8,337","7,673","12,731","7,188"
2020년04월_남_80~89세,"13,425","1,887","2,743","2,533","4,063","2,199"
2020년04월_남_90~99세,"1,211",169,258,242,333,209
2020년04월_남_100세 이상,54,13,9,13,13,6
2020년04월_여_총인구수,"735,560","49,879","152,895","112,798","218,019","201,969"
2020년04월_여_연령구간인구수,"735,560","49,879","152,895","112,798","218,019","201,969"
2020년04월_여_0~9세,"60,539","3,194","11,049","8,839","16,987","20,470"
2020년04월_여_10~19세,"77,634","3,505","15,646","11,539","20,866","26,078"
2020년04월_여_20~29세,"99,692","6,786","22,041","13,902","29,761","27,202"
2020년04월_여_30~39세,"93,431","5,931","18,932","13,435","27,334","27,799"
2020년04월_여_40~49세,"123,073","6,499","25,949","17,560","34,255","38,810"
2020년04월_여_50~59세,"118,256","7,786","25,416","17,872","37,188","29,994"
2020년04월_여_60~69세,"82,137","7,464","17,479","14,722","26,756","15,716"
2020년04월_여_70~79세,"50,872","5,586","10,374","9,448","15,852","9,612"
2020년04월_여_80~89세,"25,148","2,627","5,033","4,551","7,604","5,333"
2020년04월_여_90~99세,"4,420",451,913,847,"1,312",897
2020년04월_여_100세 이상,358,50,63,83,104,58
