,서울특별시 강동구,서울특별시 강동구 강일동,서울특별시 강동구 상일동,서울특별시 강동구 명일제1동,서울특별시 강동구 명일제2동,서울특별시 강동구 고덕제1동,서울특별시 강동구 고덕제2동,서울특별시 강동구 암사제1동,서울특별시 강동구 암사제2동,서울특별시 강동구 암사제3동,서울특별시 강동구 천호제1동,서울특별시 강동구 천호제2동,서울특별시 강동구 천호제3동,서울특별시 강동구 성내제1동,서울특별시 강동구 성내제2동,서울특별시 강동구 성내제3동,서울특별시 강동구 길동,서울특별시 강동구 둔촌제1동,서울특별시 강동구 둔촌제2동
2020년03월_남_0~9세,"17,987","1,352","1,807","1,099",606,"1,741","1,229","1,171",743,"1,075",783,979,767,835,632,725,"1,377",5,"1,061"
2020년03월_남_10~19세,"20,850","2,293","1,454","1,410","1,407","1,990",980,"1,447",530,"1,005","1,011","1,034",702,936,613,"1,157","1,655",4,"1,222"
2020년03월_남_20~29세,"30,204","1,976","1,560","1,667","1,140","1,398","1,259","2,556",997,"1,007","1,962","2,399","1,874","1,351","1,828","1,869","3,348",10,"2,003"
2020년03월_남_30~39세,"35,312","1,553","2,089","2,133",928,"1,830","1,794","2,915","1,444","1,240","2,167","3,253","2,423","1,616","2,254","1,821","3,780",15,"2,057"
2020년03월_남_40~49세,"36,687","2,666","2,449","2,054","1,422","2,765","1,809","2,893","1,216","1,642","2,179","2,653","2,050","1,690","1,883","1,793","3,491",25,"2,007"
2020년03월_남_50~59세,"35,363","2,477","1,956","1,958","1,378","1,805","1,637","3,044","1,086","1,289","2,284","3,060","2,298","1,444","1,947","1,905","3,574",19,"2,202"
2020년03월_남_60~69세,"28,525","1,742","1,558","1,626","1,175","1,306","1,311","2,312",844,"1,119","2,035","2,335","1,914","1,168","1,653","1,392","3,141",25,"1,869"
2020년03월_남_70~79세,"14,162",933,605,749,481,518,536,"1,206",512,501,"1,074","1,258",975,632,906,793,"1,585",15,883
2020년03월_남_80~89세,"3,659",328,122,189,107,165,125,300,125,129,264,346,260,166,257,169,381,7,219
2020년03월_남_90~99세,379,42,10,24,18,22,19,36,12,11,19,27,17,22,18,19,36,1,26
2020년03월_남_100세 이상,61,4,1,2,0,11,3,5,2,4,4,7,5,0,4,3,4,1,1
2020년03월_여_총인구수,"229,457","16,476","13,905","13,529","8,885","13,093","10,328","18,293","7,958","9,438","14,129","17,574","13,712","10,476","12,406","11,931","23,359",139,"13,826"
2020년03월_여_연령구간인구수,"229,457","16,476","13,905","13,529","8,885","13,093","10,328","18,293","7,958","9,438","14,129","17,574","13,712","10,476","12,406","11,931","23,359",139,"13,826"
2020년03월_여_0~9세,"16,728","1,307","1,720","1,056",588,"1,570","1,145","1,180",710,"1,051",778,883,701,775,527,634,"1,244",2,857
2020년03월_여_10~19세,"18,744","2,181","1,427","1,274","1,168","1,456",886,"1,378",545,938,908,943,696,865,672,791,"1,482",4,"1,130"
2020년03월_여_20~29세,"30,394","1,945","1,399","1,635","1,087","1,164","1,066","2,410","1,035",992,"1,950","2,627","2,238","1,380","2,155","1,751","3,599",9,"1,952"
2020년03월_여_30~39세,"35,400","1,834","2,385","2,064",959,"2,112","1,833","2,664","1,463","1,467","1,973","3,008","2,383","1,731","2,075","1,768","3,652",13,"2,016"
2020년03월_여_40~49세,"36,513","2,903","2,418","2,255","1,715","2,717","1,684","2,829","1,237","1,646","2,013","2,469","1,855","1,742","1,727","1,904","3,334",26,"2,039"
2020년03월_여_50~59세,"37,206","2,517","2,110","2,194","1,440","1,766","1,596","3,106","1,192","1,405","2,508","2,968","2,198","1,630","1,999","2,117","4,022",13,"2,425"
2020년03월_여_60~69세,"31,394","1,980","1,591","1,812","1,205","1,361","1,301","2,603",983,"1,172","2,244","2,557","2,031","1,386","1,842","1,722","3,544",30,"2,030"
2020년03월_여_70~79세,"15,160","1,103",554,792,438,560,518,"1,420",555,515,"1,163","1,455","1,082",654,958,852,"1,643",24,874
2020년03월_여_80~89세,"6,332",584,236,349,214,272,240,580,199,191,478,527,440,257,363,325,673,4,400
2020년03월_여_90~99세,"1,407",110,59,89,66,99,58,104,29,57,105,119,80,52,75,59,148,7,91
2020년03월_여_100세 이상,179,12,6,9,5,16,1,19,10,4,9,18,8,4,13,8,18,7,12
