카테고리,대전광역시 유성구,대전광역시 유성구 진잠동,대전광역시 유성구 온천1동,대전광역시 유성구 온천2동,대전광역시 유성구 노은1동,대전광역시 유성구 노은2동,대전광역시 유성구 노은3동,대전광역시 유성구 신성동,대전광역시 유성구 전민동,대전광역시 유성구 구즉동,대전광역시 유성구 관평동,대전광역시 유성구 원신흥동
2020년02월_계_총인구수,"349,915","35,609","33,797","40,001","22,382","25,191","36,308","25,461","27,403","28,245","28,990","46,528"
2020년02월_계_연령구간인구수,"349,915","35,609","33,797","40,001","22,382","25,191","36,308","25,461","27,403","28,245","28,990","46,528"
2020년02월_계_0~9세,"36,313","3,449","1,571","3,617","2,423","2,613","5,001","3,070","2,729","2,754","3,326","5,760"
2020년02월_계_10~19세,"38,973","3,532","1,580","3,356","3,090","3,593","4,424","2,979","3,380","3,264","4,687","5,088"
2020년02월_계_20~29세,"51,960","4,600","7,926","8,058","2,871","3,231","3,677","3,883","4,322","4,268","3,598","5,526"
2020년02월_계_30~39세,"56,665","4,711","6,405","6,490","3,329","3,262","6,295","5,165","4,450","4,304","4,038","8,216"
2020년02월_계_40~49세,"60,895","6,033","4,377","5,672","4,385","4,963","7,095","4,129","4,533","4,891","6,158","8,659"
2020년02월_계_50~59세,"53,577","6,297","5,588","6,082","3,229","3,917","4,942","3,443","4,452","4,622","4,228","6,777"
2020년02월_계_60~69세,"31,335","4,095","3,696","4,257","1,731","1,959","3,067","1,763","2,263","2,277","1,983","4,244"
2020년02월_계_70~79세,"12,947","1,863","1,710","1,621",846,"1,043","1,227",622,707,"1,149",634,"1,525"
2020년02월_계_80~89세,"6,191",886,788,731,408,524,500,357,466,620,288,623
2020년02월_계_90~99세,"1,004",132,133,110,70,85,77,49,98,92,50,108
2020년02월_계_100세 이상,55,11,23,7,0,1,3,1,3,4,0,2
2020년02월_남_총인구수,"176,706","18,132","17,449","20,747","11,044","12,401","17,895","13,356","13,983","14,467","14,845","22,387"
2020년02월_남_연령구간인구수,"176,706","18,132","17,449","20,747","11,044","12,401","17,895","13,356","13,983","14,467","14,845","22,387"
2020년02월_남_0~9세,"18,753","1,757",810,"1,813","1,239","1,344","2,543","1,610","1,461","1,422","1,758","2,996"
2020년02월_남_10~19세,"20,273","1,880",814,"1,774","1,601","1,847","2,273","1,590","1,727","1,677","2,451","2,639"
2020년02월_남_20~29세,"27,899","2,549","4,081","4,711","1,471","1,657","1,944","2,144","2,365","2,357","1,906","2,714"
2020년02월_남_30~39세,"29,307","2,429","3,674","3,470","1,629","1,607","2,991","2,824","2,381","2,330","2,057","3,915"
2020년02월_남_40~49세,"29,965","3,105","2,338","2,850","2,051","2,343","3,488","2,061","2,157","2,478","2,938","4,156"
2020년02월_남_50~59세,"26,632","3,142","2,740","2,918","1,666","1,983","2,392","1,779","2,193","2,399","2,311","3,109"
2020년02월_남_60~69세,"15,710","2,089","1,911","2,163",827,954,"1,489",921,"1,212","1,143","1,039","1,962"
2020년02월_남_70~79세,"5,917",876,757,764,387,460,584,314,328,455,298,694
2020년02월_남_80~89세,"2,015",280,283,252,152,188,174,101,131,186,77,191
2020년02월_남_90~99세,223,22,38,31,21,17,16,12,26,19,10,11
2020년02월_남_100세 이상,12,3,3,1,0,1,1,0,2,1,0,0
2020년02월_여_총인구수,"173,209","17,477","16,348","19,254","11,338","12,790","18,413","12,105","13,420","13,778","14,145","24,141"
2020년02월_여_연령구간인구수,"173,209","17,477","16,348","19,254","11,338","12,790","18,413","12,105","13,420","13,778","14,145","24,141"
2020년02월_여_0~9세,"17,560","1,692",761,"1,804","1,184","1,269","2,458","1,460","1,268","1,332","1,568","2,764"
2020년02월_여_10~19세,"18,700","1,652",766,"1,582","1,489","1,746","2,151","1,389","1,653","1,587","2,236","2,449"
2020년02월_여_20~29세,"24,061","2,051","3,845","3,347","1,400","1,574","1,733","1,739","1,957","1,911","1,692","2,812"
2020년02월_여_30~39세,"27,358","2,282","2,731","3,020","1,700","1,655","3,304","2,341","2,069","1,974","1,981","4,301"
2020년02월_여_40~49세,"30,930","2,928","2,039","2,822","2,334","2,620","3,607","2,068","2,376","2,413","3,220","4,503"
2020년02월_여_50~59세,"26,945","3,155","2,848","3,164","1,563","1,934","2,550","1,664","2,259","2,223","1,917","3,668"
2020년02월_여_60~69세,"15,625","2,006","1,785","2,094",904,"1,005","1,578",842,"1,051","1,134",944,"2,282"
2020년02월_여_70~79세,"7,030",987,953,857,459,583,643,308,379,694,336,831
2020년02월_여_80~89세,"4,176",606,505,479,256,336,326,256,335,434,211,432
2020년02월_여_90~99세,781,110,95,79,49,68,61,37,72,73,40,97
2020년02월_여_100세 이상,43,8,20,6,0,0,2,1,1,3,0,2
