,경기도 부천시,경기도 부천시 심곡동,경기도 부천시 부천동,경기도 부천시 중동,경기도 부천시 신중동,경기도 부천시 상동,경기도 부천시 대산동,경기도 부천시 소사본동,경기도 부천시 범안동,경기도 부천시 성곡동,경기도 부천시 오정동
2020년06월_계_총인구수,"825,700","64,845","90,754","42,264","132,495","87,450","82,856","57,227","97,134","85,163","85,512"
2020년06월_계_연령구간인구수,"825,700","64,845","90,754","42,264","132,495","87,450","82,856","57,227","97,134","85,163","85,512"
2020년06월_계_0~9세,"59,795","3,164","5,912","2,869","10,288","8,348","4,981","3,830","10,267","4,796","5,340"
2020년06월_계_10~19세,"72,434","4,082","7,451","3,968","11,747","10,161","6,503","4,546","9,203","7,495","7,278"
2020년06월_계_20~29세,"118,809","10,247","13,017","6,242","19,815","12,381","11,855","7,981","11,618","12,785","12,868"
2020년06월_계_30~39세,"118,715","9,676","12,339","5,554","22,097","12,924","11,540","8,223","15,283","9,988","11,091"
2020년06월_계_40~49세,"131,496","9,841","14,126","6,526","20,864","15,583","12,685","8,096","17,162","13,289","13,324"
2020년06월_계_50~59세,"149,453","11,885","16,853","7,903","23,199","15,389","14,949","10,388","14,524","17,135","17,228"
2020년06월_계_60~69세,"106,642","9,509","12,615","5,697","15,757","8,322","12,079","8,671","11,254","11,475","11,263"
2020년06월_계_70~79세,"45,785","4,473","5,758","2,325","5,662","2,894","5,604","3,787","5,129","5,373","4,780"
2020년06월_계_80~89세,"19,350","1,697","2,339",996,"2,578","1,215","2,283","1,459","2,294","2,458","2,031"
2020년06월_계_90~99세,"2,979",238,311,170,468,228,346,223,363,343,289
2020년06월_계_100세 이상,242,33,33,14,20,5,31,23,37,26,20
2020년06월_남_총인구수,"409,982","32,906","45,535","20,853","64,194","42,949","41,023","28,331","47,693","42,707","43,791"
2020년06월_남_연령구간인구수,"409,982","32,906","45,535","20,853","64,194","42,949","41,023","28,331","47,693","42,707","43,791"
2020년06월_남_0~9세,"30,639","1,658","3,045","1,470","5,300","4,241","2,590","1,958","5,212","2,408","2,757"
2020년06월_남_10~19세,"37,231","2,095","3,876","2,084","5,940","5,188","3,381","2,293","4,626","3,883","3,865"
2020년06월_남_20~29세,"61,334","5,184","6,863","3,159","9,786","6,312","6,175","4,166","5,987","6,799","6,903"
2020년06월_남_30~39세,"60,878","5,324","6,396","2,820","10,900","6,171","6,121","4,363","7,488","5,357","5,938"
2020년06월_남_40~49세,"66,188","5,351","7,371","3,213","9,919","7,358","6,411","4,030","8,772","6,713","7,050"
2020년06월_남_50~59세,"72,765","5,977","8,336","3,806","10,819","7,514","7,097","4,916","6,968","8,618","8,714"
2020년06월_남_60~69세,"52,777","4,554","6,137","2,832","8,025","4,384","5,783","4,188","5,392","5,745","5,737"
2020년06월_남_70~79세,"21,062","2,121","2,629","1,107","2,627","1,358","2,554","1,842","2,377","2,322","2,125"
2020년06월_남_80~89세,"6,378",596,790,317,773,377,836,512,771,774,632
2020년06월_남_90~99세,671,39,81,41,100,45,67,59,89,83,67
2020년06월_남_100세 이상,59,7,11,4,5,1,8,4,11,5,3
2020년06월_여_총인구수,"415,718","31,939","45,219","21,411","68,301","44,501","41,833","28,896","49,441","42,456","41,721"
2020년06월_여_연령구간인구수,"415,718","31,939","45,219","21,411","68,301","44,501","41,833","28,896","49,441","42,456","41,721"
2020년06월_여_0~9세,"29,156","1,506","2,867","1,399","4,988","4,107","2,391","1,872","5,055","2,388","2,583"
2020년06월_여_10~19세,"35,203","1,987","3,575","1,884","5,807","4,973","3,122","2,253","4,577","3,612","3,413"
2020년06월_여_20~29세,"57,475","5,063","6,154","3,083","10,029","6,069","5,680","3,815","5,631","5,986","5,965"
2020년06월_여_30~39세,"57,837","4,352","5,943","2,734","11,197","6,753","5,419","3,860","7,795","4,631","5,153"
2020년06월_여_40~49세,"65,308","4,490","6,755","3,313","10,945","8,225","6,274","4,066","8,390","6,576","6,274"
2020년06월_여_50~59세,"76,688","5,908","8,517","4,097","12,380","7,875","7,852","5,472","7,556","8,517","8,514"
2020년06월_여_60~69세,"53,865","4,955","6,478","2,865","7,732","3,938","6,296","4,483","5,862","5,730","5,526"
2020년06월_여_70~79세,"24,723","2,352","3,129","1,218","3,035","1,536","3,050","1,945","2,752","3,051","2,655"
2020년06월_여_80~89세,"12,972","1,101","1,549",679,"1,805",838,"1,447",947,"1,523","1,684","1,399"
2020년06월_여_90~99세,"2,308",199,230,129,368,183,279,164,274,260,222
2020년06월_여_100세 이상,183,26,22,10,15,4,23,19,26,21,17
