,부산광역시 수영구,부산광역시 수영구 남천제1동,부산광역시 수영구 남천제2동,부산광역시 수영구 수영동,부산광역시 수영구 망미제1동,부산광역시 수영구 망미제2동,부산광역시 수영구 광안제1동,부산광역시 수영구 광안제2동,부산광역시 수영구 광안제3동,부산광역시 수영구 광안제4동,부산광역시 수영구 민락동
2020년06월_계_총인구수,"176,975","14,093","12,470","15,129","28,141","11,806","26,323","18,879","10,360","10,997","28,777"
2020년06월_계_연령구간인구수,"176,975","14,093","12,470","15,129","28,141","11,806","26,323","18,879","10,360","10,997","28,777"
2020년06월_계_0~9세,"10,518",723,889,664,"1,751",742,"1,400","1,192",358,524,"2,275"
2020년06월_계_10~19세,"12,070","1,211","1,220",693,"1,991",906,"1,692","1,278",487,729,"1,863"
2020년06월_계_20~29세,"24,274","1,904","1,444","1,821","3,200","1,295","5,010","2,853","1,913","1,479","3,355"
2020년06월_계_30~39세,"24,162","1,664","1,286","1,852","3,566","1,516","4,143","2,745","1,563","1,554","4,273"
2020년06월_계_40~49세,"25,638","2,038","2,021","1,959","3,779","1,781","3,750","2,924","1,338","1,662","4,386"
2020년06월_계_50~59세,"27,832","2,437","2,198","2,404","4,498","1,904","3,621","2,771","1,499","1,748","4,752"
2020년06월_계_60~69세,"28,009","2,100","1,876","2,933","5,023","1,982","3,613","2,621","1,697","1,652","4,512"
2020년06월_계_70~79세,"16,991","1,303","1,059","1,951","2,939","1,227","2,182","1,757","1,064","1,095","2,414"
2020년06월_계_80~89세,"6,541",605,389,762,"1,216",399,795,663,390,495,827
2020년06월_계_90~99세,877,102,79,84,171,50,110,68,45,53,115
2020년06월_계_100세 이상,63,6,9,6,7,4,7,7,6,6,5
2020년06월_남_총인구수,"83,688","6,487","5,796","7,243","13,528","5,793","12,370","8,788","4,920","4,885","13,878"
2020년06월_남_연령구간인구수,"83,688","6,487","5,796","7,243","13,528","5,793","12,370","8,788","4,920","4,885","13,878"
2020년06월_남_0~9세,"5,398",347,438,345,919,383,759,601,186,269,"1,151"
2020년06월_남_10~19세,"6,222",615,619,351,"1,031",485,898,650,248,374,951
2020년06월_남_20~29세,"11,840",957,744,913,"1,655",716,"2,235","1,325",848,688,"1,759"
2020년06월_남_30~39세,"12,032",807,601,971,"1,818",766,"2,073","1,327",817,726,"2,126"
2020년06월_남_40~49세,"12,611",921,914,"1,029","1,905",928,"1,834","1,443",701,732,"2,204"
2020년06월_남_50~59세,"12,707","1,116",959,"1,126","2,068",904,"1,624","1,259",702,764,"2,185"
2020년06월_남_60~69세,"12,514",914,858,"1,306","2,243",892,"1,607","1,154",791,672,"2,077"
2020년06월_남_70~79세,"7,659",551,496,885,"1,374",553,"1,007",746,472,473,"1,102"
2020년06월_남_80~89세,"2,479",226,151,298,467,157,299,259,145,178,299
2020년06월_남_90~99세,213,33,13,19,45,9,31,22,10,9,22
2020년06월_남_100세 이상,13,0,3,0,3,0,3,2,0,0,2
2020년06월_여_총인구수,"93,287","7,606","6,674","7,886","14,613","6,013","13,953","10,091","5,440","6,112","14,899"
2020년06월_여_연령구간인구수,"93,287","7,606","6,674","7,886","14,613","6,013","13,953","10,091","5,440","6,112","14,899"
2020년06월_여_0~9세,"5,120",376,451,319,832,359,641,591,172,255,"1,124"
2020년06월_여_10~19세,"5,848",596,601,342,960,421,794,628,239,355,912
2020년06월_여_20~29세,"12,434",947,700,908,"1,545",579,"2,775","1,528","1,065",791,"1,596"
2020년06월_여_30~39세,"12,130",857,685,881,"1,748",750,"2,070","1,418",746,828,"2,147"
2020년06월_여_40~49세,"13,027","1,117","1,107",930,"1,874",853,"1,916","1,481",637,930,"2,182"
2020년06월_여_50~59세,"15,125","1,321","1,239","1,278","2,430","1,000","1,997","1,512",797,984,"2,567"
2020년06월_여_60~69세,"15,495","1,186","1,018","1,627","2,780","1,090","2,006","1,467",906,980,"2,435"
2020년06월_여_70~79세,"9,332",752,563,"1,066","1,565",674,"1,175","1,011",592,622,"1,312"
2020년06월_여_80~89세,"4,062",379,238,464,749,242,496,404,245,317,528
2020년06월_여_90~99세,664,69,66,65,126,41,79,46,35,44,93
2020년06월_여_100세 이상,50,6,6,6,4,4,4,5,6,6,3
