,서울특별시 동대문구,서울특별시 동대문구 용신동,서울특별시 동대문구 제기동,서울특별시 동대문구 전농제1동,서울특별시 동대문구 전농제2동,서울특별시 동대문구 답십리제1동,서울특별시 동대문구 답십리제2동,서울특별시 동대문구 장안제1동,서울특별시 동대문구 장안제2동,서울특별시 동대문구 청량리동,서울특별시 동대문구 회기동,서울특별시 동대문구 휘경제1동,서울특별시 동대문구 휘경제2동,서울특별시 동대문구 이문제1동,서울특별시 동대문구 이문제2동
2020년05월_계_총인구수,"345,815","30,901","24,977","30,512","19,367","29,246","29,937","38,744","33,180","20,978","10,370","13,863","24,419","18,586","20,735"
2020년05월_계_연령구간인구수,"345,815","30,901","24,977","30,512","19,367","29,246","29,937","38,744","33,180","20,978","10,370","13,863","24,419","18,586","20,735"
2020년05월_계_0~9세,"21,584","1,340","1,085","1,956","1,294","2,786","1,898","2,647","2,979",897,486,801,"1,328",739,"1,348"
2020년05월_계_10~19세,"24,802","1,491","1,446","2,046","1,799","2,018","2,138","2,665","2,906","1,219",741,850,"2,172","1,396","1,915"
2020년05월_계_20~29세,"55,941","5,927","4,276","4,674","2,414","4,036","4,045","5,261","3,940","2,481","3,061","3,128","5,208","4,609","2,881"
2020년05월_계_30~39세,"51,044","5,254","3,358","4,464","2,360","5,449","4,537","6,425","5,245","2,460","1,459","2,203","3,052","2,202","2,576"
2020년05월_계_40~49세,"51,751","4,256","3,186","4,467","3,116","4,698","4,501","6,435","5,812","2,734","1,346","1,758","3,611","2,528","3,303"
2020년05월_계_50~59세,"54,124","4,761","3,878","4,975","3,330","4,339","5,094","6,123","5,020","3,733","1,214","2,082","3,547","2,611","3,417"
2020년05월_계_60~69세,"45,443","3,991","3,842","4,151","2,633","3,171","4,116","5,289","4,159","3,793",965,"1,531","2,920","2,173","2,709"
2020년05월_계_70~79세,"28,123","2,589","2,610","2,527","1,614","1,855","2,509","2,830","2,253","2,490",700,"1,011","1,805","1,530","1,800"
2020년05월_계_80~89세,"11,136","1,107","1,127","1,069",721,761,962,897,735,996,329,425,656,666,685
2020년05월_계_90~99세,"1,569",161,144,140,77,101,116,149,114,144,58,66,109,97,93
2020년05월_계_100세 이상,298,24,25,43,9,32,21,23,17,31,11,8,11,35,8
2020년05월_남_총인구수,"171,565","15,775","12,829","15,319","9,309","14,182","14,596","19,296","16,620","10,490","4,939","6,797","12,127","9,221","10,065"
2020년05월_남_연령구간인구수,"171,565","15,775","12,829","15,319","9,309","14,182","14,596","19,296","16,620","10,490","4,939","6,797","12,127","9,221","10,065"
2020년05월_남_0~9세,"11,031",696,565,998,647,"1,411",978,"1,337","1,539",455,254,419,693,361,678
2020년05월_남_10~19세,"12,540",789,741,"1,025",884,"1,028","1,067","1,374","1,554",639,328,421,"1,031",690,969
2020년05월_남_20~29세,"27,953","2,888","2,332","2,385","1,225","1,893","2,008","2,524","2,040","1,320","1,446","1,424","2,769","2,322","1,377"
2020년05월_남_30~39세,"26,464","2,751","1,890","2,314","1,177","2,592","2,329","3,317","2,641","1,326",769,"1,178","1,625","1,244","1,311"
2020년05월_남_40~49세,"26,672","2,320","1,738","2,326","1,495","2,428","2,287","3,373","2,961","1,439",671,902,"1,802","1,298","1,632"
2020년05월_남_50~59세,"27,235","2,557","2,024","2,561","1,622","2,120","2,481","3,029","2,524","1,897",599,"1,066","1,717","1,334","1,704"
2020년05월_남_60~69세,"22,008","2,034","1,868","2,107","1,239","1,543","1,937","2,574","1,996","1,868",432,737,"1,384","1,001","1,288"
2020년05월_남_70~79세,"12,689","1,219","1,173","1,124",670,850,"1,116","1,356","1,052","1,126",290,447,816,658,792
2020년05월_남_80~89세,"4,425",460,442,426,320,277,362,365,281,373,132,178,243,280,286
2020년05월_남_90~99세,459,54,50,39,26,29,21,39,27,42,17,20,43,26,26
2020년05월_남_100세 이상,89,7,6,14,4,11,10,8,5,5,1,5,4,7,2
2020년05월_여_총인구수,"174,250","15,126","12,148","15,193","10,058","15,064","15,341","19,448","16,560","10,488","5,431","7,066","12,292","9,365","10,670"
2020년05월_여_연령구간인구수,"174,250","15,126","12,148","15,193","10,058","15,064","15,341","19,448","16,560","10,488","5,431","7,066","12,292","9,365","10,670"
2020년05월_여_0~9세,"10,553",644,520,958,647,"1,375",920,"1,310","1,440",442,232,382,635,378,670
2020년05월_여_10~19세,"12,262",702,705,"1,021",915,990,"1,071","1,291","1,352",580,413,429,"1,141",706,946
2020년05월_여_20~29세,"27,988","3,039","1,944","2,289","1,189","2,143","2,037","2,737","1,900","1,161","1,615","1,704","2,439","2,287","1,504"
2020년05월_여_30~39세,"24,580","2,503","1,468","2,150","1,183","2,857","2,208","3,108","2,604","1,134",690,"1,025","1,427",958,"1,265"
2020년05월_여_40~49세,"25,079","1,936","1,448","2,141","1,621","2,270","2,214","3,062","2,851","1,295",675,856,"1,809","1,230","1,671"
2020년05월_여_50~59세,"26,889","2,204","1,854","2,414","1,708","2,219","2,613","3,094","2,496","1,836",615,"1,016","1,830","1,277","1,713"
2020년05월_여_60~69세,"23,435","1,957","1,974","2,044","1,394","1,628","2,179","2,715","2,163","1,925",533,794,"1,536","1,172","1,421"
2020년05월_여_70~79세,"15,434","1,370","1,437","1,403",944,"1,005","1,393","1,474","1,201","1,364",410,564,989,872,"1,008"
2020년05월_여_80~89세,"6,711",647,685,643,401,484,600,532,454,623,197,247,413,386,399
2020년05월_여_90~99세,"1,110",107,94,101,51,72,95,110,87,102,41,46,66,71,67
2020년05월_여_100세 이상,209,17,19,29,5,21,11,15,12,26,10,3,7,28,6
