,대전광역시 중구,대전광역시 중구 은행선화동,대전광역시 중구 목동,대전광역시 중구 중촌동,대전광역시 중구 대흥동,대전광역시 중구 문창동,대전광역시 중구 석교동,대전광역시 중구 대사동,대전광역시 중구 부사동,대전광역시 중구 용두동,대전광역시 중구 오류동,대전광역시 중구 태평1동,대전광역시 중구 태평2동,대전광역시 중구 유천1동,대전광역시 중구 유천2동,대전광역시 중구 문화1동,대전광역시 중구 문화2동,대전광역시 중구 산성동
2021년06월_계_총인구수,"232,841","15,797","14,533","12,978","13,862","4,681","15,781","5,475","6,643","9,522","10,675","13,494","26,012","6,574","13,831","22,603","12,798","27,582"
2021년06월_계_연령구간인구수,"232,841","15,797","14,533","12,978","13,862","4,681","15,781","5,475","6,643","9,522","10,675","13,494","26,012","6,574","13,831","22,603","12,798","27,582"
2021년06월_계_0~9세,"14,503",856,"1,438",646,877,172,690,163,292,498,639,"1,144","1,898",326,896,"1,880",627,"1,461"
2021년06월_계_10~19세,"21,449",998,"2,464","1,164","1,118",291,"1,117",254,424,728,789,"1,598","3,048",327,967,"2,801","1,060","2,301"
2021년06월_계_20~29세,"30,529","2,767","1,573","1,557","2,385",494,"1,782","1,033",791,"1,746","1,538","1,511","3,043",872,"1,809","2,880","1,536","3,212"
2021년06월_계_30~39세,"25,481","2,321","1,472","1,297","1,899",438,"1,590",620,637,"1,275","1,369","1,509","2,298",870,"1,582","2,372","1,270","2,662"
2021년06월_계_40~49세,"35,988","2,466","3,246","2,008","2,145",585,"2,029",589,858,"1,366","1,470","2,405","4,325",931,"1,910","3,896","1,813","3,946"
2021년06월_계_50~59세,"38,943","2,548","2,054","2,298","1,969",821,"2,787",884,"1,210","1,452","1,774","2,218","4,455","1,124","2,213","3,560","2,377","5,199"
2021년06월_계_60~69세,"34,547","2,184","1,240","2,111","1,843",903,"3,097",948,"1,241","1,174","1,469","1,589","3,558","1,190","2,285","2,632","2,118","4,965"
2021년06월_계_70~79세,"20,561","1,108",691,"1,227","1,064",629,"1,856",609,741,816,973,"1,028","2,219",632,"1,441","1,665","1,230","2,632"
2021년06월_계_80~89세,"9,490",468,311,583,468,310,733,333,377,408,561,443,"1,017",273,641,815,684,"1,065"
2021년06월_계_90~99세,"1,301",77,39,84,91,37,93,40,71,56,93,49,144,28,85,100,79,135
2021년06월_계_100세 이상,49,4,5,3,3,1,7,2,1,3,0,0,7,1,2,2,4,4
2021년06월_남_총인구수,"114,783","8,164","6,946","6,320","6,850","2,458","7,914","2,662","3,365","4,586","5,038","6,540","12,500","3,440","6,823","10,887","6,232","14,058"
2021년06월_남_연령구간인구수,"114,783","8,164","6,946","6,320","6,850","2,458","7,914","2,662","3,365","4,586","5,038","6,540","12,500","3,440","6,823","10,887","6,232","14,058"
2021년06월_남_0~9세,"7,431",410,732,316,481,98,360,91,170,240,311,617,966,171,447,977,314,730
2021년06월_남_10~19세,"11,057",505,"1,215",616,600,163,563,149,228,333,388,772,"1,564",193,521,"1,452",569,"1,226"
