카테고리,충청남도 계룡시,충청남도 계룡시 두마면,충청남도 계룡시 엄사면,충청남도 계룡시 신도안면,충청남도 계룡시 금암동
2020년11월_계_총인구수,"42,848","7,048","18,451","8,749","8,600"
2020년11월_계_연령구간인구수,"42,848","7,048","18,451","8,749","8,600"
2020년11월_계_0~9세,"3,892",615,"1,259","1,287",731
2020년11월_계_10~19세,"6,317",906,"2,371","1,963","1,077"
2020년11월_계_20~29세,"4,886",741,"2,353",805,987
2020년11월_계_30~39세,"4,623",687,"1,680","1,337",919
2020년11월_계_40~49세,"8,423","1,178","3,215","2,501","1,529"
2020년11월_계_50~59세,"6,949","1,292","3,477",692,"1,488"
2020년11월_계_60~69세,"4,448",997,"2,185",84,"1,182"
2020년11월_계_70~79세,"2,031",410,"1,113",56,452
2020년11월_계_80~89세,"1,090",173,693,22,202
2020년11월_계_90~99세,179,46,100,2,31
2020년11월_계_100세 이상,10,3,5,0,2
2020년11월_남_총인구수,"21,350","3,444","9,048","4,547","4,311"
2020년11월_남_연령구간인구수,"21,350","3,444","9,048","4,547","4,311"
2020년11월_남_0~9세,"1,975",313,667,638,357
2020년11월_남_10~19세,"3,311",453,"1,254","1,034",570
2020년11월_남_20~29세,"2,722",397,"1,278",464,583
2020년11월_남_30~39세,"2,304",328,857,659,460
2020년11월_남_40~49세,"4,087",551,"1,537","1,288",711
2020년11월_남_50~59세,"3,503",654,"1,689",423,737
2020년11월_남_60~69세,"2,151",485,"1,055",21,590
2020년11월_남_70~79세,904,201,468,12,223
2020년11월_남_80~89세,354,55,222,7,70
2020년11월_남_90~99세,39,7,21,1,10
2020년11월_남_100세 이상,0,0,0,0,0
2020년11월_여_총인구수,"21,498","3,604","9,403","4,202","4,289"
2020년11월_여_연령구간인구수,"21,498","3,604","9,403","4,202","4,289"
2020년11월_여_0~9세,"1,917",302,592,649,374
2020년11월_여_10~19세,"3,006",453,"1,117",929,507
2020년11월_여_20~29세,"2,164",344,"1,075",341,404
2020년11월_여_30~39세,"2,319",359,823,678,459
2020년11월_여_40~49세,"4,336",627,"1,678","1,213",818
2020년11월_여_50~59세,"3,446",638,"1,788",269,751
2020년11월_여_60~69세,"2,297",512,"1,130",63,592
2020년11월_여_70~79세,"1,127",209,645,44,229
2020년11월_여_80~89세,736,118,471,15,132
2020년11월_여_90~99세,140,39,79,1,21
2020년11월_여_100세 이상,10,3,5,0,2
