,경기도 광주시,경기도 광주시 오포읍,경기도 광주시 초월읍,경기도 광주시 곤지암읍,경기도 광주시 도척면,경기도 광주시 퇴촌면,경기도 광주시 남종면,경기도 광주시 남한산성면,경기도 광주시 경안동,경기도 광주시 송정동,경기도 광주시 광남동
2020년08월_계_총인구수,"379,480","111,484","45,212","22,835","9,198","14,758","1,497","2,666","43,334","61,095","67,401"
2020년08월_계_연령구간인구수,"379,480","111,484","45,212","22,835","9,198","14,758","1,497","2,666","43,334","61,095","67,401"
2020년08월_계_0~9세,"35,633","11,401","3,801","1,392",483,"1,061",42,148,"4,065","5,007","8,233"
2020년08월_계_10~19세,"33,854","8,806","4,988","1,834",630,"1,207",69,216,"3,943","5,653","6,508"
2020년08월_계_20~29세,"44,828","13,410","5,391","2,843",957,"1,119",113,179,"5,711","7,800","7,305"
2020년08월_계_30~39세,"58,456","20,354","5,966","2,751",963,"1,435",93,238,"6,605","8,519","11,532"
2020년08월_계_40~49세,"66,101","19,698","8,019","3,588","1,340","2,372",160,390,"7,332","10,557","12,645"
2020년08월_계_50~59세,"62,852","17,060","7,704","4,557","1,793","2,509",259,498,"7,390","11,175","9,907"
2020년08월_계_60~69세,"46,646","12,532","5,549","3,335","1,731","2,837",375,505,"5,026","7,697","7,059"
2020년08월_계_70~79세,"21,703","5,811","2,592","1,627",826,"1,550",236,305,"2,314","3,368","3,074"
2020년08월_계_80~89세,"8,074","2,067","1,048",781,398,565,131,156,819,"1,135",974
2020년08월_계_90~99세,"1,232",328,149,108,68,97,19,29,112,163,159
2020년08월_계_100세 이상,101,17,5,19,9,6,0,2,17,21,5
2020년08월_남_총인구수,"194,146","56,582","23,505","12,178","5,071","7,514",777,"1,424","22,028","30,959","34,108"
2020년08월_남_연령구간인구수,"194,146","56,582","23,505","12,178","5,071","7,514",777,"1,424","22,028","30,959","34,108"
2020년08월_남_0~9세,"18,310","5,894","1,978",704,254,537,20,73,"2,142","2,511","4,197"
2020년08월_남_10~19세,"17,334","4,547","2,520",956,337,640,41,116,"1,987","2,832","3,358"
2020년08월_남_20~29세,"23,681","7,017","2,860","1,575",553,622,60,90,"2,990","4,133","3,781"
2020년08월_남_30~39세,"30,550","10,632","3,173","1,539",559,735,46,133,"3,389","4,562","5,782"
2020년08월_남_40~49세,"34,970","10,514","4,246","1,943",807,"1,303",91,224,"3,801","5,452","6,589"
2020년08월_남_50~59세,"32,052","8,290","4,171","2,548","1,010","1,273",141,282,"3,778","5,554","5,005"
2020년08월_남_60~69세,"23,377","6,059","2,891","1,783",963,"1,373",203,283,"2,522","3,836","3,464"
2020년08월_남_70~79세,"10,528","2,769","1,246",801,417,797,112,149,"1,098","1,610","1,529"
2020년08월_남_80~89세,"3,044",776,390,296,150,210,56,69,299,426,372
2020년08월_남_90~99세,276,79,29,27,19,23,7,5,16,40,31
2020년08월_남_100세 이상,24,5,1,6,2,1,0,0,6,3,0
2020년08월_여_총인구수,"185,334","54,902","21,707","10,657","4,127","7,244",720,"1,242","21,306","30,136","33,293"
2020년08월_여_연령구간인구수,"185,334","54,902","21,707","10,657","4,127","7,244",720,"1,242","21,306","30,136","33,293"
2020년08월_여_0~9세,"17,323","5,507","1,823",688,229,524,22,75,"1,923","2,496","4,036"
2020년08월_여_10~19세,"16,520","4,259","2,468",878,293,567,28,100,"1,956","2,821","3,150"
2020년08월_여_20~29세,"21,147","6,393","2,531","1,268",404,497,53,89,"2,721","3,667","3,524"
2020년08월_여_30~39세,"27,906","9,722","2,793","1,212",404,700,47,105,"3,216","3,957","5,750"
2020년08월_여_40~49세,"31,131","9,184","3,773","1,645",533,"1,069",69,166,"3,531","5,105","6,056"
2020년08월_여_50~59세,"30,800","8,770","3,533","2,009",783,"1,236",118,216,"3,612","5,621","4,902"
2020년08월_여_60~69세,"23,269","6,473","2,658","1,552",768,"1,464",172,222,"2,504","3,861","3,595"
2020년08월_여_70~79세,"11,175","3,042","1,346",826,409,753,124,156,"1,216","1,758","1,545"
2020년08월_여_80~89세,"5,030","1,291",658,485,248,355,75,87,520,709,602
2020년08월_여_90~99세,956,249,120,81,49,74,12,24,96,123,128
2020년08월_여_100세 이상,77,12,4,13,7,5,0,2,11,18,5
