카테고리,부산광역시 연제구,부산광역시 연제구 거제제1동,부산광역시 연제구 거제제2동,부산광역시 연제구 거제제3동,부산광역시 연제구 거제제4동,부산광역시 연제구 연산제1동,부산광역시 연제구 연산제2동,부산광역시 연제구 연산제3동,부산광역시 연제구 연산제4동,부산광역시 연제구 연산제5동,부산광역시 연제구 연산제6동,부산광역시 연제구 연산제8동,부산광역시 연제구 연산제9동
2021년09월_계_총인구수,"205,676","29,354","12,312","10,071","10,503","16,141","20,932","7,218","16,269","16,477","16,758","14,254","35,387"
2021년09월_계_연령구간인구수,"205,676","29,354","12,312","10,071","10,503","16,141","20,932","7,218","16,269","16,477","16,758","14,254","35,387"
2021년09월_계_0~9세,"13,883","2,407",992,462,665,"1,193","1,972",206,644,736,"1,031","1,201","2,374"
2021년09월_계_10~19세,"16,200","3,545","1,575",684,981,"1,234","1,288",377,884,652,982,"1,127","2,871"
2021년09월_계_20~29세,"25,016","3,212","1,281","1,120","1,213","1,729","2,407",769,"2,303","3,387","1,818","1,518","4,259"
2021년09월_계_30~39세,"25,958","2,903","1,214","1,084","1,067","2,063","3,528",706,"1,939","3,112","2,245","1,814","4,283"
2021년09월_계_40~49세,"31,319","5,455","2,281","1,291","1,619","2,457","3,161",890,"2,171","2,282","2,250","2,221","5,241"
2021년09월_계_50~59세,"33,342","4,795","1,973","1,613","1,797","2,552","3,093","1,249","2,680","2,387","2,574","2,391","6,238"
2021년09월_계_60~69세,"33,301","3,714","1,671","1,855","1,814","2,850","2,959","1,587","3,180","2,195","3,053","2,337","6,086"
2021년09월_계_70~79세,"18,373","2,297",910,"1,254",911,"1,473","1,713","1,013","1,727","1,209","1,890","1,196","2,780"
2021년09월_계_80~89세,"7,380",918,375,627,378,536,702,382,660,486,827,392,"1,097"
2021년09월_계_90~99세,864,102,39,81,57,51,100,38,80,29,85,49,153
2021년09월_계_100세 이상,40,6,1,0,1,3,9,1,1,2,3,8,5
2021년09월_남_총인구수,"99,000","14,205","5,877","4,762","5,155","7,855","10,069","3,447","7,805","7,891","8,088","6,938","16,908"
2021년09월_남_연령구간인구수,"99,000","14,205","5,877","4,762","5,155","7,855","10,069","3,447","7,805","7,891","8,088","6,938","16,908"
2021년09월_남_0~9세,"6,994","1,252",456,246,342,606,"1,000",111,311,362,512,608,"1,188"
2021년09월_남_10~19세,"8,333","1,866",752,365,531,670,632,184,440,357,516,568,"1,452"
2021년09월_남_20~29세,"12,707","1,704",669,537,656,919,"1,233",408,"1,089","1,425",994,807,"2,266"
2021년09월_남_30~39세,"13,041","1,373",586,550,577,"1,040","1,711",387,"1,017","1,581","1,154",889,"2,176"
2021년09월_남_40~49세,"15,391","2,524","1,074",647,769,"1,217","1,579",442,"1,102","1,199","1,202","1,122","2,514"
2021년09월_남_50~59세,"15,811","2,352",979,765,844,"1,179","1,462",587,"1,310","1,168","1,226","1,153","2,786"
2021년09월_남_60~69세,"15,255","1,692",791,830,855,"1,309","1,343",727,"1,439","1,033","1,347","1,081","2,808"
2021년09월_남_70~79세,"8,394","1,016",417,554,432,683,814,448,808,551,808,561,"1,302"
2021년09월_남_80~89세,"2,861",400,143,241,137,213,265,143,265,211,311,139,393
2021년09월_남_90~99세,202,24,9,27,11,18,27,10,24,4,18,8,22
2021년09월_남_100세 이상,11,2,1,0,1,1,3,0,0,0,0,2,1
2021년09월_여_총인구수,"106,676","15,149","6,435","5,309","5,348","8,286","10,863","3,771","8,464","8,586","8,670","7,316","18,479"
2021년09월_여_연령구간인구수,"106,676","15,149","6,435","5,309","5,348","8,286","10,863","3,771","8,464","8,586","8,670","7,316","18,479"
2021년09월_여_0~9세,"6,889","1,155",536,216,323,587,972,95,333,374,519,593,"1,186"
2021년09월_여_10~19세,"7,867","1,679",823,319,450,564,656,193,444,295,466,559,"1,419"
2021년09월_여_20~29세,"12,309","1,508",612,583,557,810,"1,174",361,"1,214","1,962",824,711,"1,993"
2021년09월_여_30~39세,"12,917","1,530",628,534,490,"1,023","1,817",319,922,"1,531","1,091",925,"2,107"
2021년09월_여_40~49세,"15,928","2,931","1,207",644,850,"1,240","1,582",448,"1,069","1,083","1,048","1,099","2,727"
2021년09월_여_50~59세,"17,531","2,443",994,848,953,"1,373","1,631",662,"1,370","1,219","1,348","1,238","3,452"
2021년09월_여_60~69세,"18,046","2,022",880,"1,025",959,"1,541","1,616",860,"1,741","1,162","1,706","1,256","3,278"
2021년09월_여_70~79세,"9,979","1,281",493,700,479,790,899,565,919,658,"1,082",635,"1,478"
2021년09월_여_80~89세,"4,519",518,232,386,241,323,437,239,395,275,516,253,704
2021년09월_여_90~99세,662,78,30,54,46,33,73,28,56,25,67,41,131
2021년09월_여_100세 이상,29,4,0,0,0,2,6,1,1,2,3,6,4
