,전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
2020년09월_계_총인구수,"51,841,786","9,699,232","3,399,749","2,426,849","2,942,553","1,453,952","1,469,099","1,139,368","348,014","13,388,485","1,541,104","1,598,536","2,120,559","1,806,441","1,851,124","2,640,003","3,343,770","672,948"
2020년09월_계_연령구간인구수,"51,841,786","9,699,232","3,399,749","2,426,849","2,942,553","1,453,952","1,469,099","1,139,368","348,014","13,388,485","1,541,104","1,598,536","2,120,559","1,806,441","1,851,124","2,640,003","3,343,770","672,948"
2020년09월_계_0~9세,"4,027,765","635,833","235,871","181,188","232,208","121,596","116,775","100,233","46,796","1,158,060","106,680","125,126","175,426","130,827","134,046","192,403","273,672","61,025"
2020년09월_계_10~19세,"4,828,702","791,463","274,287","228,270","275,316","158,690","148,077","112,963","41,550","1,337,103","138,747","150,238","203,571","176,197","168,465","227,302","325,743","70,720"
2020년09월_계_20~29세,"6,801,056","1,464,445","432,803","323,230","401,966","209,652","212,956","145,758","36,347","1,798,600","179,232","198,166","242,345","211,350","199,529","283,832","378,908","81,937"
2020년09월_계_30~39세,"6,922,566","1,486,072","424,118","298,224","408,436","187,856","196,294","154,000","60,703","1,911,099","167,217","195,695","270,837","190,981","187,746","294,235","405,864","83,189"
2020년09월_계_40~49세,"8,321,409","1,538,386","512,964","386,278","485,291","242,699","239,098","188,666","67,138","2,298,109","225,066","241,797","328,482","270,243","261,304","385,161","538,219","112,508"
2020년09월_계_50~59세,"8,652,305","1,528,701","572,468","427,217","512,938","233,799","242,735","210,198","44,105","2,227,858","268,664","274,157","340,277","300,340","313,776","460,594","582,532","111,946"
2020년09월_계_60~69세,"6,630,461","1,230,721","525,091","321,394","360,499","161,513","176,174","142,582","29,074","1,498,842","237,025","218,639","274,204","252,099","268,263","402,118","453,754","78,469"
2020년09월_계_70~79세,"3,680,759","701,306","291,859","174,520","176,377","92,665","90,737","59,335","14,087","760,582","135,771","120,181","170,923","169,305","192,361","241,178","244,267","45,305"
2020년09월_계_80~89세,"1,706,024","273,467","113,509","76,577","76,383","39,287","40,070","22,399","6,987","342,460","70,720","64,820","99,426","90,766","108,835","133,644","123,107","23,567"
2020년09월_계_90~99세,"249,168","42,160","14,908","9,240","12,195","5,773","5,819","3,064","1,172","51,519","11,142","9,151","14,158","13,471","15,946","18,552","16,902","3,996"
2020년09월_계_100세 이상,"21,571","6,678","1,871",711,944,422,364,170,55,"4,253",840,566,910,862,853,984,802,286
2020년09월_남_총인구수,"25,851,003","4,719,170","1,665,554","1,197,914","1,474,105","719,445","733,356","585,387","173,613","6,736,077","775,324","810,302","1,082,029","898,048","930,076","1,329,408","1,683,263","337,932"
2020년09월_남_연령구간인구수,"25,851,003","4,719,170","1,665,554","1,197,914","1,474,105","719,445","733,356","585,387","173,613","6,736,077","775,324","810,302","1,082,029","898,048","930,076","1,329,408","1,683,263","337,932"
2020년09월_남_0~9세,"2,065,411","326,491","120,936","92,857","119,162","62,495","59,910","51,481","23,974","593,023","54,592","63,979","89,831","67,059","68,306","99,222","140,778","31,315"
2020년09월_남_10~19세,"2,498,217","405,944","141,794","119,297","141,587","82,271","76,647","59,501","20,837","688,200","72,249","78,228","105,716","91,319","87,514","119,541","170,537","37,035"
2020년09월_남_20~29세,"3,572,064","711,112","225,759","173,021","209,648","109,531","111,753","81,812","18,445","946,799","100,612","110,161","133,812","114,113","111,213","160,403","210,474","43,396"
2020년09월_남_30~39세,"3,565,566","743,478","216,901","154,844","211,222","95,829","102,270","81,717","29,591","984,180","87,797","103,699","145,639","98,476","98,842","156,883","212,123","42,075"
2020년09월_남_40~49세,"4,227,209","761,988","257,967","190,535","247,944","120,401","119,062","95,926","34,313","1,167,445","115,612","125,311","175,100","139,432","139,855","201,170","277,115","58,033"
2020년09월_남_50~59세,"4,365,984","750,539","277,630","209,104","256,495","115,878","121,133","107,078","22,943","1,129,448","138,112","141,135","179,635","155,180","168,110","238,070","297,280","58,214"
2020년09월_남_60~69세,"3,242,517","581,260","248,751","153,067","178,704","76,971","85,695","71,917","14,424","744,767","117,799","109,389","136,735","124,476","134,880","199,270","225,508","38,904"
2020년09월_남_70~79세,"1,654,719","319,572","131,473","76,218","80,288","41,011","41,155","28,071","6,458","344,875","60,761","54,047","77,179","74,492","83,919","107,025","107,673","20,502"
2020년09월_남_80~89세,"597,881","105,985","40,678","26,767","26,167","13,782","14,307","7,339","2,360","123,931","25,000","22,147","34,845","30,351","34,151","43,817","38,407","7,847"
2020년09월_남_90~99세,"56,189","11,043","3,252","2,035","2,640","1,222","1,335",511,256,"12,271","2,532","2,048","3,331","2,974","3,170","3,798","3,200",571
2020년09월_남_100세 이상,"5,246","1,758",413,169,248,54,89,34,12,"1,138",258,158,206,176,116,209,168,40
2020년09월_여_총인구수,"25,990,783","4,980,062","1,734,195","1,228,935","1,468,448","734,507","735,743","553,981","174,401","6,652,408","765,780","788,234","1,038,530","908,393","921,048","1,310,595","1,660,507","335,016"
2020년09월_여_연령구간인구수,"25,990,783","4,980,062","1,734,195","1,228,935","1,468,448","734,507","735,743","553,981","174,401","6,652,408","765,780","788,234","1,038,530","908,393","921,048","1,310,595","1,660,507","335,016"
2020년09월_여_0~9세,"1,962,354","309,342","114,935","88,331","113,046","59,101","56,865","48,752","22,822","565,037","52,088","61,147","85,595","63,768","65,740","93,181","132,894","29,710"
2020년09월_여_10~19세,"2,330,485","385,519","132,493","108,973","133,729","76,419","71,430","53,462","20,713","648,903","66,498","72,010","97,855","84,878","80,951","107,761","155,206","33,685"
2020년09월_여_20~29세,"3,228,992","753,333","207,044","150,209","192,318","100,121","101,203","63,946","17,902","851,801","78,620","88,005","108,533","97,237","88,316","123,429","168,434","38,541"
2020년09월_여_30~39세,"3,357,000","742,594","207,217","143,380","197,214","92,027","94,024","72,283","31,112","926,919","79,420","91,996","125,198","92,505","88,904","137,352","193,741","41,114"
2020년09월_여_40~49세,"4,094,200","776,398","254,997","195,743","237,347","122,298","120,036","92,740","32,825","1,130,664","109,454","116,486","153,382","130,811","121,449","183,991","261,104","54,475"
2020년09월_여_50~59세,"4,286,321","778,162","294,838","218,113","256,443","117,921","121,602","103,120","21,162","1,098,410","130,552","133,022","160,642","145,160","145,666","222,524","285,252","53,732"
2020년09월_여_60~69세,"3,387,944","649,461","276,340","168,327","181,795","84,542","90,479","70,665","14,650","754,075","119,226","109,250","137,469","127,623","133,383","202,848","228,246","39,565"
2020년09월_여_70~79세,"2,026,040","381,734","160,386","98,302","96,089","51,654","49,582","31,264","7,629","415,707","75,010","66,134","93,744","94,813","108,442","134,153","136,594","24,803"
2020년09월_여_80~89세,"1,108,143","167,482","72,831","49,810","50,216","25,505","25,763","15,060","4,627","218,529","45,720","42,673","64,581","60,415","74,684","89,827","84,700","15,720"
2020년09월_여_90~99세,"192,979","31,117","11,656","7,205","9,555","4,551","4,484","2,553",916,"39,248","8,610","7,103","10,827","10,497","12,776","14,754","13,702","3,425"
2020년09월_여_100세 이상,"16,325","4,920","1,458",542,696,368,275,136,43,"3,115",582,408,704,686,737,775,634,246
