카테고리,부산광역시 수영구,부산광역시 수영구 남천제1동,부산광역시 수영구 남천제2동,부산광역시 수영구 수영동,부산광역시 수영구 망미제1동,부산광역시 수영구 망미제2동,부산광역시 수영구 광안제1동,부산광역시 수영구 광안제2동,부산광역시 수영구 광안제3동,부산광역시 수영구 광안제4동,부산광역시 수영구 민락동
2020년12월_계_총인구수,"176,894","14,043","12,345","14,924","27,921","11,501","26,065","18,688","9,696","13,127","28,584"
2020년12월_계_연령구간인구수,"176,894","14,043","12,345","14,924","27,921","11,501","26,065","18,688","9,696","13,127","28,584"
2020년12월_계_0~9세,"10,328",724,876,605,"1,703",699,"1,275","1,120",310,787,"2,229"
2020년12월_계_10~19세,"11,852","1,191","1,174",659,"1,996",834,"1,635","1,274",412,855,"1,822"
2020년12월_계_20~29세,"24,349","1,840","1,406","1,802","3,140","1,249","5,094","2,896","1,856","1,742","3,324"
2020년12월_계_30~39세,"23,877","1,658","1,248","1,790","3,433","1,445","4,073","2,705","1,466","1,920","4,139"
2020년12월_계_40~49세,"25,487","2,043","1,966","1,896","3,761","1,715","3,654","2,858","1,227","1,988","4,379"
2020년12월_계_50~59세,"27,718","2,433","2,186","2,346","4,390","1,883","3,597","2,724","1,377","2,068","4,714"
2020년12월_계_60~69세,"28,545","2,122","1,924","2,972","5,107","1,997","3,615","2,609","1,616","1,998","4,585"
2020년12월_계_70~79세,"17,045","1,297","1,069","1,965","2,967","1,224","2,185","1,744","1,006","1,164","2,424"
2020년12월_계_80~89세,"6,757",630,407,794,"1,240",397,826,685,381,541,856
2020년12월_계_90~99세,875,100,79,90,176,54,104,65,41,59,107
2020년12월_계_100세 이상,61,5,10,5,8,4,7,8,4,5,5
2020년12월_남_총인구수,"83,573","6,459","5,742","7,142","13,367","5,661","12,200","8,686","4,615","5,925","13,776"
2020년12월_남_연령구간인구수,"83,573","6,459","5,742","7,142","13,367","5,661","12,200","8,686","4,615","5,925","13,776"
2020년12월_남_0~9세,"5,309",350,450,320,881,359,669,571,165,416,"1,128"
2020년12월_남_10~19세,"6,116",599,586,342,"1,059",444,883,639,212,424,928
2020년12월_남_20~29세,"11,839",915,734,894,"1,627",695,"2,246","1,333",823,834,"1,738"
2020년12월_남_30~39세,"11,891",796,586,940,"1,718",766,"2,039","1,318",768,894,"2,066"
2020년12월_남_40~49세,"12,534",939,872,"1,017","1,896",894,"1,789","1,395",640,881,"2,211"
2020년12월_남_50~59세,"12,721","1,114",959,"1,100","2,013",897,"1,624","1,249",668,917,"2,180"
2020년12월_남_60~69세,"12,728",930,886,"1,309","2,267",898,"1,604","1,148",750,844,"2,092"
2020년12월_남_70~79세,"7,635",541,497,891,"1,381",540,"1,003",737,437,506,"1,102"
2020년12월_남_80~89세,"2,568",242,156,307,469,160,310,276,144,195,309
2020년12월_남_90~99세,218,33,13,22,53,8,30,17,8,14,20
2020년12월_남_100세 이상,14,0,3,0,3,0,3,3,0,0,2
2020년12월_여_총인구수,"93,321","7,584","6,603","7,782","14,554","5,840","13,865","10,002","5,081","7,202","14,808"
2020년12월_여_연령구간인구수,"93,321","7,584","6,603","7,782","14,554","5,840","13,865","10,002","5,081","7,202","14,808"
2020년12월_여_0~9세,"5,019",374,426,285,822,340,606,549,145,371,"1,101"
2020년12월_여_10~19세,"5,736",592,588,317,937,390,752,635,200,431,894
2020년12월_여_20~29세,"12,510",925,672,908,"1,513",554,"2,848","1,563","1,033",908,"1,586"
2020년12월_여_30~39세,"11,986",862,662,850,"1,715",679,"2,034","1,387",698,"1,026","2,073"
2020년12월_여_40~49세,"12,953","1,104","1,094",879,"1,865",821,"1,865","1,463",587,"1,107","2,168"
2020년12월_여_50~59세,"14,997","1,319","1,227","1,246","2,377",986,"1,973","1,475",709,"1,151","2,534"
2020년12월_여_60~69세,"15,817","1,192","1,038","1,663","2,840","1,099","2,011","1,461",866,"1,154","2,493"
2020년12월_여_70~79세,"9,410",756,572,"1,074","1,586",684,"1,182","1,007",569,658,"1,322"
2020년12월_여_80~89세,"4,189",388,251,487,771,237,516,409,237,346,547
2020년12월_여_90~99세,657,67,66,68,123,46,74,48,33,45,87
2020년12월_여_100세 이상,47,5,7,5,5,4,4,5,4,5,3
