카테고리,경기도 이천시,경기도 이천시 장호원읍,경기도 이천시 부발읍,경기도 이천시 신둔면,경기도 이천시 백사면,경기도 이천시 호법면,경기도 이천시 마장면,경기도 이천시 대월면,경기도 이천시 모가면,경기도 이천시 설성면,경기도 이천시 율면,경기도 이천시 창전동,경기도 이천시 증포동,경기도 이천시 중리동,경기도 이천시 관고동
2020년03월_계_총인구수,"216,404","14,826","35,993","13,274","11,078","5,709","12,948","14,472","4,441","4,837","2,691","17,385","53,826","14,606","10,318"
2020년03월_계_연령구간인구수,"216,404","14,826","35,993","13,274","11,078","5,709","12,948","14,472","4,441","4,837","2,691","17,385","53,826","14,606","10,318"
2020년03월_계_0~9세,"19,688","1,029","3,560","1,045",825,333,"1,388","1,294",157,198,71,"1,046","7,155",979,608
2020년03월_계_10~19세,"22,289","1,415","4,603",982,849,302,954,"1,265",264,235,122,"1,595","7,912",964,827
2020년03월_계_20~29세,"29,129","1,581","4,732","1,615","1,302",642,"1,914","2,426",408,426,200,"2,796","6,620","2,929","1,538"
2020년03월_계_30~39세,"30,760","1,566","5,276","1,751","1,243",664,"2,213","2,564",366,398,146,"2,264","8,573","2,339","1,397"
2020년03월_계_40~49세,"34,958","2,083","6,805","1,958","1,621",737,"1,842","2,114",497,514,261,"2,642","10,479","1,894","1,511"
2020년03월_계_50~59세,"34,999","2,575","5,400","2,503","2,146","1,109","1,887","2,007",893,939,471,"3,115","7,640","2,360","1,954"
2020년03월_계_60~69세,"24,263","2,287","3,189","1,914","1,613",991,"1,458","1,465",921,978,640,"2,291","3,283","1,770","1,463"
2020년03월_계_70~79세,"12,837","1,399","1,559",980,917,571,813,876,543,675,392,"1,116","1,389",910,697
2020년03월_계_80~89세,"6,503",788,768,439,474,309,407,385,351,404,337,467,685,405,284
2020년03월_계_90~99세,913,93,96,80,84,50,66,71,39,63,47,49,88,51,36
2020년03월_계_100세 이상,65,10,5,7,4,1,6,5,2,7,4,4,2,5,3
2020년03월_남_총인구수,"111,554","7,535","18,748","6,943","5,633","3,008","7,009","7,397","2,382","2,547","1,376","8,625","26,854","8,220","5,277"
2020년03월_남_연령구간인구수,"111,554","7,535","18,748","6,943","5,633","3,008","7,009","7,397","2,382","2,547","1,376","8,625","26,854","8,220","5,277"
2020년03월_남_0~9세,"10,165",530,"1,808",537,425,179,697,676,89,92,41,543,"3,695",527,326
2020년03월_남_10~19세,"11,595",747,"2,401",516,450,157,494,631,144,130,64,813,"4,159",502,387
2020년03월_남_20~29세,"16,383",947,"2,722",873,703,346,"1,165","1,250",258,242,112,"1,499","3,470","1,975",821
2020년03월_남_30~39세,"16,397",824,"2,779",943,638,392,"1,255","1,358",231,245,91,"1,244","4,127","1,460",810
2020년03월_남_40~49세,"18,057","1,095","3,495","1,075",862,442,"1,062","1,134",287,312,164,"1,288","5,022","1,032",787
2020년03월_남_50~59세,"18,088","1,304","2,863","1,318","1,088",599,"1,021","1,060",489,520,247,"1,464","3,918","1,209",988
2020년03월_남_60~69세,"12,354","1,135","1,659","1,024",821,512,761,741,483,518,330,"1,083","1,646",899,742
2020년03월_남_70~79세,"5,920",646,722,467,434,259,385,392,261,325,191,516,582,436,304
2020년03월_남_80~89세,"2,356",277,278,169,188,112,147,138,128,149,122,161,221,163,103
2020년03월_남_90~99세,220,26,21,19,24,10,20,15,12,11,13,14,13,14,8
2020년03월_남_100세 이상,19,4,0,2,0,0,2,2,0,3,1,0,1,3,1
2020년03월_여_총인구수,"104,850","7,291","17,245","6,331","5,445","2,701","5,939","7,075","2,059","2,290","1,315","8,760","26,972","6,386","5,041"
2020년03월_여_연령구간인구수,"104,850","7,291","17,245","6,331","5,445","2,701","5,939","7,075","2,059","2,290","1,315","8,760","26,972","6,386","5,041"
2020년03월_여_0~9세,"9,523",499,"1,752",508,400,154,691,618,68,106,30,503,"3,460",452,282
2020년03월_여_10~19세,"10,694",668,"2,202",466,399,145,460,634,120,105,58,782,"3,753",462,440
2020년03월_여_20~29세,"12,746",634,"2,010",742,599,296,749,"1,176",150,184,88,"1,297","3,150",954,717
2020년03월_여_30~39세,"14,363",742,"2,497",808,605,272,958,"1,206",135,153,55,"1,020","4,446",879,587
2020년03월_여_40~49세,"16,901",988,"3,310",883,759,295,780,980,210,202,97,"1,354","5,457",862,724
2020년03월_여_50~59세,"16,911","1,271","2,537","1,185","1,058",510,866,947,404,419,224,"1,651","3,722","1,151",966
2020년03월_여_60~69세,"11,909","1,152","1,530",890,792,479,697,724,438,460,310,"1,208","1,637",871,721
2020년03월_여_70~79세,"6,917",753,837,513,483,312,428,484,282,350,201,600,807,474,393
2020년03월_여_80~89세,"4,147",511,490,270,286,197,260,247,223,255,215,306,464,242,181
2020년03월_여_90~99세,693,67,75,61,60,40,46,56,27,52,34,35,75,37,28
2020년03월_여_100세 이상,46,6,5,5,4,1,4,3,2,4,3,4,1,2,2
