,경기도 포천시,경기도 포천시 소흘읍,경기도 포천시 군내면,경기도 포천시 내촌면,경기도 포천시 가산면,경기도 포천시 신북면,경기도 포천시 창수면,경기도 포천시 영중면,경기도 포천시 일동면,경기도 포천시 이동면,경기도 포천시 영북면,경기도 포천시 관인면,경기도 포천시 화현면,경기도 포천시 포천동,경기도 포천시 선단동
2021년03월_계_총인구수,"147,014","44,375","8,634","4,586","7,639","12,398","2,148","4,817","9,360","6,255","8,234","2,773","2,756","18,632","14,407"
2021년03월_계_연령구간인구수,"147,014","44,375","8,634","4,586","7,639","12,398","2,148","4,817","9,360","6,255","8,234","2,773","2,756","18,632","14,407"
2021년03월_계_0~9세,"8,343","2,847",596,108,210,611,43,182,468,519,615,55,194,"1,203",692
2021년03월_계_10~19세,"11,999","4,882",558,188,400,940,77,238,678,354,438,145,146,"1,806","1,149"
2021년03월_계_20~29세,"17,919","5,877",953,439,775,"1,463",185,419,958,866,984,231,307,"2,504","1,958"
2021년03월_계_30~39세,"14,523","4,373","1,091",343,618,"1,166",121,292,864,892,965,125,347,"1,941","1,385"
2021년03월_계_40~49세,"20,104","7,188","1,126",519,853,"1,629",193,505,"1,170",620,847,250,268,"2,729","2,207"
2021년03월_계_50~59세,"28,995","9,046","1,613","1,124","1,873","2,469",378,983,"1,564",887,"1,250",523,447,"3,592","3,246"
2021년03월_계_60~69세,"25,191","6,092","1,529","1,059","1,677","2,387",577,"1,125","1,858","1,059","1,498",681,553,"2,798","2,298"
2021년03월_계_70~79세,"12,356","2,568",717,495,724,"1,075",354,660,"1,083",669,975,478,292,"1,344",922
2021년03월_계_80~89세,"6,599","1,298",388,280,436,558,201,364,603,354,567,258,174,628,490
2021년03월_계_90~99세,950,199,63,30,71,94,19,47,108,35,93,25,27,83,56
2021년03월_계_100세 이상,35,5,0,1,2,6,0,2,6,0,2,2,1,4,4
2021년03월_남_총인구수,"77,942","22,650","4,636","2,636","4,498","6,835","1,210","2,618","4,867","3,410","4,452","1,450","1,454","9,441","7,785"
2021년03월_남_연령구간인구수,"77,942","22,650","4,636","2,636","4,498","6,835","1,210","2,618","4,867","3,410","4,452","1,450","1,454","9,441","7,785"
2021년03월_남_0~9세,"4,297","1,445",297,63,104,333,28,98,241,262,326,23,92,610,375
2021년03월_남_10~19세,"6,288","2,538",285,103,210,519,48,120,362,168,226,71,69,966,603
2021년03월_남_20~29세,"10,399","3,181",559,269,461,881,128,252,598,593,680,147,172,"1,358","1,120"
2021년03월_남_30~39세,"8,119","2,248",606,212,395,679,80,172,511,536,583,87,199,"1,048",763
2021년03월_남_40~49세,"10,818","3,567",633,332,561,895,112,323,652,362,491,151,157,"1,361","1,221"
2021년03월_남_50~59세,"15,981","4,792",885,665,"1,181","1,445",229,577,828,486,699,278,240,"1,846","1,830"
2021년03월_남_60~69세,"13,637","3,197",865,632,"1,014","1,336",323,629,943,552,785,359,313,"1,431","1,258"
2021년03월_남_70~79세,"5,750","1,183",355,238,379,507,167,295,497,318,417,227,148,582,437
2021년03월_남_80~89세,"2,415",458,139,117,180,213,88,134,206,124,221,100,56,218,161
2021년03월_남_90~99세,224,39,12,4,12,26,7,17,27,9,22,5,8,20,16
2021년03월_남_100세 이상,14,2,0,1,1,1,0,1,2,0,2,2,0,1,1
2021년03월_여_총인구수,"69,072","21,725","3,998","1,950","3,141","5,563",938,"2,199","4,493","2,845","3,782","1,323","1,302","9,191","6,622"
2021년03월_여_연령구간인구수,"69,072","21,725","3,998","1,950","3,141","5,563",938,"2,199","4,493","2,845","3,782","1,323","1,302","9,191","6,622"
2021년03월_여_0~9세,"4,046","1,402",299,45,106,278,15,84,227,257,289,32,102,593,317
2021년03월_여_10~19세,"5,711","2,344",273,85,190,421,29,118,316,186,212,74,77,840,546
2021년03월_여_20~29세,"7,520","2,696",394,170,314,582,57,167,360,273,304,84,135,"1,146",838
2021년03월_여_30~39세,"6,404","2,125",485,131,223,487,41,120,353,356,382,38,148,893,622
2021년03월_여_40~49세,"9,286","3,621",493,187,292,734,81,182,518,258,356,99,111,"1,368",986
2021년03월_여_50~59세,"13,014","4,254",728,459,692,"1,024",149,406,736,401,551,245,207,"1,746","1,416"
2021년03월_여_60~69세,"11,554","2,895",664,427,663,"1,051",254,496,915,507,713,322,240,"1,367","1,040"
2021년03월_여_70~79세,"6,606","1,385",362,257,345,568,187,365,586,351,558,251,144,762,485
2021년03월_여_80~89세,"4,184",840,249,163,256,345,113,230,397,230,346,158,118,410,329
2021년03월_여_90~99세,726,160,51,26,59,68,12,30,81,26,71,20,19,63,40
2021년03월_여_100세 이상,21,3,0,0,1,5,0,1,4,0,0,0,1,3,3
