,전라남도 목포시,전라남도 목포시 용당1동,전라남도 목포시 용당2동,전라남도 목포시 연동,전라남도 목포시 산정동,전라남도 목포시 연산동,전라남도 목포시 원산동,전라남도 목포시 대성동,전라남도 목포시 목원동,전라남도 목포시 동명동,전라남도 목포시 삼학동,전라남도 목포시 만호동,전라남도 목포시 유달동,전라남도 목포시 죽교동,전라남도 목포시 북항동,전라남도 목포시 용해동,전라남도 목포시 이로동,전라남도 목포시 상동,전라남도 목포시 하당동,전라남도 목포시 신흥동,전라남도 목포시 삼향동,전라남도 목포시 옥암동,전라남도 목포시 부흥동,전라남도 목포시 부주동
2021년02월_계_총인구수,"222,809","10,701","5,212","4,757","8,573","9,757","13,108","5,180","7,814","5,490","6,141","2,952","4,357","3,200","9,380","17,422","10,843","21,191","11,903","16,639","4,850","11,496","8,665","23,178"
2021년02월_계_연령구간인구수,"222,809","10,701","5,212","4,757","8,573","9,757","13,108","5,180","7,814","5,490","6,141","2,952","4,357","3,200","9,380","17,422","10,843","21,191","11,903","16,639","4,850","11,496","8,665","23,178"
2021년02월_계_0~9세,"17,837",461,219,161,591,"1,356",955,477,218,188,407,58,134,131,684,"1,814",980,"1,856",827,"1,298",413,"1,143",699,"2,767"
2021년02월_계_10~19세,"24,272",722,319,323,906,"1,144","1,519",476,419,340,615,132,213,231,"1,013","2,480","1,444","2,352","1,140","1,832",518,"1,584",905,"3,645"
2021년02월_계_20~29세,"26,997","1,097",531,412,"1,011","1,247","1,773",520,723,530,689,207,476,314,"1,119","1,802","1,167","2,470","2,187","2,604",550,"1,510","1,216","2,842"
2021년02월_계_30~39세,"25,198","1,006",448,369,870,"1,654","1,352",708,614,447,615,199,297,250,963,"2,103","1,168","2,509","1,589","1,942",555,"1,442","1,077","3,021"
2021년02월_계_40~49세,"37,171","1,390",697,642,"1,336","1,716","2,222",832,"1,025",724,962,401,516,429,"1,515","3,308","1,887","3,536","2,073","2,695",808,"2,145","1,464","4,848"
2021년02월_계_50~59세,"36,284","1,782",856,840,"1,442","1,218","2,343",807,"1,355",876,938,535,720,531,"1,625","2,514","1,624","3,461","1,973","3,115",767,"1,843","1,628","3,491"
2021년02월_계_60~69세,"29,141","2,097","1,076",860,"1,257",816,"1,624",690,"1,539","1,079","1,005",682,868,570,"1,375","1,802","1,412","2,798","1,248","1,946",667,"1,076",975,"1,679"
2021년02월_계_70~79세,"17,639","1,498",789,768,784,415,900,441,"1,298",930,654,500,735,503,748,"1,051",773,"1,485",575,801,387,495,469,640
2021년02월_계_80~89세,"7,215",567,232,337,327,162,374,207,515,341,234,205,351,211,308,486,338,620,247,360,159,229,205,200
2021년02월_계_90~99세,973,76,40,41,45,27,39,18,99,33,22,27,38,25,30,59,46,98,41,44,26,28,26,45
2021년02월_계_100세 이상,82,5,5,4,4,2,7,4,9,2,0,6,9,5,0,3,4,6,3,2,0,1,1,0
2021년02월_남_총인구수,"110,972","5,360","2,620","2,410","4,165","4,809","6,459","2,554","3,993","2,878","3,019","1,567","2,340","1,659","4,713","8,579","5,349","10,379","6,116","8,288","2,419","5,514","4,233","11,549"
2021년02월_남_연령구간인구수,"110,972","5,360","2,620","2,410","4,165","4,809","6,459","2,554","3,993","2,878","3,019","1,567","2,340","1,659","4,713","8,579","5,349","10,379","6,116","8,288","2,419","5,514","4,233","11,549"
2021년02월_남_0~9세,"9,202",246,118,76,284,707,499,260,107,92,211,26,70,61,384,929,533,975,428,657,198,572,342,"1,427"
2021년02월_남_10~19세,"12,442",358,166,163,468,581,781,238,216,181,291,71,116,113,504,"1,271",738,"1,201",637,960,285,779,490,"1,834"
2021년02월_남_20~29세,"14,575",609,308,225,528,629,995,267,407,302,366,119,327,183,622,992,638,"1,311","1,090","1,393",282,776,633,"1,573"
2021년02월_남_30~39세,"13,004",578,246,224,468,817,710,352,353,266,333,127,184,153,518,"1,020",565,"1,320",859,"1,000",279,662,554,"1,416"
2021년02월_남_40~49세,"19,151",789,413,410,673,862,"1,098",443,596,453,522,260,351,254,812,"1,677",938,"1,728","1,098","1,306",421,976,736,"2,335"
2021년02월_남_50~59세,"18,241",929,438,474,690,600,"1,166",405,748,489,437,326,440,312,793,"1,232",777,"1,650","1,046","1,477",391,902,750,"1,769"
2021년02월_남_60~69세,"13,888",951,486,399,573,365,741,334,763,493,454,337,436,296,637,826,656,"1,345",623,"1,001",329,519,461,863
2021년02월_남_70~79세,"7,805",667,363,317,366,197,358,187,587,438,309,215,305,213,330,449,363,654,260,360,179,225,186,277
2021년02월_남_80~89세,"2,436",213,76,107,104,48,102,64,191,152,92,80,102,68,108,163,136,173,65,126,51,95,73,47
2021년02월_남_90~99세,212,17,6,13,11,2,8,3,23,11,4,4,9,4,5,20,5,22,10,8,4,8,7,8
2021년02월_남_100세 이상,16,3,0,2,0,1,1,1,2,1,0,2,0,2,0,0,0,0,0,0,0,0,1,0
2021년02월_여_총인구수,"111,837","5,341","2,592","2,347","4,408","4,948","6,649","2,626","3,821","2,612","3,122","1,385","2,017","1,541","4,667","8,843","5,494","10,812","5,787","8,351","2,431","5,982","4,432","11,629"
2021년02월_여_연령구간인구수,"111,837","5,341","2,592","2,347","4,408","4,948","6,649","2,626","3,821","2,612","3,122","1,385","2,017","1,541","4,667","8,843","5,494","10,812","5,787","8,351","2,431","5,982","4,432","11,629"
2021년02월_여_0~9세,"8,635",215,101,85,307,649,456,217,111,96,196,32,64,70,300,885,447,881,399,641,215,571,357,"1,340"
2021년02월_여_10~19세,"11,830",364,153,160,438,563,738,238,203,159,324,61,97,118,509,"1,209",706,"1,151",503,872,233,805,415,"1,811"
2021년02월_여_20~29세,"12,422",488,223,187,483,618,778,253,316,228,323,88,149,131,497,810,529,"1,159","1,097","1,211",268,734,583,"1,269"
