,전라북도 남원시,전라북도 남원시 운봉읍,전라북도 남원시 주천면,전라북도 남원시 수지면,전라북도 남원시 송동면,전라북도 남원시 주생면,전라북도 남원시 금지면,전라북도 남원시 대강면,전라북도 남원시 대산면,전라북도 남원시 사매면,전라북도 남원시 덕과면,전라북도 남원시 보절면,전라북도 남원시 산동면,전라북도 남원시 이백면,전라북도 남원시 아영면,전라북도 남원시 산내면,전라북도 남원시 인월면,전라북도 남원시 동충동,전라북도 남원시 죽항동,전라북도 남원시 노암동,전라북도 남원시 금동,전라북도 남원시 왕정동,전라북도 남원시 향교동,전라북도 남원시 도통동
2021년04월_계_총인구수,"80,196","3,849","2,628","1,132","2,033","1,833","2,309","1,619","1,657","1,485",962,"1,501","1,854","2,265","1,868","2,118","2,723","3,455","3,341","6,186","6,721","4,173","7,107","17,377"
2021년04월_계_연령구간인구수,"80,196","3,849","2,628","1,132","2,033","1,833","2,309","1,619","1,657","1,485",962,"1,501","1,854","2,265","1,868","2,118","2,723","3,455","3,341","6,186","6,721","4,173","7,107","17,377"
2021년04월_계_0~9세,"4,839",165,94,45,59,66,66,47,66,56,25,53,65,93,86,82,116,175,174,562,551,207,391,"1,595"
2021년04월_계_10~19세,"7,154",197,163,57,109,99,119,72,85,60,34,65,83,148,115,179,194,344,240,629,757,320,607,"2,478"
2021년04월_계_20~29세,"7,496",261,232,64,146,113,125,74,90,104,60,97,125,175,90,143,168,372,360,679,621,476,764,"2,157"
2021년04월_계_30~39세,"6,269",210,149,56,110,82,109,68,94,68,50,55,91,126,95,89,150,274,270,680,630,396,590,"1,827"
2021년04월_계_40~49세,"10,543",348,275,112,162,162,222,133,148,108,71,129,163,213,163,258,288,448,450,950,"1,106",494,977,"3,163"
2021년04월_계_50~59세,"13,620",686,489,175,372,307,356,234,282,258,158,234,326,405,310,501,523,594,525,991,"1,029",695,"1,302","2,868"
2021년04월_계_60~69세,"13,269",808,558,232,432,374,496,363,369,277,231,274,356,440,398,362,601,552,576,828,985,741,"1,165","1,851"
2021년04월_계_70~79세,"9,765",629,387,193,322,330,450,299,272,284,184,304,344,331,346,289,420,432,490,561,682,526,777,913
2021년04월_계_80~89세,"6,232",469,233,168,273,260,318,279,208,242,129,254,262,277,228,196,224,236,216,272,313,265,459,451
2021년04월_계_90~99세,978,76,44,30,47,40,47,48,43,28,20,35,37,55,34,19,37,28,38,32,47,48,73,72
2021년04월_계_100세 이상,31,0,4,0,1,0,1,2,0,0,0,1,2,2,3,0,2,0,2,2,0,5,2,2
2021년04월_남_총인구수,"39,331","1,849","1,339",558,"1,004",906,"1,098",776,833,767,502,755,916,"1,120",915,"1,052","1,340","1,640","1,571","2,975","3,243","2,040","3,598","8,534"
2021년04월_남_연령구간인구수,"39,331","1,849","1,339",558,"1,004",906,"1,098",776,833,767,502,755,916,"1,120",915,"1,052","1,340","1,640","1,571","2,975","3,243","2,040","3,598","8,534"
2021년04월_남_0~9세,"2,567",88,54,24,26,38,26,29,35,34,19,28,34,52,51,42,61,94,93,298,282,109,204,846
2021년04월_남_10~19세,"3,682",100,73,31,53,54,60,35,49,37,20,33,44,83,58,96,115,173,113,296,368,184,313,"1,294"
2021년04월_남_20~29세,"4,197",136,137,38,83,70,78,40,55,67,35,54,75,87,52,78,108,215,198,366,358,274,429,"1,164"
2021년04월_남_30~39세,"3,198",117,79,26,64,47,59,37,55,31,28,29,49,76,52,51,68,137,137,337,301,226,305,887
2021년04월_남_40~49세,"5,406",185,155,77,97,102,140,86,87,65,51,89,102,113,102,126,156,211,219,458,559,238,516,"1,472"
2021년04월_남_50~59세,"7,280",368,274,95,209,179,201,138,163,169,99,139,195,228,181,285,280,293,276,504,526,336,710,"1,432"
2021년04월_남_60~69세,"6,609",431,289,122,244,195,245,187,198,144,122,136,178,245,198,196,295,246,246,404,462,350,588,888
2021년04월_남_70~79세,"4,154",255,185,93,134,128,183,128,120,129,81,146,155,136,144,123,168,175,207,220,276,222,355,391
2021년04월_남_80~89세,"2,011",155,78,45,85,84,98,83,62,84,39,91,77,88,69,54,82,87,72,85,101,86,156,150
2021년04월_남_90~99세,221,14,15,7,9,9,8,12,9,7,8,9,7,12,7,1,7,9,9,6,10,14,22,10
