카테고리,광주광역시 동구,광주광역시 동구 충장동,광주광역시 동구 동명동,광주광역시 동구 계림1동,광주광역시 동구 계림2동,광주광역시 동구 산수1동,광주광역시 동구 산수2동,광주광역시 동구 지산1동,광주광역시 동구 지산2동,광주광역시 동구 서남동,광주광역시 동구 학동,광주광역시 동구 학운동,광주광역시 동구 지원1동,광주광역시 동구 지원2동
2020년09월_계_총인구수,"100,993","4,592","3,737","7,956","7,950","8,924","10,497","4,421","4,778","3,222","8,269","11,948","8,137","16,562"
2020년09월_계_연령구간인구수,"100,993","4,592","3,737","7,956","7,950","8,924","10,497","4,421","4,778","3,222","8,269","11,948","8,137","16,562"
2020년09월_계_0~9세,"6,906",75,101,499,734,563,596,216,220,80,786,655,563,"1,818"
2020년09월_계_10~19세,"7,257",155,216,405,730,658,851,334,389,138,569,958,652,"1,202"
2020년09월_계_20~29세,"14,548","1,075",666,"1,022",940,"1,220","1,383",842,928,832,"1,154","1,417",986,"2,083"
2020년09월_계_30~39세,"12,929",610,360,"1,156",921,"1,170","1,119",492,437,387,"1,187","1,114","1,064","2,912"
2020년09월_계_40~49세,"13,789",522,501,"1,069","1,215","1,277","1,375",586,632,340,"1,150","1,527","1,113","2,482"
2020년09월_계_50~59세,"15,523",671,517,"1,340","1,121","1,459","1,792",638,746,440,"1,227","1,859","1,311","2,402"
2020년09월_계_60~69세,"14,542",777,593,"1,276","1,007","1,201","1,634",613,642,473,"1,056","2,011","1,269","1,990"
2020년09월_계_70~79세,"10,179",484,503,802,843,916,"1,170",444,489,345,777,"1,503",813,"1,090"
2020년09월_계_80~89세,"4,617",186,242,333,393,402,525,216,255,164,316,790,313,482
2020년09월_계_90~99세,636,32,35,50,43,53,49,33,37,20,36,107,51,90
2020년09월_계_100세 이상,67,5,3,4,3,5,3,7,3,3,11,7,2,11
2020년09월_남_총인구수,"49,923","2,350","1,873","4,230","3,865","4,440","5,121","2,238","2,455","1,667","3,962","5,664","3,945","8,113"
2020년09월_남_연령구간인구수,"49,923","2,350","1,873","4,230","3,865","4,440","5,121","2,238","2,455","1,667","3,962","5,664","3,945","8,113"
2020년09월_남_0~9세,"3,591",39,48,251,396,292,300,135,122,41,418,328,300,921
2020년09월_남_10~19세,"3,770",74,115,217,383,352,433,174,223,65,268,515,329,622
2020년09월_남_20~29세,"7,462",423,343,562,511,631,715,449,533,423,555,740,503,"1,074"
2020년09월_남_30~39세,"6,743",351,204,647,457,614,575,275,229,225,588,562,544,"1,472"
2020년09월_남_40~49세,"7,210",327,260,618,585,693,719,304,342,208,604,729,578,"1,243"
2020년09월_남_50~59세,"7,648",379,271,763,553,735,848,323,364,239,595,855,610,"1,113"
2020년09월_남_60~69세,"6,888",402,293,649,456,574,764,285,302,232,475,906,592,958
2020년09월_남_70~79세,"4,485",258,206,373,339,382,519,190,214,152,328,652,361,511
2020년09월_남_80~89세,"1,939",88,123,139,169,151,233,94,115,75,121,339,114,178
2020년09월_남_90~99세,172,9,10,11,15,15,15,6,11,5,8,34,14,19
2020년09월_남_100세 이상,15,0,0,0,1,1,0,3,0,2,2,4,0,2
2020년09월_여_총인구수,"51,070","2,242","1,864","3,726","4,085","4,484","5,376","2,183","2,323","1,555","4,307","6,284","4,192","8,449"
2020년09월_여_연령구간인구수,"51,070","2,242","1,864","3,726","4,085","4,484","5,376","2,183","2,323","1,555","4,307","6,284","4,192","8,449"
2020년09월_여_0~9세,"3,315",36,53,248,338,271,296,81,98,39,368,327,263,897
2020년09월_여_10~19세,"3,487",81,101,188,347,306,418,160,166,73,301,443,323,580
2020년09월_여_20~29세,"7,086",652,323,460,429,589,668,393,395,409,599,677,483,"1,009"
2020년09월_여_30~39세,"6,186",259,156,509,464,556,544,217,208,162,599,552,520,"1,440"
2020년09월_여_40~49세,"6,579",195,241,451,630,584,656,282,290,132,546,798,535,"1,239"
2020년09월_여_50~59세,"7,875",292,246,577,568,724,944,315,382,201,632,"1,004",701,"1,289"
2020년09월_여_60~69세,"7,654",375,300,627,551,627,870,328,340,241,581,"1,105",677,"1,032"
2020년09월_여_70~79세,"5,694",226,297,429,504,534,651,254,275,193,449,851,452,579
2020년09월_여_80~89세,"2,678",98,119,194,224,251,292,122,140,89,195,451,199,304
2020년09월_여_90~99세,464,23,25,39,28,38,34,27,26,15,28,73,37,71
2020년09월_여_100세 이상,52,5,3,4,2,4,3,4,3,1,9,3,2,9
