카테고리,대전광역시 유성구,대전광역시 유성구 진잠동,대전광역시 유성구 온천1동,대전광역시 유성구 온천2동,대전광역시 유성구 노은1동,대전광역시 유성구 노은2동,대전광역시 유성구 노은3동,대전광역시 유성구 신성동,대전광역시 유성구 전민동,대전광역시 유성구 구즉동,대전광역시 유성구 관평동,대전광역시 유성구 원신흥동
2020년10월_계_총인구수,"352,231","35,306","34,759","40,241","22,248","24,994","37,888","26,097","27,288","27,911","29,081","46,418"
2020년10월_계_연령구간인구수,"352,231","35,306","34,759","40,241","22,248","24,994","37,888","26,097","27,288","27,911","29,081","46,418"
2020년10월_계_0~9세,"35,421","3,307","1,573","3,538","2,293","2,517","5,112","3,062","2,668","2,613","3,195","5,543"
2020년10월_계_10~19세,"38,338","3,426","1,506","3,230","3,041","3,471","4,593","2,961","3,220","3,108","4,577","5,205"
2020년10월_계_20~29세,"52,880","4,478","8,290","8,404","2,884","3,199","3,862","4,036","4,360","4,236","3,740","5,391"
2020년10월_계_30~39세,"56,632","4,507","6,738","6,516","3,214","3,161","6,482","5,319","4,469","4,194","4,038","7,994"
2020년10월_계_40~49세,"60,763","6,001","4,367","5,585","4,391","4,878","7,372","4,227","4,377","4,777","6,103","8,685"
2020년10월_계_50~59세,"54,175","6,318","5,620","5,943","3,262","4,016","5,224","3,513","4,499","4,629","4,364","6,787"
2020년10월_계_60~69세,"33,144","4,300","3,941","4,466","1,778","2,061","3,342","1,875","2,400","2,445","2,082","4,454"
2020년10월_계_70~79세,"13,414","1,918","1,760","1,672",881,"1,094","1,291",667,728,"1,161",654,"1,588"
2020년10월_계_80~89세,"6,333",911,798,758,430,510,514,378,463,648,278,645
2020년10월_계_90~99세,"1,075",130,143,123,73,86,92,58,101,97,49,123
2020년10월_계_100세 이상,56,10,23,6,1,1,4,1,3,3,1,3
2020년10월_남_총인구수,"177,833","17,931","17,970","20,923","11,027","12,306","18,621","13,673","13,958","14,292","14,861","22,271"
2020년10월_남_연령구간인구수,"177,833","17,931","17,970","20,923","11,027","12,306","18,621","13,673","13,958","14,292","14,861","22,271"
2020년10월_남_0~9세,"18,222","1,673",795,"1,767","1,184","1,279","2,604","1,601","1,430","1,357","1,678","2,854"
2020년10월_남_10~19세,"19,846","1,835",769,"1,691","1,567","1,792","2,338","1,537","1,635","1,603","2,375","2,704"
2020년10월_남_20~29세,"28,382","2,450","4,263","4,916","1,487","1,641","2,023","2,243","2,385","2,356","1,984","2,634"
2020년10월_남_30~39세,"29,425","2,324","3,877","3,555","1,587","1,577","3,070","2,914","2,428","2,247","2,056","3,790"
2020년10월_남_40~49세,"29,918","3,097","2,326","2,799","2,083","2,287","3,608","2,132","2,093","2,424","2,907","4,162"
2020년10월_남_50~59세,"27,004","3,166","2,789","2,855","1,668","2,040","2,556","1,804","2,212","2,391","2,385","3,138"
2020년10월_남_60~69세,"16,503","2,157","2,038","2,233",865,"1,011","1,593",984,"1,273","1,238","1,077","2,034"
2020년10월_남_70~79세,"6,210",914,781,805,404,475,629,342,340,459,318,743
2020년10월_남_80~89세,"2,073",288,284,266,163,185,182,104,131,198,71,201
2020년10월_남_90~99세,238,24,45,35,18,18,17,12,29,19,10,11
2020년10월_남_100세 이상,12,3,3,1,1,1,1,0,2,0,0,0
2020년10월_여_총인구수,"174,398","17,375","16,789","19,318","11,221","12,688","19,267","12,424","13,330","13,619","14,220","24,147"
2020년10월_여_연령구간인구수,"174,398","17,375","16,789","19,318","11,221","12,688","19,267","12,424","13,330","13,619","14,220","24,147"
2020년10월_여_0~9세,"17,199","1,634",778,"1,771","1,109","1,238","2,508","1,461","1,238","1,256","1,517","2,689"
2020년10월_여_10~19세,"18,492","1,591",737,"1,539","1,474","1,679","2,255","1,424","1,585","1,505","2,202","2,501"
2020년10월_여_20~29세,"24,498","2,028","4,027","3,488","1,397","1,558","1,839","1,793","1,975","1,880","1,756","2,757"
2020년10월_여_30~39세,"27,207","2,183","2,861","2,961","1,627","1,584","3,412","2,405","2,041","1,947","1,982","4,204"
2020년10월_여_40~49세,"30,845","2,904","2,041","2,786","2,308","2,591","3,764","2,095","2,284","2,353","3,196","4,523"
2020년10월_여_50~59세,"27,171","3,152","2,831","3,088","1,594","1,976","2,668","1,709","2,287","2,238","1,979","3,649"
2020년10월_여_60~69세,"16,641","2,143","1,903","2,233",913,"1,050","1,749",891,"1,127","1,207","1,005","2,420"
2020년10월_여_70~79세,"7,204","1,004",979,867,477,619,662,325,388,702,336,845
2020년10월_여_80~89세,"4,260",623,514,492,267,325,332,274,332,450,207,444
2020년10월_여_90~99세,837,106,98,88,55,68,75,46,72,78,39,112
2020년10월_여_100세 이상,44,7,20,5,0,0,3,1,1,3,1,3
