카테고리,서울특별시,서울특별시 종로구,서울특별시 중구,서울특별시 용산구,서울특별시 성동구,서울특별시 광진구,서울특별시 동대문구,서울특별시 중랑구,서울특별시 성북구,서울특별시 강북구,서울특별시 도봉구,서울특별시 노원구,서울특별시 은평구,서울특별시 서대문구,서울특별시 마포구,서울특별시 양천구,서울특별시 강서구,서울특별시 구로구,서울특별시 금천구,서울특별시 영등포구,서울특별시 동작구,서울특별시 관악구,서울특별시 서초구,서울특별시 강남구,서울특별시 송파구,서울특별시 강동구
2020년09월_계_총인구수,"9,699,232","149,952","125,800","229,786","295,591","348,064","344,416","395,997","439,719","309,996","327,248","525,486","481,546","313,212","373,508","456,240","583,544","405,579","232,157","375,630","393,554","498,574","426,009","539,235","670,331","458,058"
2020년09월_계_연령구간인구수,"9,699,232","149,952","125,800","229,786","295,591","348,064","344,416","395,997","439,719","309,996","327,248","525,486","481,546","313,212","373,508","456,240","583,544","405,579","232,157","375,630","393,554","498,574","426,009","539,235","670,331","458,058"
2020년09월_계_0~9세,"635,833","7,700","7,002","13,686","20,819","20,085","21,150","23,628","29,428","16,272","19,265","33,894","30,528","20,518","25,473","32,245","40,653","28,894","12,889","25,570","25,180","23,180","34,382","37,109","51,485","34,798"
2020년09월_계_10~19세,"791,463","11,186","6,953","15,862","20,350","26,350","24,157","27,292","37,769","22,444","26,089","53,951","39,230","23,946","28,679","51,143","45,452","30,506","14,894","24,377","28,295","29,284","45,213","59,356","59,507","39,178"
2020년09월_계_20~29세,"1,464,445","23,419","18,575","33,313","45,320","62,726","56,360","56,186","67,151","43,070","43,900","73,476","66,939","50,508","62,144","60,262","87,305","55,577","37,077","58,459","66,927","109,815","55,525","74,411","94,675","61,325"
2020년09월_계_30~39세,"1,486,072","20,077","20,262","38,070","49,399","56,455","50,498","58,549","60,552","39,248","41,443","65,445","69,264","45,239","64,951","58,642","99,795","63,717","35,492","68,214","62,641","87,705","64,086","82,606","111,911","71,811"
2020년09월_계_40~49세,"1,538,386","22,394","18,261","35,840","45,564","52,997","51,161","58,307","70,532","47,373","49,149","87,143","77,341","47,815","61,454","79,526","91,628","63,608","33,264","56,029","59,457","69,332","77,507","99,286","109,694","73,724"
2020년09월_계_50~59세,"1,528,701","25,609","20,842","36,870","47,501","54,870","53,604","69,972","69,637","52,910","57,353","88,081","77,485","49,583","54,242","76,788","86,925","63,543","40,527","56,576","58,728","68,515","62,985","79,904","103,165","72,486"
2020년09월_계_60~69세,"1,230,721","19,760","17,376","28,456","36,213","42,031","46,053","57,481","54,528","45,556","49,173","67,130","63,671","38,237","39,173","56,791","75,744","55,325","32,664","46,276","48,837","58,814","47,362","58,719","83,241","62,110"
2020년09월_계_70~79세,"701,306","12,556","10,665","17,255","20,619","22,372","28,198","31,226","33,681","30,035","27,670","37,384","39,003","24,390","24,423","28,378","38,774","31,519","17,983","27,162","29,685","37,055","27,275","33,781","39,963","30,254"
2020년09월_계_80~89세,"273,467","5,907","4,770","8,452","8,383","8,698","11,328","11,558","14,032","11,337","11,392","16,253","15,569","11,057","10,970","10,600","14,534","11,225","6,355","11,121","11,690","12,843","9,649","11,553","13,924","10,267"
2020년09월_계_90~99세,"42,160","1,073",893,"1,615","1,179","1,259","1,600","1,590","2,029","1,506","1,633","2,445","2,099","1,635","1,664","1,677","2,501","1,491",835,"1,567","1,800","1,716","1,802","2,221","2,476","1,854"
2020년09월_계_100세 이상,"6,678",271,201,367,244,221,307,208,380,245,181,284,417,284,335,188,233,174,177,279,314,315,223,289,290,251
